"X","Y","H30_Lusit (TWT)"
527180.01,2263261.01,355.316223
527180.01,2263361.01,355.937561
527180.01,2263461.01,355.026505
527180.01,2263561.01,355.31218
527180.01,2263661.01,357.588562
527180.01,2263761.01,359.260651
527180.01,2263861.01,362.019409
527180.01,2263961.01,366.568268
527180.01,2264061.01,369.988235
527180.01,2264161.01,381.408325
527180.01,2264261.01,390.582764
527180.01,2264361.01,396.218903
527180.01,2264461.01,403.320267
527180.01,2264561.01,409.816101
527180.01,2264661.01,417.89801
527180.01,2264761.01,422.291443
527180.01,2264861.01,427.04071
527180.01,2264961.01,425.983475
527180.01,2265061.01,425.891571
527180.01,2265161.01,422.793976
527180.01,2265261.01,419.134888
527180.01,2265361.01,418.024124
527180.01,2265461.01,417.456009
527180.01,2265561.01,418.208069
527180.01,2265661.01,419.846191
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,366.730629
527280.01,2261461.01,366.357697
527280.01,2261561.01,366.448746
527280.01,2261661.01,367.455719
527280.01,2261761.01,370.167068
527280.01,2261861.01,372.596359
527280.01,2261961.01,375.724098
527280.01,2262061.01,379.124008
527280.01,2262161.01,380.108948
527280.01,2262261.01,382.230148
527280.01,2262361.01,378.184265
527280.01,2262461.01,377.769997
527280.01,2262561.01,382.398651
527280.01,2262661.01,384.429558
527280.01,2262761.01,383.621948
527280.01,2262861.01,383.263931
527280.01,2262961.01,383.218872
527280.01,2263061.01,385.637825
527280.01,2263161.01,380.018433
527280.01,2263261.01,365.618942
527280.01,2263361.01,357.282089
527280.01,2263461.01,367.028687
527280.01,2263561.01,359.151352
527280.01,2263661.01,357.011749
527280.01,2263761.01,357.361412
527280.01,2263861.01,360.438995
527280.01,2263961.01,365.434067
527280.01,2264061.01,370.659943
527280.01,2264161.01,383.664902
527280.01,2264261.01,390.529236
527280.01,2264361.01,393.429756
527280.01,2264461.01,401.202881
527280.01,2264561.01,407.33358
527280.01,2264661.01,410.462799
527280.01,2264761.01,419.686737
527280.01,2264861.01,423.697571
527280.01,2264961.01,425.014984
527280.01,2265061.01,426.223206
527280.01,2265161.01,424.332962
527280.01,2265261.01,419.970146
527280.01,2265361.01,418.979492
527280.01,2265461.01,417.901291
527280.01,2265561.01,420.102783
527280.01,2265661.01,421.015053
527280.01,2265761.01,420.874878
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,365.25174
527380.01,2261461.01,363.35051
527380.01,2261561.01,365.126518
527380.01,2261661.01,368.254715
527380.01,2261761.01,370.387314
527380.01,2261861.01,373.658722
527380.01,2261961.01,376.758286
527380.01,2262061.01,379.088898
527380.01,2262161.01,379.645149
527380.01,2262261.01,380.080109
527380.01,2262361.01,376.294106
527380.01,2262461.01,375.932159
527380.01,2262561.01,379.388824
527380.01,2262661.01,382.668304
527380.01,2262761.01,382.896454
527380.01,2262861.01,382.672829
527380.01,2262961.01,383.118591
527380.01,2263061.01,383.612518
527380.01,2263161.01,386.21933
527380.01,2263261.01,389.454254
527380.01,2263361.01,390.129959
527380.01,2263461.01,386.077034
527380.01,2263561.01,378.386978
527380.01,2263661.01,366.941498
527380.01,2263761.01,365.96582
527380.01,2263861.01,373.172119
527380.01,2263961.01,375.666519
527380.01,2264061.01,376.662338
527380.01,2264161.01,380.279068
527380.01,2264261.01,386.686203
527380.01,2264361.01,389.193787
527380.01,2264461.01,397.317719
527380.01,2264561.01,403.547165
527380.01,2264661.01,407.878662
527380.01,2264761.01,419.107689
527380.01,2264861.01,422.026337
527380.01,2264961.01,423.000168
527380.01,2265061.01,425.902222
527380.01,2265161.01,425.317932
527380.01,2265261.01,423.606621
527380.01,2265361.01,422.652664
527380.01,2265461.01,422.708153
527380.01,2265561.01,422.326111
527380.01,2265661.01,421.139847
527380.01,2265761.01,417.653717
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,364.52179
527480.01,2261361.01,363.242386
527480.01,2261461.01,362.03421
527480.01,2261561.01,363.289978
527480.01,2261661.01,367.95163
527480.01,2261761.01,370.018616
527480.01,2261861.01,373.191223
527480.01,2261961.01,376.123192
527480.01,2262061.01,377.343262
527480.01,2262161.01,379.614182
527480.01,2262261.01,376.283783
527480.01,2262361.01,372.685532
527480.01,2262461.01,373.838226
527480.01,2262561.01,376.85994
527480.01,2262661.01,380.06572
527480.01,2262761.01,381.053833
527480.01,2262861.01,382.523224
527480.01,2262961.01,381.658386
527480.01,2263061.01,382.079399
527480.01,2263161.01,384.311829
527480.01,2263261.01,386.202499
527480.01,2263361.01,385.176941
527480.01,2263461.01,384.903809
