"X","Y","H20_Kimm (TWT)"
527180.01,2263261.01,259.299286
527180.01,2263361.01,251.642685
527180.01,2263461.01,248.896393
527180.01,2263561.01,244.110657
527180.01,2263661.01,243.708488
527180.01,2263761.01,244.123123
527180.01,2263861.01,245.47818
527180.01,2263961.01,250.668892
527180.01,2264061.01,254.557739
527180.01,2264161.01,263.584816
527180.01,2264261.01,273.497513
527180.01,2264361.01,282.086365
527180.01,2264461.01,289.084549
527180.01,2264561.01,297.581726
527180.01,2264661.01,303.588623
527180.01,2264761.01,306.33252
527180.01,2264861.01,308.724464
527180.01,2264961.01,311.489944
527180.01,2265061.01,312.532806
527180.01,2265161.01,311.937469
527180.01,2265261.01,308.362411
527180.01,2265361.01,306.231918
527180.01,2265461.01,307.732826
527180.01,2265561.01,308.185043
527180.01,2265661.01,309.4422
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,251.777
527280.01,2261461.01,248.639229
527280.01,2261561.01,249.035149
527280.01,2261661.01,251.250473
527280.01,2261761.01,254.420357
527280.01,2261861.01,257.461243
527280.01,2261961.01,261.178986
527280.01,2262061.01,264.705109
527280.01,2262161.01,265.760651
527280.01,2262261.01,266.411819
527280.01,2262361.01,264.917816
527280.01,2262461.01,263.744148
527280.01,2262561.01,265.22966
527280.01,2262661.01,267.692917
527280.01,2262761.01,268.638947
527280.01,2262861.01,270.360596
527280.01,2262961.01,272.181335
527280.01,2263061.01,272.889854
527280.01,2263161.01,274.109772
527280.01,2263261.01,272.783005
527280.01,2263361.01,265.115952
527280.01,2263461.01,269.602478
527280.01,2263561.01,267.524521
527280.01,2263661.01,260.795746
527280.01,2263761.01,261.871284
527280.01,2263861.01,253.409538
527280.01,2263961.01,255.834873
527280.01,2264061.01,262.844086
527280.01,2264161.01,269.897583
527280.01,2264261.01,276.959839
527280.01,2264361.01,281.118858
527280.01,2264461.01,287.601654
527280.01,2264561.01,295.338799
527280.01,2264661.01,299.994965
527280.01,2264761.01,307.504181
527280.01,2264861.01,311.419479
527280.01,2264961.01,312.467041
527280.01,2265061.01,313.821365
527280.01,2265161.01,313.536636
527280.01,2265261.01,310.87542
527280.01,2265361.01,309.653473
527280.01,2265461.01,308.95697
527280.01,2265561.01,309.754089
527280.01,2265661.01,310.087051
527280.01,2265761.01,310.432343
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,248.742287
527380.01,2261461.01,246.272095
527380.01,2261561.01,248.133354
527380.01,2261661.01,250.720589
527380.01,2261761.01,253.09977
527380.01,2261861.01,256.796478
527380.01,2261961.01,261.131577
527380.01,2262061.01,263.500336
527380.01,2262161.01,264.275307
527380.01,2262261.01,263.854889
527380.01,2262361.01,262.235168
527380.01,2262461.01,260.723999
527380.01,2262561.01,262.678864
527380.01,2262661.01,266.160873
527380.01,2262761.01,267.399979
527380.01,2262861.01,268.982819
527380.01,2262961.01,270.94899
527380.01,2263061.01,271.457703
527380.01,2263161.01,272.813965
527380.01,2263261.01,274.3573
527380.01,2263361.01,273.723312
527380.01,2263461.01,272.872345
527380.01,2263561.01,272.482407
