"X","Y","H02_TBeauce (TWT)"
527580.01,2262161.01,-40.194595337
527580.01,2262261.01,-40.131065369
527580.01,2262361.01,-39.646697998
527580.01,2262461.01,-39.248279572
527580.01,2262561.01,-39.601783752
527580.01,2262661.01,-39.586181641
527580.01,2262761.01,-39.612476349
527580.01,2262861.01,-38.860862732
527580.01,2262961.01,-38.368553162
527580.01,2263061.01,-37.633018494
527580.01,2263161.01,-37.029724121
527580.01,2263261.01,-37.150699615
527580.01,2263361.01,-36.674247742
527580.01,2263461.01,-35.526260376
527580.01,2263561.01,-35.11095047
527580.01,2263661.01,-34.980617523
527580.01,2263761.01,-34.171325684
527580.01,2263861.01,-32.66324234
527580.01,2263961.01,-30.432788849
527580.01,2264061.01,-31.039730072
527580.01,2264161.01,-34.888683319
527580.01,2264261.01,-38.144657135
527580.01,2264361.01,-40.030529022
527580.01,2264461.01,-40.006504059
527580.01,2264561.01,-38.952465057
527580.01,2264661.01,-38.669574738
527580.01,2264761.01,-38.175247192
527580.01,2264861.01,-38.423126221
527580.01,2264961.01,-38.518737793
527580.01,2265061.01,-36.333278656
527580.01,2265161.01,-36.501853943
527580.01,2265261.01,-38.372047424
527580.01,2265361.01,-39.562206268
527580.01,2265461.01,-40.277931213
527580.01,2265561.01,-40.929237366
527580.01,2265661.01,-40.909175873
527580.01,2265761.01,-40.546577454
527580.01,2265861.01,-40.96521759
527580.01,2265961.01,-41.267807007
527580.01,2266061.01,-42.676300049
527680.01,2261061.01,-29.105386734
527680.01,2261161.01,-29.381080627
527680.01,2261261.01,-30.146057129
527680.01,2261361.01,-30.016115189
527680.01,2261461.01,-30.313013077
527680.01,2261561.01,-30.362287521
527680.01,2261661.01,-31.200563431
527680.01,2261761.01,-33.818141937
527680.01,2261861.01,-36.687438965
527680.01,2261961.01,-38.018852234
527680.01,2262061.01,-39.539299011
527680.01,2262161.01,-41.142780304
527680.01,2262261.01,-41.507541656
527680.01,2262361.01,-41.210941315
527680.01,2262461.01,-40.694049835
527680.01,2262561.01,-40.319095612
527680.01,2262661.01,-39.753746033
527680.01,2262761.01,-40.195785522
527680.01,2262861.01,-39.577972412
527680.01,2262961.01,-38.812587738
527680.01,2263061.01,-38.111846924
527680.01,2263161.01,-37.642364502
527680.01,2263261.01,-37.834709167
527680.01,2263361.01,-37.379112244
527680.01,2263461.01,-36.315097809
527680.01,2263561.01,-35.149326324
527680.01,2263661.01,-35.173740387
527680.01,2263761.01,-34.514770508
527680.01,2263861.01,-32.943897247
527680.01,2263961.01,-30.76483345
527680.01,2264061.01,-30.233903885
527680.01,2264161.01,-34.79649353
527680.01,2264261.01,-38.440570831
527680.01,2264361.01,-40.788063049
527680.01,2264461.01,-41.4126091
527680.01,2264561.01,-40.867465973
527680.01,2264661.01,-40.962345123
527680.01,2264761.01,-40.630519867
527680.01,2264861.01,-40.393745422
527680.01,2264961.01,-39.912334442
527680.01,2265061.01,-38.454154968
527680.01,2265161.01,-38.290916443
527680.01,2265261.01,-39.140693665
527680.01,2265361.01,-39.753913879
527680.01,2265461.01,-40.458301544
527680.01,2265561.01,-40.808368683
527680.01,2265661.01,-41.308517456
527680.01,2265761.01,-41.870353699
527680.01,2265861.01,-41.900596619
527680.01,2265961.01,-42.199115753
527680.01,2266061.01,-43.444339752
527680.01,2266161.01,-44.524551392
527780.01,2261061.01,-28.666769028
527780.01,2261161.01,-28.435470581
527780.01,2261261.01,-28.583282471
527780.01,2261361.01,-28.847904205
527780.01,2261461.01,-29.394062042
527780.01,2261561.01,-30.681539536
527780.01,2261661.01,-31.969234467
527780.01,2261761.01,-34.600399017
527780.01,2261861.01,-36.61958313
527780.01,2261961.01,-37.334667206
527780.01,2262061.01,-38.961673737
527780.01,2262161.01,-40.82975769
527780.01,2262261.01,-42.157470703
527780.01,2262361.01,-42.738189697
527780.01,2262461.01,-42.110206604
527780.01,2262561.01,-41.009708405
527780.01,2262661.01,-40.004150391
527780.01,2262761.01,-40.070827484
527780.01,2262861.01,-39.691467285
527780.01,2262961.01,-39.124973297
527780.01,2263061.01,-38.608314514
527780.01,2263161.01,-38.587371826
527780.01,2263261.01,-38.499511719
527780.01,2263361.01,-37.821147919
527780.01,2263461.01,-36.748001099
527780.01,2263561.01,-35.5050354
527780.01,2263661.01,-34.733825684
527780.01,2263761.01,-34.145431519
527780.01,2263861.01,-33.180538177
527780.01,2263961.01,-31.234802246
527780.01,2264061.01,-29.02930069
527780.01,2264161.01,-34.356327057
527780.01,2264261.01,-38.347190857
527780.01,2264361.01,-41.304450989
527780.01,2264461.01,-42.402362823
527780.01,2264561.01,-42.226840973
527780.01,2264661.01,-42.706958771
527780.01,2264761.01,-42.380119324
527780.01,2264861.01,-41.64352417
527780.01,2264961.01,-40.772823334
527780.01,2265061.01,-39.388706207
527780.01,2265161.01,-39.117069244
527780.01,2265261.01,-39.361690521
527780.01,2265361.01,-39.908245087
527780.01,2265461.01,-40.501865387
527780.01,2265561.01,-40.714206696
527780.01,2265661.01,-41.11177063
527780.01,2265761.01,-41.639972687
527780.01,2265861.01,-42.253196716
527780.01,2265961.01,-42.873214722
527780.01,2266061.01,-43.534187317
527780.01,2266161.01,-44.099376678
527880.01,2261061.01,-27.593326569
527880.01,2261161.01,-27.223844528
527880.01,2261261.01,-27.535100937
527880.01,2261361.01,-28.366081238
527880.01,2261461.01,-28.816030502
527880.01,2261561.01,-30.645526886
527880.01,2261661.01,-32.845832825
527880.01,2261761.01,-34.257171631
527880.01,2261861.01,-35.651573181
527880.01,2261961.01,-37.453422546
527880.01,2262061.01,-38.594165802
527880.01,2262161.01,-40.13225174
527880.01,2262261.01,-41.371295929
527880.01,2262361.01,-43.05701828
527880.01,2262461.01,-42.782634735
527880.01,2262561.01,-41.812595367
527880.01,2262661.01,-40.51209259
527880.01,2262761.01,-40.179668427
527880.01,2262861.01,-39.659706116
527880.01,2262961.01,-38.984306335
527880.01,2263061.01,-38.669834137
527880.01,2263161.01,-38.672595978
527880.01,2263261.01,-38.730701447
527880.01,2263361.01,-38.271118164
527880.01,2263461.01,-37.055198669
527880.01,2263561.01,-35.769927979
527880.01,2263661.01,-34.880741119
527880.01,2263761.01,-34.077072144
527880.01,2263861.01,-33.473335266
527880.01,2263961.01,-32.235069275
527880.01,2264061.01,-28.701173782
527880.01,2264161.01,-32.460414886
527880.01,2264261.01,-38.011577606
527880.01,2264361.01,-41.187213898
527880.01,2264461.01,-42.943080902
527880.01,2264561.01,-43.635532379
527880.01,2264661.01,-44.206409454
527880.01,2264761.01,-43.681282043
527880.01,2264861.01,-42.822925568
527880.01,2264961.01,-41.78597641
527880.01,2265061.01,-40.297950745
527880.01,2265161.01,-39.392440796
527880.01,2265261.01,-39.237918854
527880.01,2265361.01,-40.01115799
527880.01,2265461.01,-40.623970032
527880.01,2265561.01,-40.730079651
527880.01,2265661.01,-41.032897949
527880.01,2265761.01,-41.445960999
527880.01,2265861.01,-41.924716949
527880.01,2265961.01,-42.099147797
527880.01,2266061.01,-42.967765808
527880.01,2266161.01,-43.401138306
527880.01,2266261.01,-43.759735107
527980.01,2260961.01,-27.22595787
527980.01,2261061.01,-26.644914627
527980.01,2261161.01,-26.389047623
527980.01,2261261.01,-27.507074356
527980.01,2261361.01,-28.239902496
527980.01,2261461.01,-29.359149933
527980.01,2261561.01,-31.291742325
527980.01,2261661.01,-33.499908447
527980.01,2261761.01,-33.768890381
527980.01,2261861.01,-34.75120163
527980.01,2261961.01,-36.154140472
527980.01,2262061.01,-37.275615692
527980.01,2262161.01,-39.016941071
527980.01,2262261.01,-41.16261673
527980.01,2262361.01,-42.549037933
527980.01,2262461.01,-42.510360718
527980.01,2262561.01,-41.870418549
527980.01,2262661.01,-40.915718079
527980.01,2262761.01,-40.378414154
527980.01,2262861.01,-39.851554871
527980.01,2262961.01,-39.035556793
527980.01,2263061.01,-38.641647339
527980.01,2263161.01,-38.715782166
527980.01,2263261.01,-38.824069977
527980.01,2263361.01,-38.810035706
527980.01,2263461.01,-38.001800537
527980.01,2263561.01,-35.976470947
527980.01,2263661.01,-35.182052612
527980.01,2263761.01,-34.483505249
527980.01,2263861.01,-33.573474884
527980.01,2263961.01,-30.552736282
527980.01,2264061.01,-28.824995041
527980.01,2264161.01,-31.447973251
527980.01,2264261.01,-36.682529449
527980.01,2264361.01,-40.666183472
527980.01,2264461.01,-42.582424164
527980.01,2264561.01,-44.043479919
527980.01,2264661.01,-44.697952271
527980.01,2264761.01,-43.938724518
527980.01,2264861.01,-43.512672424
527980.01,2264961.01,-42.456718445
527980.01,2265061.01,-41.375892639
527980.01,2265161.01,-40.542499542
527980.01,2265261.01,-39.822231293
527980.01,2265361.01,-40.462463379
527980.01,2265461.01,-40.895061493
527980.01,2265561.01,-40.888671875
527980.01,2265661.01,-41.037578583
527980.01,2265761.01,-41.312194824
527980.01,2265861.01,-41.666652679
527980.01,2265961.01,-42.042110443
527980.01,2266061.01,-42.41999054
527980.01,2266161.01,-42.770389557
527980.01,2266261.01,-43.060642242
528080.01,2260961.01,-26.692539215
528080.01,2261061.01,-26.37374115
528080.01,2261161.01,-26.498365402
528080.01,2261261.01,-27.667762756
528080.01,2261361.01,-28.279684067
528080.01,2261461.01,-29.562612534
528080.01,2261561.01,-31.507394791
528080.01,2261661.01,-32.964305878
528080.01,2261761.01,-32.860477448
528080.01,2261861.01,-34.453918457
528080.01,2261961.01,-35.302848816
528080.01,2262061.01,-36.777984619
528080.01,2262161.01,-38.949478149
528080.01,2262261.01,-40.555145264
528080.01,2262361.01,-41.063114166
528080.01,2262461.01,-40.854774475
528080.01,2262561.01,-41.109218597
528080.01,2262661.01,-41.22650528
528080.01,2262761.01,-40.803184509
528080.01,2262861.01,-40.300136566
528080.01,2262961.01,-39.577976227
528080.01,2263061.01,-39.100597382
528080.01,2263161.01,-39.032062531
528080.01,2263261.01,-39.495979309
528080.01,2263361.01,-39.248020172
528080.01,2263461.01,-38.699306488
528080.01,2263561.01,-36.314678192
528080.01,2263661.01,-35.333236694
528080.01,2263761.01,-34.24829483
528080.01,2263861.01,-33.898044586
528080.01,2263961.01,-30.646324158
528080.01,2264061.01,-28.833972931
528080.01,2264161.01,-31.482822418
528080.01,2264261.01,-36.257190704
528080.01,2264361.01,-40.069339752
528080.01,2264461.01,-41.819793701
528080.01,2264561.01,-43.175312042
528080.01,2264661.01,-44.072059631
528080.01,2264761.01,-43.690605164
528080.01,2264861.01,-43.094074249
528080.01,2264961.01,-42.558334351
528080.01,2265061.01,-41.811069489
528080.01,2265161.01,-42.220283508
528080.01,2265261.01,-41.147186279
528080.01,2265361.01,-41.137466431
528080.01,2265461.01,-41.265727997
528080.01,2265561.01,-41.129024506
528080.01,2265661.01,-41.139392853
528080.01,2265761.01,-41.262004852
528080.01,2265861.01,-41.486274719
528080.01,2265961.01,-41.719684601
528080.01,2266061.01,-41.962581635
528080.01,2266161.01,-42.174980164
528080.01,2266261.01,-42.353740692
528080.01,2266361.01,-42.137306213
528180.01,2260961.01,-26.40048027
528180.01,2261061.01,-26.444709778
528180.01,2261161.01,-26.599355698
528180.01,2261261.01,-27.54775238
528180.01,2261361.01,-28.2532444
528180.01,2261461.01,-29.05847168
528180.01,2261561.01,-30.868211746
528180.01,2261661.01,-31.518154144
528180.01,2261761.01,-31.859472275
528180.01,2261861.01,-34.131958008
528180.01,2261961.01,-35.264728546
528180.01,2262061.01,-36.646987915
528180.01,2262161.01,-38.912918091
528180.01,2262261.01,-39.153831482
528180.01,2262361.01,-39.280445099
528180.01,2262461.01,-39.113624573
528180.01,2262561.01,-39.238822937
528180.01,2262661.01,-40.984260559
528180.01,2262761.01,-41.271972656
528180.01,2262861.01,-40.629711151
528180.01,2262961.01,-39.537734985
528180.01,2263061.01,-39.0235672
528180.01,2263161.01,-38.886314392
528180.01,2263261.01,-39.308490753
528180.01,2263361.01,-39.093635559
528180.01,2263461.01,-38.69651413
528180.01,2263561.01,-36.711078644
528180.01,2263661.01,-35.387130737
528180.01,2263761.01,-34.289207458
528180.01,2263861.01,-33.568012238
528180.01,2263961.01,-32.406219482
528180.01,2264061.01,-30.301971436
528180.01,2264161.01,-32.706115723
528180.01,2264261.01,-36.900455475
528180.01,2264361.01,-40.307468414
528180.01,2264461.01,-40.819984436
528180.01,2264561.01,-42.41242218
528180.01,2264661.01,-43.593109131
528180.01,2264761.01,-43.577617645
528180.01,2264861.01,-42.691501617
528180.01,2264961.01,-42.309112549
528180.01,2265061.01,-41.882255554
528180.01,2265161.01,-42.081489563
528180.01,2265261.01,-41.444965363
528180.01,2265361.01,-40.995113373
528180.01,2265461.01,-41.439846039
528180.01,2265561.01,-41.51279068
528180.01,2265661.01,-41.401515961
528180.01,2265761.01,-41.380683899
528180.01,2265861.01,-41.409111023
528180.01,2265961.01,-41.496929169
528180.01,2266061.01,-41.588336945
528180.01,2266161.01,-41.67640686
528180.01,2266261.01,-41.729991913
528180.01,2266361.01,-41.756786346
528280.01,2260861.01,-25.706663132
528280.01,2260961.01,-26.240747452
528280.01,2261061.01,-26.998699188
528280.01,2261161.01,-27.062866211
528280.01,2261261.01,-27.84718132
528280.01,2261361.01,-29.101613998
528280.01,2261461.01,-29.848682404
528280.01,2261561.01,-31.073387146
528280.01,2261661.01,-32.473144531
528280.01,2261761.01,-32.647525787
528280.01,2261861.01,-34.623989105
528280.01,2261961.01,-35.804862976
528280.01,2262061.01,-37.491462708
528280.01,2262161.01,-37.966472626
528280.01,2262261.01,-37.605537415
528280.01,2262361.01,-38.075710297
528280.01,2262461.01,-38.39012146
528280.01,2262561.01,-38.864868164
528280.01,2262661.01,-38.786022186
528280.01,2262761.01,-40.236503601
528280.01,2262861.01,-40.58158493
528280.01,2262961.01,-38.785045624
528280.01,2263061.01,-38.415390015
528280.01,2263161.01,-38.637432098
528280.01,2263261.01,-38.875602722
528280.01,2263361.01,-38.593410492
528280.01,2263461.01,-37.938621521
528280.01,2263561.01,-36.908229828
528280.01,2263661.01,-35.243934631
528280.01,2263761.01,-34.447319031
528280.01,2263861.01,-33.39302063
528280.01,2263961.01,-32.349105835
528280.01,2264061.01,-31.462129593
528280.01,2264161.01,-34.179031372
528280.01,2264261.01,-36.970825195
528280.01,2264361.01,-40.783729553
528280.01,2264461.01,-40.82094574
528280.01,2264561.01,-42.61964035
528280.01,2264661.01,-43.06388855
528280.01,2264761.01,-42.974334717
528280.01,2264861.01,-42.546470642
528280.01,2264961.01,-41.737953186
528280.01,2265061.01,-41.534095764
528280.01,2265161.01,-41.324287415
528280.01,2265261.01,-40.916755676
528280.01,2265361.01,-40.267150879
528280.01,2265461.01,-40.433456421
528280.01,2265561.01,-41.179527283
528280.01,2265661.01,-41.741764069
528280.01,2265761.01,-41.549598694
528280.01,2265861.01,-41.468070984
