"X","Y","H10_Portl (TWT)"
527180.01,2263261.01,208.608337
527180.01,2263361.01,198.654091
527180.01,2263461.01,198.845497
527180.01,2263561.01,189.903736
527180.01,2263661.01,184.801369
527180.01,2263761.01,185.725502
527180.01,2263861.01,184.79863
527180.01,2263961.01,189.343323
527180.01,2264061.01,191.704681
527180.01,2264161.01,206.88599
527180.01,2264261.01,212.774269
527180.01,2264361.01,217.149277
527180.01,2264461.01,221.524162
527180.01,2264561.01,226.283905
527180.01,2264661.01,232.122345
527180.01,2264761.01,234.705147
527180.01,2264861.01,236.903355
527180.01,2264961.01,239.505508
527180.01,2265061.01,241.49501
527180.01,2265161.01,242.937424
527180.01,2265261.01,244.138496
527180.01,2265361.01,244.470741
527180.01,2265461.01,246.656414
527180.01,2265561.01,248.105156
527180.01,2265661.01,250.648834
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,194.184868
527280.01,2261461.01,195.325752
527280.01,2261561.01,197.426659
527280.01,2261661.01,202.579498
527280.01,2261761.01,208.304947
527280.01,2261861.01,208.947189
527280.01,2261961.01,209.363007
527280.01,2262061.01,210.225479
527280.01,2262161.01,209.056717
527280.01,2262261.01,209.807182
527280.01,2262361.01,210.399689
527280.01,2262461.01,211.276958
527280.01,2262561.01,215.132401
527280.01,2262661.01,217.968426
527280.01,2262761.01,218.589218
527280.01,2262861.01,220.890289
527280.01,2262961.01,222.147141
527280.01,2263061.01,222.18261
527280.01,2263161.01,221.300552
527280.01,2263261.01,218.624836
527280.01,2263361.01,215.821976
527280.01,2263461.01,217.292313
527280.01,2263561.01,215.873863
527280.01,2263661.01,212.177933
527280.01,2263761.01,210.535042
527280.01,2263861.01,203.341919
527280.01,2263961.01,196.324924
527280.01,2264061.01,200.111298
527280.01,2264161.01,210.712654
527280.01,2264261.01,215.168152
527280.01,2264361.01,216.438309
527280.01,2264461.01,219.553329
527280.01,2264561.01,226.054981
527280.01,2264661.01,230.55304
527280.01,2264761.01,237.062042
527280.01,2264861.01,238.959312
527280.01,2264961.01,239.826462
527280.01,2265061.01,241.900486
527280.01,2265161.01,244.113205
527280.01,2265261.01,245.777607
527280.01,2265361.01,245.850449
527280.01,2265461.01,246.755974
527280.01,2265561.01,248.786697
527280.01,2265661.01,250.511387
527280.01,2265761.01,250.676773
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,192.096268
527380.01,2261461.01,192.911263
527380.01,2261561.01,196.725101
527380.01,2261661.01,202.209877
527380.01,2261761.01,205.606102
527380.01,2261861.01,206.791122
527380.01,2261961.01,208.427925
527380.01,2262061.01,208.004242
527380.01,2262161.01,207.176624
527380.01,2262261.01,207.440231
527380.01,2262361.01,207.940174
527380.01,2262461.01,208.352921
527380.01,2262561.01,212.268555
527380.01,2262661.01,216.038681
527380.01,2262761.01,216.050957
527380.01,2262861.01,216.777706
527380.01,2262961.01,216.658607
527380.01,2263061.01,215.816048
527380.01,2263161.01,216.552582
527380.01,2263261.01,216.970619
527380.01,2263361.01,215.726257
527380.01,2263461.01,214.268482
527380.01,2263561.01,213.721008
527380.01,2263661.01,213.408195
527380.01,2263761.01,210.725677
527380.01,2263861.01,208.825455
527380.01,2263961.01,210.331818
527380.01,2264061.01,211.731827
527380.01,2264161.01,212.37693
527380.01,2264261.01,215.427666
527380.01,2264361.01,217.632111
527380.01,2264461.01,222.858734
527380.01,2264561.01,229.513535
527380.01,2264661.01,231.62635
527380.01,2264761.01,235.84444
527380.01,2264861.01,238.323219
527380.01,2264961.01,239.044861
527380.01,2265061.01,241.420227
527380.01,2265161.01,244.780945
527380.01,2265261.01,246.171635
527380.01,2265361.01,246.462044
527380.01,2265461.01,247.246021
527380.01,2265561.01,249.816689
527380.01,2265661.01,250.471146
527380.01,2265761.01,250.986923
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,191.935905
527480.01,2261361.01,190.774178
527480.01,2261461.01,193.209694
527480.01,2261561.01,195.407761
527480.01,2261661.01,199.137711
527480.01,2261761.01,199.650261
527480.01,2261861.01,201.568497
527480.01,2261961.01,203.685913
527480.01,2262061.01,202.700394
527480.01,2262161.01,204.062241
527480.01,2262261.01,204.060455
527480.01,2262361.01,204.202316
527480.01,2262461.01,205.659332
527480.01,2262561.01,210.507851
527480.01,2262661.01,212.503479
527480.01,2262761.01,212.456802
527480.01,2262861.01,213.929779
527480.01,2262961.01,211.246887
527480.01,2263061.01,210.78381
527480.01,2263161.01,212.110329
527480.01,2263261.01,211.956818
527480.01,2263361.01,211.085922
527480.01,2263461.01,209.400536
527480.01,2263561.01,208.575424
527480.01,2263661.01,206.980343
527480.01,2263761.01,207.134804
527480.01,2263861.01,207.440067
527480.01,2263961.01,207.499039
527480.01,2264061.01,209.787857
527480.01,2264161.01,212.172241
527480.01,2264261.01,215.348618
527480.01,2264361.01,216.362164
527480.01,2264461.01,220.88855
527480.01,2264561.01,227.087654
527480.01,2264661.01,229.92009
527480.01,2264761.01,233.32019
527480.01,2264861.01,236.051758
527480.01,2264961.01,236.789852
527480.01,2265061.01,239.937157
527480.01,2265161.01,243.366814
527480.01,2265261.01,245.085098
527480.01,2265361.01,246.267464
527480.01,2265461.01,247.591324
527480.01,2265561.01,249.295914
527480.01,2265661.01,250.224503
527480.01,2265761.01,250.293686
527480.01,2265861.01,249.83876
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,193.79937
527580.01,2261361.01,193.552368
527580.01,2261461.01,195.085873
527580.01,2261561.01,194.782814
527580.01,2261661.01,197.62986
527580.01,2261761.01,197.675491
527580.01,2261861.01,198.048996
527580.01,2261961.01,200.214966
527580.01,2262061.01,200.349777
527580.01,2262161.01,200.380623
527580.01,2262261.01,199.621727
527580.01,2262361.01,199.195602
527580.01,2262461.01,202.073395
527580.01,2262561.01,205.274773
527580.01,2262661.01,207.767303
527580.01,2262761.01,207.264069
527580.01,2262861.01,208.984268
527580.01,2262961.01,209.226357
527580.01,2263061.01,208.867187
527580.01,2263161.01,209.739555
527580.01,2263261.01,209.58815
527580.01,2263361.01,207.760071
527580.01,2263461.01,205.43565
527580.01,2263561.01,204.370239
527580.01,2263661.01,204.05825
527580.01,2263761.01,204.37413
527580.01,2263861.01,205.462387
527580.01,2263961.01,206.066391
527580.01,2264061.01,207.12022
527580.01,2264161.01,210.102356
