"X","Y","H01_T20m (TWT)"
527480.01,2263461.01,-41.9581604
527480.01,2263561.01,-42.006668091
527480.01,2263661.01,-39.772151947
527480.01,2263761.01,-37.108482361
527480.01,2263861.01,-34.572635651
527480.01,2263961.01,-29.277387619
527480.01,2264061.01,-30.992113113
527480.01,2264161.01,-37.981685638
527480.01,2264261.01,-43.050857544
527480.01,2264361.01,-44.931312561
527480.01,2264461.01,-44.439373016
527480.01,2264561.01,-43.515739441
527480.01,2264661.01,-41.237693787
527480.01,2264761.01,-38.423034668
527480.01,2264861.01,-39.029003143
527480.01,2264961.01,-38.343540192
527480.01,2265061.01,-35.661624908
527480.01,2265161.01,-37.377182007
527480.01,2265261.01,-41.348545074
527480.01,2265361.01,-43.202613831
527480.01,2265461.01,-40.184741974
527480.01,2265561.01,-38.841598511
527480.01,2265661.01,-40.348884583
527480.01,2265761.01,-41.51259613
527480.01,2265861.01,-42.434249878
527480.01,2265961.01,-42.971603394
527580.01,2261161.01,-30.164297104
527580.01,2261261.01,-31.773950577
527580.01,2261361.01,-31.807128906
527580.01,2261461.01,-31.155755997
527580.01,2261561.01,-30.672826767
527580.01,2261661.01,-32.023574829
527580.01,2261761.01,-34.676422119
527580.01,2261861.01,-38.185489655
527580.01,2261961.01,-40.307956696
527580.01,2262061.01,-41.601753235
527580.01,2262161.01,-42.610118866
527580.01,2262261.01,-42.586669922
527580.01,2262361.01,-42.309280396
527580.01,2262461.01,-42.605487823
527580.01,2262561.01,-44.696586609
527580.01,2262661.01,-45.987716675
527580.01,2262761.01,-47.267875671
527580.01,2262861.01,-46.841350555
527580.01,2262961.01,-46.793498993
527580.01,2263061.01,-46.005573273
527580.01,2263161.01,-45.301029205
527580.01,2263261.01,-45.961940765
527580.01,2263361.01,-45.112510681
527580.01,2263461.01,-42.604415894
527580.01,2263561.01,-41.519271851
527580.01,2263661.01,-40.889568329
527580.01,2263761.01,-38.619983673
527580.01,2263861.01,-34.683784485
527580.01,2263961.01,-30.432788849
527580.01,2264061.01,-31.039730072
527580.01,2264161.01,-37.187320709
527580.01,2264261.01,-43.514347076
527580.01,2264361.01,-46.957183838
527580.01,2264461.01,-46.457855225
527580.01,2264561.01,-44.066204071
527580.01,2264661.01,-43.771820068
527580.01,2264761.01,-43.29605484
527580.01,2264861.01,-44.543289185
527580.01,2264961.01,-45.249778748
527580.01,2265061.01,-40.55463028
527580.01,2265161.01,-40.431922913
527580.01,2265261.01,-43.485679626
527580.01,2265361.01,-44.582435608
527580.01,2265461.01,-44.472827911
527580.01,2265561.01,-45.448253632
527580.01,2265661.01,-44.486045837
527580.01,2265761.01,-43.527183533
527580.01,2265861.01,-43.864696503
527580.01,2265961.01,-43.49061203
527580.01,2266061.01,-45.332855225
527680.01,2261061.01,-29.105386734
527680.01,2261161.01,-29.381080627
527680.01,2261261.01,-30.146057129
527680.01,2261361.01,-30.016115189
527680.01,2261461.01,-30.313013077
527680.01,2261561.01,-30.362287521
527680.01,2261661.01,-31.200563431
527680.01,2261761.01,-33.818141937
527680.01,2261861.01,-36.711158752
527680.01,2261961.01,-38.018852234
527680.01,2262061.01,-39.539299011
527680.01,2262161.01,-41.640510559
527680.01,2262261.01,-42.822952271
527680.01,2262361.01,-43.331535339
527680.01,2262461.01,-43.692241669
527680.01,2262561.01,-44.444736481
527680.01,2262661.01,-44.71723938
527680.01,2262761.01,-47.075389862
527680.01,2262861.01,-46.949237823
527680.01,2262961.01,-46.412807465
527680.01,2263061.01,-45.793624878
527680.01,2263161.01,-45.444999695
527680.01,2263261.01,-46.317371368
527680.01,2263361.01,-45.553287506
527680.01,2263461.01,-43.249038696
527680.01,2263561.01,-40.522010803
527680.01,2263661.01,-40.210113525
527680.01,2263761.01,-38.407962799
527680.01,2263861.01,-34.300815582
527680.01,2263961.01,-30.76483345
527680.01,2264061.01,-30.233903885
527680.01,2264161.01,-35.606266022
527680.01,2264261.01,-42.515098572
527680.01,2264361.01,-46.646007538
527680.01,2264461.01,-47.226650238
527680.01,2264561.01,-45.692836761
527680.01,2264661.01,-46.191501617
527680.01,2264761.01,-46.255573273
527680.01,2264861.01,-46.753334045
527680.01,2264961.01,-46.461166382
527680.01,2265061.01,-43.606170654
527680.01,2265161.01,-43.045886993
527680.01,2265261.01,-44.114212036
527680.01,2265361.01,-44.147079468
527680.01,2265461.01,-46.855766296
527680.01,2265561.01,-50.233722687
527680.01,2265661.01,-48.660015106
527680.01,2265761.01,-46.383358002
527680.01,2265861.01,-46.045909882
527680.01,2265961.01,-45.851554871
527680.01,2266061.01,-47.633556366
527680.01,2266161.01,-49.581813812
527780.01,2261061.01,-28.666769028
527780.01,2261161.01,-28.435470581
527780.01,2261261.01,-28.583282471
527780.01,2261361.01,-28.847904205
527780.01,2261461.01,-29.394062042
527780.01,2261561.01,-30.681539536
527780.01,2261661.01,-31.969234467
527780.01,2261761.01,-34.600399017
527780.01,2261861.01,-36.61958313
527780.01,2261961.01,-37.334667206
527780.01,2262061.01,-38.961673737
527780.01,2262161.01,-40.82975769
527780.01,2262261.01,-42.157470703
527780.01,2262361.01,-44.476974487
527780.01,2262461.01,-44.88848114
527780.01,2262561.01,-44.243785858
527780.01,2262661.01,-43.70098114
527780.01,2262761.01,-45.34790802
527780.01,2262861.01,-45.836231232
527780.01,2262961.01,-45.713733673
527780.01,2263061.01,-45.562767029
527780.01,2263161.01,-46.254730225
527780.01,2263261.01,-46.755550385
527780.01,2263361.01,-45.548332214
527780.01,2263461.01,-43.224491119
527780.01,2263561.01,-40.334323883
527780.01,2263661.01,-38.338588715
527780.01,2263761.01,-36.53169632
527780.01,2263861.01,-33.729156494
527780.01,2263961.01,-31.234802246
527780.01,2264061.01,-29.02930069
527780.01,2264161.01,-34.356327057
527780.01,2264261.01,-40.602588654
527780.01,2264361.01,-45.740737915
527780.01,2264461.01,-46.957538605
527780.01,2264561.01,-45.892398834
527780.01,2264661.01,-47.223796844
527780.01,2264761.01,-47.706588745
527780.01,2264861.01,-47.600791931
527780.01,2264961.01,-46.961555481
527780.01,2265061.01,-44.716835022
527780.01,2265161.01,-44.345378876
527780.01,2265261.01,-44.581218719
527780.01,2265361.01,-45.02778244
527780.01,2265461.01,-48.095211029
527780.01,2265561.01,-50.439689636
527780.01,2265661.01,-50.496360779
527780.01,2265761.01,-49.391098022
527780.01,2265861.01,-48.223918915
527780.01,2265961.01,-48.548080444
527780.01,2266061.01,-49.481864929
527780.01,2266161.01,-51.029155731
527880.01,2261061.01,-27.593326569
527880.01,2261161.01,-27.223844528
527880.01,2261261.01,-27.535100937
527880.01,2261361.01,-28.366081238
527880.01,2261461.01,-28.816030502
527880.01,2261561.01,-30.645526886
527880.01,2261661.01,-32.845832825
527880.01,2261761.01,-34.257171631
527880.01,2261861.01,-35.651573181
527880.01,2261961.01,-37.453422546
527880.01,2262061.01,-38.594165802
527880.01,2262161.01,-40.13225174
527880.01,2262261.01,-41.371295929
527880.01,2262361.01,-43.358989716
527880.01,2262461.01,-44.678119659
527880.01,2262561.01,-44.399768829
527880.01,2262661.01,-43.331325531
527880.01,2262761.01,-44.156040192
527880.01,2262861.01,-44.390010834
527880.01,2262961.01,-44.227535248
527880.01,2263061.01,-44.529850006
527880.01,2263161.01,-45.303409576
527880.01,2263261.01,-45.985305786
527880.01,2263361.01,-45.300411224
527880.01,2263461.01,-42.763904572
527880.01,2263561.01,-39.866844177
527880.01,2263661.01,-37.620067596
527880.01,2263761.01,-35.349014282
527880.01,2263861.01,-33.473335266
527880.01,2263961.01,-32.235069275
527880.01,2264061.01,-28.701173782
527880.01,2264161.01,-32.460414886
527880.01,2264261.01,-38.409832001
527880.01,2264361.01,-43.733119965
527880.01,2264461.01,-45.978652954
527880.01,2264561.01,-46.333347321
527880.01,2264661.01,-47.891555786
527880.01,2264761.01,-48.648002625
527880.01,2264861.01,-48.915943146
527880.01,2264961.01,-48.432365417
527880.01,2265061.01,-46.433895111
527880.01,2265161.01,-45.14017868
527880.01,2265261.01,-45.065273285
527880.01,2265361.01,-46.605331421
527880.01,2265461.01,-49.442050934
527880.01,2265561.01,-52.169075012
527880.01,2265661.01,-53.38079834
527880.01,2265761.01,-53.206562042
527880.01,2265861.01,-50.565235138
527880.01,2265961.01,-48.73412323
527880.01,2266061.01,-50.566017151
527880.01,2266161.01,-52.50800705
527880.01,2266261.01,-52.420627594
527980.01,2260961.01,-27.22595787
527980.01,2261061.01,-26.644914627
527980.01,2261161.01,-26.389047623
527980.01,2261261.01,-27.507074356
527980.01,2261361.01,-28.239902496
527980.01,2261461.01,-29.359149933
527980.01,2261561.01,-31.291742325
527980.01,2261661.01,-33.499908447
527980.01,2261761.01,-33.768890381
527980.01,2261861.01,-34.75120163
527980.01,2261961.01,-36.154140472
527980.01,2262061.01,-37.275615692
527980.01,2262161.01,-39.016941071
527980.01,2262261.01,-41.16261673
527980.01,2262361.01,-42.549037933
527980.01,2262461.01,-42.784496307
527980.01,2262561.01,-43.156974792
527980.01,2262661.01,-42.827026367
527980.01,2262761.01,-43.224060059
527980.01,2262861.01,-43.529567719
527980.01,2262961.01,-42.977291107
527980.01,2263061.01,-43.14598465
527980.01,2263161.01,-44.13155365
527980.01,2263261.01,-44.962154388
527980.01,2263361.01,-45.314819336
527980.01,2263461.01,-43.733287811
527980.01,2263561.01,-39.243778229
527980.01,2263661.01,-37.22530365
527980.01,2263761.01,-35.190429688
527980.01,2263861.01,-33.573474884
527980.01,2263961.01,-30.552736282
527980.01,2264061.01,-28.824995041
527980.01,2264161.01,-31.447973251
527980.01,2264261.01,-36.682529449
527980.01,2264361.01,-41.238368988
527980.01,2264461.01,-43.68927002
527980.01,2264561.01,-45.579036713
527980.01,2264661.01,-47.595035553
527980.01,2264761.01,-48.382076263
527980.01,2264861.01,-49.974151611
527980.01,2264961.01,-49.774833679
527980.01,2265061.01,-48.982936859
527980.01,2265161.01,-48.246639252
527980.01,2265261.01,-47.357105255
527980.01,2265361.01,-49.042633057
527980.01,2265461.01,-51.327411652
527980.01,2265561.01,-53.972248077
527980.01,2265661.01,-57.278518677
527980.01,2265761.01,-57.39030838
527980.01,2265861.01,-54.220821381
527980.01,2265961.01,-52.01865387
527980.01,2266061.01,-51.712993622
527980.01,2266161.01,-53.456558228
527980.01,2266261.01,-53.449382782
528080.01,2260961.01,-26.692539215
528080.01,2261061.01,-26.37374115
528080.01,2261161.01,-26.498365402
528080.01,2261261.01,-27.667762756
528080.01,2261361.01,-28.279684067
528080.01,2261461.01,-29.562612534
528080.01,2261561.01,-31.507394791
528080.01,2261661.01,-32.964305878
528080.01,2261761.01,-32.860477448
528080.01,2261861.01,-34.453918457
528080.01,2261961.01,-35.302848816
528080.01,2262061.01,-36.777984619
528080.01,2262161.01,-38.949478149
528080.01,2262261.01,-40.555145264
528080.01,2262361.01,-41.063114166
528080.01,2262461.01,-40.854774475
528080.01,2262561.01,-41.109218597
528080.01,2262661.01,-42.128116608
528080.01,2262761.01,-42.724788666
528080.01,2262861.01,-43.037895203
528080.01,2262961.01,-42.719646454
528080.01,2263061.01,-42.803531647
528080.01,2263161.01,-43.529201508
528080.01,2263261.01,-45.220970154
528080.01,2263361.01,-45.115592957
528080.01,2263461.01,-44.129165649
528080.01,2263561.01,-38.895664215
528080.01,2263661.01,-36.486450195
528080.01,2263761.01,-34.24829483
528080.01,2263861.01,-33.898044586
528080.01,2263961.01,-30.646324158
528080.01,2264061.01,-28.833972931
528080.01,2264161.01,-31.482822418
528080.01,2264261.01,-36.257190704
528080.01,2264361.01,-40.069339752
528080.01,2264461.01,-41.819793701
528080.01,2264561.01,-43.589828491
528080.01,2264661.01,-46.491027832
528080.01,2264761.01,-47.993083954
528080.01,2264861.01,-49.215560913
528080.01,2264961.01,-50.249313354
528080.01,2265061.01,-50.364852905
528080.01,2265161.01,-52.616416931
528080.01,2265261.01,-51.256084442
528080.01,2265361.01,-51.820365906
528080.01,2265461.01,-53.71786499
528080.01,2265561.01,-55.115776062
528080.01,2265661.01,-57.795829773
528080.01,2265761.01,-59.603206635
528080.01,2265861.01,-57.801876068
528080.01,2265961.01,-55.946208954
528080.01,2266061.01,-54.025878906
528080.01,2266161.01,-54.001560211
528080.01,2266261.01,-54.481658936
528080.01,2266361.01,-53.781433105
528180.01,2260961.01,-26.40048027
528180.01,2261061.01,-26.444709778
528180.01,2261161.01,-26.599355698
528180.01,2261261.01,-27.54775238
528180.01,2261361.01,-28.2532444
528180.01,2261461.01,-29.05847168
528180.01,2261561.01,-30.868211746
528180.01,2261661.01,-31.518154144
528180.01,2261761.01,-31.859472275
528180.01,2261861.01,-34.131958008
528180.01,2261961.01,-35.264728546
528180.01,2262061.01,-36.646987915
528180.01,2262161.01,-38.912918091
528180.01,2262261.01,-39.153831482
528180.01,2262361.01,-39.280445099
528180.01,2262461.01,-39.113624573
528180.01,2262561.01,-39.238822937
528180.01,2262661.01,-40.984260559
528180.01,2262761.01,-42.276790619
528180.01,2262861.01,-42.278514862
528180.01,2262961.01,-41.190040588
528180.01,2263061.01,-41.199954987
528180.01,2263161.01,-41.879585266
528180.01,2263261.01,-43.518428802
528180.01,2263361.01,-43.528392792
528180.01,2263461.01,-42.926055908
528180.01,2263561.01,-38.613342285
528180.01,2263661.01,-35.50837326
528180.01,2263761.01,-34.289207458
528180.01,2263861.01,-33.568012238
528180.01,2263961.01,-32.406219482
528180.01,2264061.01,-30.301971436
528180.01,2264161.01,-32.706115723
528180.01,2264261.01,-36.900455475
528180.01,2264361.01,-40.307468414
528180.01,2264461.01,-40.819984436
528180.01,2264561.01,-42.41242218
528180.01,2264661.01,-46.080287933
528180.01,2264761.01,-48.186725616
528180.01,2264861.01,-48.64031601
528180.01,2264961.01,-50.00586319
528180.01,2265061.01,-50.904148102
528180.01,2265161.01,-52.872444153
528180.01,2265261.01,-52.685722351
528180.01,2265361.01,-52.523677826
528180.01,2265461.01,-53.993022919
528180.01,2265561.01,-54.901802063
528180.01,2265661.01,-57.704051971
528180.01,2265761.01,-59.99433136
528180.01,2265861.01,-59.821029663
528180.01,2265961.01,-59.508621216
528180.01,2266061.01,-56.807014465
528180.01,2266161.01,-54.878143311
528180.01,2266261.01,-55.665050507
528180.01,2266361.01,-54.887710571
528280.01,2260861.01,-25.706663132
528280.01,2260961.01,-26.240747452
528280.01,2261061.01,-26.998699188
528280.01,2261161.01,-27.062866211
528280.01,2261261.01,-27.84718132
528280.01,2261361.01,-29.101613998
528280.01,2261461.01,-29.848682404
528280.01,2261561.01,-31.073387146
528280.01,2261661.01,-32.473144531
528280.01,2261761.01,-32.647525787
528280.01,2261861.01,-34.623989105
528280.01,2261961.01,-35.804862976
528280.01,2262061.01,-37.491462708
528280.01,2262161.01,-37.966472626
528280.01,2262261.01,-37.605537415
528280.01,2262361.01,-38.075710297
528280.01,2262461.01,-38.39012146
528280.01,2262561.01,-38.864868164
528280.01,2262661.01,-38.786022186
528280.01,2262761.01,-40.236503601
528280.01,2262861.01,-40.613265991
528280.01,2262961.01,-38.785045624
528280.01,2263061.01,-38.417869568
528280.01,2263161.01,-39.923271179
528280.01,2263261.01,-41.250324249
528280.01,2263361.01,-41.223953247
528280.01,2263461.01,-40.149097443
528280.01,2263561.01,-37.984745026
528280.01,2263661.01,-35.243934631
528280.01,2263761.01,-34.447319031
528280.01,2263861.01,-33.39302063
528280.01,2263961.01,-32.349105835
528280.01,2264061.01,-31.462129593
528280.01,2264161.01,-34.179031372
528280.01,2264261.01,-36.970825195
528280.01,2264361.01,-40.783729553
528280.01,2264461.01,-40.82094574
528280.01,2264561.01,-43.076747894
528280.01,2264661.01,-45.271808624
528280.01,2264761.01,-47.117168427
528280.01,2264861.01,-48.480445862
528280.01,2264961.01,-48.902435303
528280.01,2265061.01,-50.358375549
528280.01,2265161.01,-51.544006348
528280.01,2265261.01,-52.00769043
528280.01,2265361.01,-51.58782959
528280.01,2265461.01,-52.624729156
528280.01,2265561.01,-54.622634888
528280.01,2265661.01,-56.912128448
528280.01,2265761.01,-58.557331085
528280.01,2265861.01,-59.941207886
528280.01,2265961.01,-61.415618896
528280.01,2266061.01,-58.876033783
528280.01,2266161.01,-57.053703308
528280.01,2266261.01,-58.43862915
