"X","Y","H40_Batho (TWT)"
527180.01,2263261.01,565.329163
527180.01,2263361.01,566.426178
527180.01,2263461.01,566.899384
527180.01,2263561.01,567.976639
527180.01,2263661.01,570.01767
527180.01,2263761.01,571.447662
527180.01,2263861.01,574.880676
527180.01,2263961.01,578.835968
527180.01,2264061.01,581.611603
527180.01,2264161.01,588.465851
527180.01,2264261.01,596.344208
527180.01,2264361.01,602.841064
527180.01,2264461.01,610.066864
527180.01,2264561.01,614.512756
527180.01,2264661.01,620.482727
527180.01,2264761.01,625.691956
527180.01,2264861.01,630.308304
527180.01,2264961.01,627.143951
527180.01,2265061.01,624.685394
527180.01,2265161.01,626.949768
527180.01,2265261.01,631.459808
527180.01,2265361.01,633.55014
527180.01,2265461.01,633.439529
527180.01,2265561.01,632.823334
527180.01,2265661.01,633.441284
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,577.669937
527280.01,2261461.01,576.540649
527280.01,2261561.01,578.655304
527280.01,2261661.01,577.672424
527280.01,2261761.01,571.134857
527280.01,2261861.01,571.895996
527280.01,2261961.01,563.289917
527280.01,2262061.01,559.615295
527280.01,2262161.01,561.50061
527280.01,2262261.01,562.209534
527280.01,2262361.01,563.357422
527280.01,2262461.01,565.133347
527280.01,2262561.01,566.198822
527280.01,2262661.01,566.805801
527280.01,2262761.01,567.411011
527280.01,2262861.01,565.971954
527280.01,2262961.01,564.033875
527280.01,2263061.01,564.201202
527280.01,2263161.01,564.339233
527280.01,2263261.01,565.509583
527280.01,2263361.01,567.096954
527280.01,2263461.01,567.975403
527280.01,2263561.01,568.795105
527280.01,2263661.01,570.670837
527280.01,2263761.01,572.10199
527280.01,2263861.01,573.443787
527280.01,2263961.01,576.235733
527280.01,2264061.01,578.548218
527280.01,2264161.01,585.844574
527280.01,2264261.01,594.469177
527280.01,2264361.01,598.845612
527280.01,2264461.01,605.828827
527280.01,2264561.01,611.855896
527280.01,2264661.01,615.378357
527280.01,2264761.01,624.585999
527280.01,2264861.01,629.636047
527280.01,2264961.01,628.060364
527280.01,2265061.01,625.670471
527280.01,2265161.01,627.051636
527280.01,2265261.01,632.019989
527280.01,2265361.01,634.032043
527280.01,2265461.01,633.603638
527280.01,2265561.01,633.954102
527280.01,2265661.01,634.933655
527280.01,2265761.01,636.00885
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,579.53183
527380.01,2261461.01,580.200043
527380.01,2261561.01,582.238007
527380.01,2261661.01,583.943939
527380.01,2261761.01,585.155914
527380.01,2261861.01,587.490295
527380.01,2261961.01,585.249573
527380.01,2262061.01,575.59375
527380.01,2262161.01,576.272903
527380.01,2262261.01,572.223877
527380.01,2262361.01,570.741501
527380.01,2262461.01,575.7901
527380.01,2262561.01,587.032227
527380.01,2262661.01,583.624817
527380.01,2262761.01,586.17334
527380.01,2262861.01,574.946518
527380.01,2262961.01,567.04184
527380.01,2263061.01,566.909027
527380.01,2263161.01,567.395142
527380.01,2263261.01,568.097046
527380.01,2263361.01,568.542969
527380.01,2263461.01,568.087402
527380.01,2263561.01,568.080963
527380.01,2263661.01,570.29277
527380.01,2263761.01,571.5625
527380.01,2263861.01,572.02533
527380.01,2263961.01,574.511505
527380.01,2264061.01,576.45932
527380.01,2264161.01,582.815735
527380.01,2264261.01,591.339172
527380.01,2264361.01,595.347626
527380.01,2264461.01,603.022949
527380.01,2264561.01,609.889221
527380.01,2264661.01,612.477692
527380.01,2264761.01,620.50679
527380.01,2264861.01,627.393036
527380.01,2264961.01,627.586029
527380.01,2265061.01,626.322205
527380.01,2265161.01,629.266541
527380.01,2265261.01,631.876419
527380.01,2265361.01,635.735779
527380.01,2265461.01,635.177338
527380.01,2265561.01,637.0159
527380.01,2265661.01,637.36908
527380.01,2265761.01,633.399353
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,580.188782
527480.01,2261361.01,580.617279
527480.01,2261461.01,581.016663
527480.01,2261561.01,582.064636
527480.01,2261661.01,584.260559
527480.01,2261761.01,585.07605
