"X","Y","H70_Arg_Lev (TWT)"
527180.01,2263061.01,673.319727
527180.01,2263161.01,673.785788
527180.01,2263261.01,675.165286
527180.01,2263361.01,677.853313
527180.01,2263461.01,678.062368
527180.01,2263561.01,680.152789
527180.01,2263661.01,682.707317
527180.01,2263761.01,683.877897
527180.01,2263861.01,688.52871
527180.01,2263961.01,693.546159
527180.01,2264061.01,695.896764
527180.01,2264161.01,701.377663
527180.01,2264261.01,710.095832
527180.01,2264361.01,714.380636
527180.01,2264461.01,722.822527
527180.01,2264561.01,729.761947
527180.01,2264661.01,737.789147
527180.01,2264761.01,744.910179
527180.01,2264861.01,741.691018
527180.01,2264961.01,740.318724
527180.01,2265061.01,740.756712
527180.01,2265161.01,744.377002
527180.01,2265261.01,747.128373
527180.01,2265361.01,750.623529
527180.01,2265461.01,749.874135
527180.01,2265561.01,756.079293
527180.01,2265661.01,758.42682
527180.01,2265761.01,757.215296
527180.01,2265861.01,753.443803
527280.01,2261261.01,714.164429
527280.01,2261361.01,714.47247
527280.01,2261461.01,713.451421
527280.01,2261561.01,700.400203
527280.01,2261661.01,679.533427
527280.01,2261761.01,680.809985
527280.01,2261861.01,679.487501
527280.01,2261961.01,675.226915
527280.01,2262061.01,673.105089
527280.01,2262161.01,675.984106
527280.01,2262261.01,673.896155
527280.01,2262361.01,676.66042
527280.01,2262461.01,679.183379
527280.01,2262561.01,678.485692
527280.01,2262661.01,679.257863
527280.01,2262761.01,679.349738
527280.01,2262861.01,677.4977
527280.01,2262961.01,675.385687
527280.01,2263061.01,675.793274
527280.01,2263161.01,676.053357
527280.01,2263261.01,676.858746
527280.01,2263361.01,678.507492
527280.01,2263461.01,679.064955
527280.01,2263561.01,681.335849
527280.01,2263661.01,682.616105
527280.01,2263761.01,684.186874
527280.01,2263861.01,686.119508
527280.01,2263961.01,691.075301
527280.01,2264061.01,694.920395
527280.01,2264161.01,700.960981
527280.01,2264261.01,708.284907
527280.01,2264361.01,711.529047
527280.01,2264461.01,718.231127
527280.01,2264561.01,725.274201
527280.01,2264661.01,730.190027
527280.01,2264761.01,740.917111
527280.01,2264861.01,740.476306
527280.01,2264961.01,739.703372
527280.01,2265061.01,739.117208
527280.01,2265161.01,744.198988
527280.01,2265261.01,747.00002
527280.01,2265361.01,748.787467
527280.01,2265461.01,746.499006
527280.01,2265561.01,759.03351
527280.01,2265661.01,758.258845
527280.01,2265761.01,753.840944
527280.01,2265861.01,748.093481
527380.01,2261161.01,-9999
527380.01,2261261.01,724.546126
527380.01,2261361.01,721.239866
527380.01,2261461.01,722.011821
527380.01,2261561.01,718.538836
527380.01,2261661.01,719.107211
527380.01,2261761.01,721.759468
527380.01,2261861.01,698.758211
527380.01,2261961.01,676.675032
527380.01,2262061.01,676.351897
527380.01,2262161.01,678.140645
527380.01,2262261.01,673.65064
527380.01,2262361.01,676.478823
527380.01,2262461.01,679.09367
527380.01,2262561.01,675.891678
527380.01,2262661.01,678.657554
527380.01,2262761.01,681.422743
527380.01,2262861.01,681.283097
527380.01,2262961.01,678.473196
527380.01,2263061.01,678.434099
527380.01,2263161.01,679.031719
527380.01,2263261.01,678.852519
527380.01,2263361.01,679.069418
527380.01,2263461.01,678.991437
527380.01,2263561.01,679.813502
527380.01,2263661.01,682.128966
527380.01,2263761.01,683.142823
527380.01,2263861.01,684.499211
527380.01,2263961.01,686.518917
527380.01,2264061.01,689.576488
527380.01,2264161.01,699.591728
527380.01,2264261.01,705.729139
527380.01,2264361.01,707.935673
527380.01,2264461.01,713.981799
527380.01,2264561.01,721.478011
527380.01,2264661.01,725.185373
527380.01,2264761.01,736.043677
527380.01,2264861.01,740.558746
527380.01,2264961.01,741.272622
527380.01,2265061.01,739.268642
527380.01,2265161.01,744.363857
527380.01,2265261.01,747.111728
527380.01,2265361.01,749.978009
