"X","Y","H04_Cenom (TWT)"
527180.01,2262861.01,103.111076
527180.01,2262961.01,104.876495
527180.01,2263061.01,104.596069
527180.01,2263161.01,103.42144
527180.01,2263261.01,103.831131
527180.01,2263361.01,103.0616
527180.01,2263461.01,102.148865
527180.01,2263561.01,101.012032
527180.01,2263661.01,99.4202957
527180.01,2263761.01,98.5816574
527180.01,2263861.01,98.9263535
527180.01,2263961.01,99.7222137
527180.01,2264061.01,99.596283
527180.01,2264161.01,103.085505
527180.01,2264261.01,101.597118
527180.01,2264361.01,102.849602
527180.01,2264461.01,106.444122
527180.01,2264561.01,110.384125
527180.01,2264661.01,113.909973
527180.01,2264761.01,115.772011
527180.01,2264861.01,117.681026
527180.01,2264961.01,118.910671
527180.01,2265061.01,119.326626
527180.01,2265161.01,119.415016
527180.01,2265261.01,118.90987
527180.01,2265361.01,118.330616
527180.01,2265461.01,117.35253
527180.01,2265561.01,116.453075
527180.01,2265661.01,115.154366
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,74.4857845
527280.01,2261461.01,75.5223541
527280.01,2261561.01,76.4030914
527280.01,2261661.01,80.5555496
527280.01,2261761.01,86.0514259
527280.01,2261861.01,88.4980965
527280.01,2261961.01,89.1954269
527280.01,2262061.01,89.7120323
527280.01,2262161.01,89.5419617
527280.01,2262261.01,90.4839554
527280.01,2262361.01,91.5019684
527280.01,2262461.01,90.2670727
527280.01,2262561.01,91.3543434
527280.01,2262661.01,93.9236183
527280.01,2262761.01,95.2056274
527280.01,2262861.01,98.2431221
527280.01,2262961.01,100.395782
527280.01,2263061.01,100.329058
527280.01,2263161.01,101.234001
527280.01,2263261.01,101.296328
527280.01,2263361.01,101.087833
527280.01,2263461.01,97.541954
527280.01,2263561.01,97.0670128
527280.01,2263661.01,96.9894028
527280.01,2263761.01,95.30966
527280.01,2263861.01,93.6809387
527280.01,2263961.01,93.8432674
527280.01,2264061.01,94.0248718
527280.01,2264161.01,96.1529388
527280.01,2264261.01,99.6830978
527280.01,2264361.01,101.92202
527280.01,2264461.01,105.884876
527280.01,2264561.01,110.272619
527280.01,2264661.01,112.878326
527280.01,2264761.01,115.377632
527280.01,2264861.01,117.270721
527280.01,2264961.01,117.743668
527280.01,2265061.01,118.789488
527280.01,2265161.01,119.125805
527280.01,2265261.01,118.437973
527280.01,2265361.01,117.509628
527280.01,2265461.01,116.129215
527280.01,2265561.01,115.074188
527280.01,2265661.01,114.284742
527280.01,2265761.01,113.76408
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,74.1895981
527380.01,2261361.01,73.7100677
527380.01,2261461.01,73.7034798
527380.01,2261561.01,74.4552231
527380.01,2261661.01,79.4378357
527380.01,2261761.01,82.6158371
527380.01,2261861.01,87.7101517
527380.01,2261961.01,87.8233032
527380.01,2262061.01,87.826767
527380.01,2262161.01,87.4540501
527380.01,2262261.01,88.1212997
527380.01,2262361.01,88.7328396
527380.01,2262461.01,88.4704208
527380.01,2262561.01,89.0013657
527380.01,2262661.01,90.9726563
527380.01,2262761.01,91.8260651
527380.01,2262861.01,93.9996223
527380.01,2262961.01,95.7041435
527380.01,2263061.01,95.8044968
527380.01,2263161.01,97.3566208
527380.01,2263261.01,97.3916626
527380.01,2263361.01,96.2492867
527380.01,2263461.01,94.0855637
527380.01,2263561.01,92.9014435
527380.01,2263661.01,93.1354752
527380.01,2263761.01,91.4890976
527380.01,2263861.01,88.4571762
527380.01,2263961.01,90.3123932
527380.01,2264061.01,91.9232597
527380.01,2264161.01,95.6243668
527380.01,2264261.01,98.7846107
527380.01,2264361.01,100.814056
527380.01,2264461.01,105.657463
527380.01,2264561.01,110.484112
527380.01,2264661.01,112.332989
527380.01,2264761.01,113.875618
527380.01,2264861.01,115.804176
527380.01,2264961.01,116.312145
527380.01,2265061.01,117.721359
527380.01,2265161.01,118.372826
527380.01,2265261.01,117.785847
527380.01,2265361.01,116.050373
527380.01,2265461.01,114.099447
527380.01,2265561.01,112.8521
527380.01,2265661.01,112.007999
527380.01,2265761.01,111.5009
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,74.7548243
527480.01,2261361.01,74.229496
527480.01,2261461.01,74.125988
527480.01,2261561.01,74.1487579
527480.01,2261661.01,77.5691681
527480.01,2261761.01,80.1072044
527480.01,2261861.01,82.8643875
527480.01,2261961.01,83.003027
527480.01,2262061.01,81.8236389
527480.01,2262161.01,82.4046745
527480.01,2262261.01,82.8924255
527480.01,2262361.01,84.1758308
527480.01,2262461.01,84.8246574
527480.01,2262561.01,86.6709461
527480.01,2262661.01,88.6594543
527480.01,2262761.01,89.5450211
527480.01,2262861.01,91.4458084
527480.01,2262961.01,92.3456345
527480.01,2263061.01,93.225771
527480.01,2263161.01,93.4150429
527480.01,2263261.01,92.3027039
527480.01,2263361.01,90.3764954
527480.01,2263461.01,88.6893234
527480.01,2263561.01,87.720871
527480.01,2263661.01,87.4993267
527480.01,2263761.01,87.319088
527480.01,2263861.01,87.0408421
527480.01,2263961.01,87.4367142
527480.01,2264061.01,90.1201172
527480.01,2264161.01,94.0066605
527480.01,2264261.01,96.031517
527480.01,2264361.01,97.9485817
527480.01,2264461.01,102.100792
527480.01,2264561.01,107.388069
527480.01,2264661.01,109.40081
527480.01,2264761.01,112.068466
527480.01,2264861.01,114.534286
527480.01,2264961.01,114.90313
527480.01,2265061.01,116.359081
527480.01,2265161.01,117.800053
527480.01,2265261.01,117.401634
527480.01,2265361.01,115.362965
527480.01,2265461.01,112.836441
527480.01,2265561.01,109.223953
527480.01,2265661.01,108.903931
527480.01,2265761.01,109.565563
527480.01,2265861.01,109.769356
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,75.2575417
527580.01,2261361.01,74.887886
527580.01,2261461.01,73.733408
527580.01,2261561.01,72.6840668
527580.01,2261661.01,75.4444237
527580.01,2261761.01,77.5606766
527580.01,2261861.01,79.4563522
527580.01,2261961.01,79.9771652
527580.01,2262061.01,79.7789898
527580.01,2262161.01,78.6630077
527580.01,2262261.01,77.7050972
527580.01,2262361.01,78.0867386
