"X","Y","H80_r3a (TWT)"
527180.01,2263261.01,727.421631
527180.01,2263361.01,729.520264
527180.01,2263461.01,729.859009
527180.01,2263561.01,730.008286
527180.01,2263661.01,731.508698
527180.01,2263761.01,732.348755
527180.01,2263861.01,736.904602
527180.01,2263961.01,743.80603
527180.01,2264061.01,746.918335
527180.01,2264161.01,751.527817
527180.01,2264261.01,758.714996
527180.01,2264361.01,761.164429
527180.01,2264461.01,769.327545
527180.01,2264561.01,776.093872
527180.01,2264661.01,782.945557
527180.01,2264761.01,787.588715
527180.01,2264861.01,782.719254
527180.01,2264961.01,784.822235
527180.01,2265061.01,788.387787
527180.01,2265161.01,794.032349
527180.01,2265261.01,796.119293
527180.01,2265361.01,797.218597
527180.01,2265461.01,799.938065
527180.01,2265561.01,801.432831
527180.01,2265661.01,803.278442
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,764.900879
527280.01,2261461.01,740.748291
527280.01,2261561.01,734.456818
527280.01,2261661.01,721.510315
527280.01,2261761.01,720.233124
527280.01,2261861.01,719.988037
527280.01,2261961.01,718.512268
527280.01,2262061.01,719.785583
527280.01,2262161.01,721.677185
527280.01,2262261.01,723.247986
527280.01,2262361.01,726.94928
527280.01,2262461.01,727.099487
527280.01,2262561.01,728.940887
527280.01,2262661.01,730.171677
527280.01,2262761.01,729.951233
527280.01,2262861.01,727.492889
527280.01,2262961.01,726.015564
527280.01,2263061.01,727.397018
527280.01,2263161.01,727.045746
527280.01,2263261.01,727.055283
527280.01,2263361.01,729.498199
527280.01,2263461.01,728.789734
527280.01,2263561.01,728.029694
527280.01,2263661.01,730.659729
527280.01,2263761.01,731.363541
527280.01,2263861.01,733.88678
527280.01,2263961.01,739.315231
527280.01,2264061.01,742.368896
527280.01,2264161.01,749.184753
527280.01,2264261.01,755.746704
527280.01,2264361.01,758.117386
527280.01,2264461.01,763.118317
527280.01,2264561.01,772.624863
527280.01,2264661.01,778.875732
527280.01,2264761.01,786.64856
527280.01,2264861.01,784.256378
527280.01,2264961.01,783.293427
527280.01,2265061.01,786.378693
527280.01,2265161.01,792.477997
527280.01,2265261.01,796.695679
527280.01,2265361.01,798.011841
527280.01,2265461.01,801.533356
527280.01,2265561.01,803.821411
527280.01,2265661.01,805.750046
527280.01,2265761.01,806.02948
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,794.293427
527380.01,2261461.01,794.944794
527380.01,2261561.01,789.93457
527380.01,2261661.01,761.148285
527380.01,2261761.01,755.163422
527380.01,2261861.01,727.872192
527380.01,2261961.01,720.586792
527380.01,2262061.01,721.905273
527380.01,2262161.01,723.189941
527380.01,2262261.01,725.117523
527380.01,2262361.01,728.302185
527380.01,2262461.01,728.928467
527380.01,2262561.01,732.21167
527380.01,2262661.01,734.056885
527380.01,2262761.01,732.793304
527380.01,2262861.01,729.058472
527380.01,2262961.01,728.086334
527380.01,2263061.01,728.914825
527380.01,2263161.01,729.718933
527380.01,2263261.01,727.738495
527380.01,2263361.01,728.176056
527380.01,2263461.01,727.984558
527380.01,2263561.01,727.479858
527380.01,2263661.01,730.009079
527380.01,2263761.01,731.071106
527380.01,2263861.01,732.168335
527380.01,2263961.01,733.8302
527380.01,2264061.01,736.629578
527380.01,2264161.01,745.637909
527380.01,2264261.01,753.636139
527380.01,2264361.01,755.824829
527380.01,2264461.01,759.908081
527380.01,2264561.01,765.742126
527380.01,2264661.01,770.637878
527380.01,2264761.01,782.155624
527380.01,2264861.01,785.499084
527380.01,2264961.01,783.51709
527380.01,2265061.01,785.186584
527380.01,2265161.01,793.445312
527380.01,2265261.01,797.062607
527380.01,2265361.01,797.565399
527380.01,2265461.01,794.10112
527380.01,2265561.01,793.707703
527380.01,2265661.01,791.560272
527380.01,2265761.01,782.314941
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,790.202698
527480.01,2261361.01,794.518494
527480.01,2261461.01,795.25769
527480.01,2261561.01,797.162537
527480.01,2261661.01,798.024536
527480.01,2261761.01,796.734116
527480.01,2261861.01,787.891052
527480.01,2261961.01,764.583023
527480.01,2262061.01,766.096436
527480.01,2262161.01,749.342773
527480.01,2262261.01,741.691406
527480.01,2262361.01,738.081604
527480.01,2262461.01,744.689728
527480.01,2262561.01,740.260132
527480.01,2262661.01,735.990692
527480.01,2262761.01,735.36322
527480.01,2262861.01,728.851257
