"X","Y","H00_Ground Level (TWT)"
526980.01,2262061.01,-85.827415466
526980.01,2262161.01,-85.294403076
526980.01,2262261.01,-85.23311615
526980.01,2262361.01,-85.505622864
526980.01,2262461.01,-86.720420837
526980.01,2262561.01,-88.380149841
526980.01,2262661.01,-90.209754944
526980.01,2262761.01,-91.135902405
526980.01,2262861.01,-92.527076721
526980.01,2262961.01,-93.493530273
526980.01,2263061.01,-93.802696228
526980.01,2263161.01,-94.509399414
526980.01,2263261.01,-91.926071167
526980.01,2263361.01,-90.481651306
526980.01,2263461.01,-87.967529297
526980.01,2263561.01,-84.845695496
526980.01,2263661.01,-83.318695068
526980.01,2263761.01,-81.723945618
526980.01,2263861.01,-74.244270325
526980.01,2263961.01,-70.115234375
526980.01,2264061.01,-62.507213593
526980.01,2264161.01,-62.654495239
526980.01,2264261.01,-68.145530701
526980.01,2264361.01,-69.757232666
526980.01,2264461.01,-65.991844177
526980.01,2264561.01,-57.862350464
526980.01,2264661.01,-50.55582428
526980.01,2264761.01,-51.793048859
526980.01,2264861.01,-57.431354523
526980.01,2264961.01,-62.465484619
526980.01,2265061.01,-65.296615601
526980.01,2265161.01,-67.476966858
526980.01,2265261.01,-70.060134888
526980.01,2265361.01,-71.865463257
527080.01,2261261.01,-83.461097717
527080.01,2261361.01,-81.088195801
527080.01,2261461.01,-79.564758301
527080.01,2261561.01,-79.716087341
527080.01,2261661.01,-81.442871094
527080.01,2261761.01,-83.254951477
527080.01,2261861.01,-85.503715515
527080.01,2261961.01,-86.577377319
527080.01,2262061.01,-86.530197144
527080.01,2262161.01,-86.730384827
527080.01,2262261.01,-86.834640503
527080.01,2262361.01,-86.598640442
527080.01,2262461.01,-87.853439331
527080.01,2262561.01,-90.145515442
527080.01,2262661.01,-91.506195068
527080.01,2262761.01,-92.532699585
527080.01,2262861.01,-93.759841919
527080.01,2262961.01,-94.651603699
527080.01,2263061.01,-94.801422119
527080.01,2263161.01,-94.073768616
527080.01,2263261.01,-90.884544373
527080.01,2263361.01,-90.391822815
527080.01,2263461.01,-89.19342041
527080.01,2263561.01,-86.612281799
527080.01,2263661.01,-84.326339722
527080.01,2263761.01,-81.953010559
527080.01,2263861.01,-75.057952881
527080.01,2263961.01,-68.850631714
527080.01,2264061.01,-62.820240021
527080.01,2264161.01,-62.748840332
527080.01,2264261.01,-67.506660461
527080.01,2264361.01,-71.464416504
527080.01,2264461.01,-69.265640259
527080.01,2264561.01,-62.838546753
527080.01,2264661.01,-54.216178894
527080.01,2264761.01,-54.211711884
527080.01,2264861.01,-59.71207428
527080.01,2264961.01,-63.555858612
527080.01,2265061.01,-65.238899231
527080.01,2265161.01,-66.827163696
527080.01,2265261.01,-69.897407532
527080.01,2265361.01,-71.555351257
527080.01,2265461.01,-73.480537415
527080.01,2265561.01,-75.904663086
527080.01,2265661.01,-78.232444763
527080.01,2265761.01,-79.873413086
527180.01,2261261.01,-81.485122681
527180.01,2261361.01,-79.252723694
527180.01,2261461.01,-77.577095032
527180.01,2261561.01,-77.212211609
527180.01,2261661.01,-79.052253723
527180.01,2261761.01,-82.03729248
527180.01,2261861.01,-84.828819275
527180.01,2261961.01,-86.506263733
527180.01,2262061.01,-86.744613647
527180.01,2262161.01,-86.50957489
527180.01,2262261.01,-87.602752686
527180.01,2262361.01,-87.682723999
527180.01,2262461.01,-89.092529297
527180.01,2262561.01,-91.63343811
527180.01,2262661.01,-93.136627197
527180.01,2262761.01,-93.64691925
527180.01,2262861.01,-95.03465271
527180.01,2262961.01,-95.509040833
527180.01,2263061.01,-94.997367859
527180.01,2263161.01,-93.664131165
527180.01,2263261.01,-90.86706543
527180.01,2263361.01,-89.225128174
527180.01,2263461.01,-88.51991272
527180.01,2263561.01,-87.326843262
527180.01,2263661.01,-85.97328949
527180.01,2263761.01,-81.608665466
527180.01,2263861.01,-75.296813965
527180.01,2263961.01,-70.556655884
527180.01,2264061.01,-65.601593018
527180.01,2264161.01,-66.184570313
527180.01,2264261.01,-67.496643066
527180.01,2264361.01,-71.682685852
527180.01,2264461.01,-71.220352173
527180.01,2264561.01,-67.951393127
527180.01,2264661.01,-60.736560822
527180.01,2264761.01,-54.184936523
527180.01,2264861.01,-58.94127655
527180.01,2264961.01,-62.529972076
527180.01,2265061.01,-64.48034668
527180.01,2265161.01,-66.27848053
527180.01,2265261.01,-69.388534546
527180.01,2265361.01,-71.281288147
527180.01,2265461.01,-73.941490173
527180.01,2265561.01,-76.193435669
527180.01,2265661.01,-78.797676086
527180.01,2265761.01,-80.472572327
527180.01,2265861.01,-81.629219055
527280.01,2261261.01,-79.122657776
527280.01,2261361.01,-77.882087708
527280.01,2261461.01,-76.543952942
527280.01,2261561.01,-75.634666443
527280.01,2261661.01,-78.241699219
527280.01,2261761.01,-81.535820007
527280.01,2261861.01,-84.699951172
527280.01,2261961.01,-86.500068665
527280.01,2262061.01,-85.575286865
527280.01,2262161.01,-86.155487061
527280.01,2262261.01,-87.82800293
527280.01,2262361.01,-88.642852783
527280.01,2262461.01,-90.65120697
527280.01,2262561.01,-93.21913147
527280.01,2262661.01,-95.699234009
527280.01,2262761.01,-95.105331421
527280.01,2262861.01,-95.296081543
527280.01,2262961.01,-95.54196167
527280.01,2263061.01,-94.310379028
527280.01,2263161.01,-92.232650757
527280.01,2263261.01,-89.965881348
527280.01,2263361.01,-87.663795471
527280.01,2263461.01,-87.212104797
527280.01,2263561.01,-86.92010498
527280.01,2263661.01,-84.991928101
527280.01,2263761.01,-80.71446991
527280.01,2263861.01,-75.919418335
527280.01,2263961.01,-71.034591675
527280.01,2264061.01,-66.00403595
527280.01,2264161.01,-67.967430115
527280.01,2264261.01,-69.919433594
527280.01,2264361.01,-71.732498169
527280.01,2264461.01,-71.907264709
527280.01,2264561.01,-70.159660339
527280.01,2264661.01,-66.37689209
527280.01,2264761.01,-57.730247498
527280.01,2264861.01,-57.677951813
527280.01,2264961.01,-60.310127258
527280.01,2265061.01,-62.939086914
527280.01,2265161.01,-65.977203369
527280.01,2265261.01,-67.907226563
527280.01,2265361.01,-69.527870178
527280.01,2265461.01,-73.362510681
527280.01,2265561.01,-75.938751221
527280.01,2265661.01,-79.077445984
527280.01,2265761.01,-80.680053711
527280.01,2265861.01,-81.876403809
527380.01,2261161.01,-76.719009399
527380.01,2261261.01,-76.426063538
527380.01,2261361.01,-75.979003906
527380.01,2261461.01,-75.129753113
527380.01,2261561.01,-75.054580688
527380.01,2261661.01,-78.08921051
527380.01,2261761.01,-80.861373901
527380.01,2261861.01,-83.84853363
527380.01,2261961.01,-86.330833435
527380.01,2262061.01,-86.386413574
527380.01,2262161.01,-86.344993591
527380.01,2262261.01,-88.040748596
527380.01,2262361.01,-89.338294983
527380.01,2262461.01,-90.25100708
527380.01,2262561.01,-93.770385742
527380.01,2262661.01,-96.225570679
527380.01,2262761.01,-96.515022278
527380.01,2262861.01,-95.880867004
527380.01,2262961.01,-95.317619324
527380.01,2263061.01,-93.512512207
527380.01,2263161.01,-90.413749695
527380.01,2263261.01,-88.956115723
527380.01,2263361.01,-87.019241333
527380.01,2263461.01,-86.088752747
527380.01,2263561.01,-86.193367004
527380.01,2263661.01,-83.262969971
527380.01,2263761.01,-79.501083374
527380.01,2263861.01,-76.700973511
527380.01,2263961.01,-71.222267151
527380.01,2264061.01,-68.154289246
527380.01,2264161.01,-71.05606842
527380.01,2264261.01,-73.936538696
527380.01,2264361.01,-74.126113892
527380.01,2264461.01,-73.994544983
527380.01,2264561.01,-74.096542358
527380.01,2264661.01,-70.136146545
527380.01,2264761.01,-64.378692627
527380.01,2264861.01,-63.138656616
527380.01,2264961.01,-62.675075531
527380.01,2265061.01,-63.601917267
527380.01,2265161.01,-67.227767944
527380.01,2265261.01,-70.515014648
527380.01,2265361.01,-71.37677002
527380.01,2265461.01,-73.801055908
527380.01,2265561.01,-76.242652893
527380.01,2265661.01,-79.351768494
527380.01,2265761.01,-80.980552673
527380.01,2265861.01,-82.071029663
527380.01,2265961.01,-82.892822266
527480.01,2261161.01,-74.363052368
527480.01,2261261.01,-75.124160767
527480.01,2261361.01,-74.638626099
527480.01,2261461.01,-73.78175354
527480.01,2261561.01,-73.788604736
527480.01,2261661.01,-76.255065918
527480.01,2261761.01,-79.195129395
527480.01,2261861.01,-82.972862244
527480.01,2261961.01,-85.909828186
527480.01,2262061.01,-87.729148865
527480.01,2262161.01,-87.67237854
527480.01,2262261.01,-88.499069214
527480.01,2262361.01,-89.802078247
527480.01,2262461.01,-89.71736908
527480.01,2262561.01,-92.653152466
527480.01,2262661.01,-95.415351868
527480.01,2262761.01,-95.68006897
527480.01,2262861.01,-95.298805237
527480.01,2262961.01,-94.597007751
527480.01,2263061.01,-92.5806427
527480.01,2263161.01,-89.76902771
527480.01,2263261.01,-88.704849243
527480.01,2263361.01,-86.908279419
527480.01,2263461.01,-85.289962769
527480.01,2263561.01,-85.74067688
527480.01,2263661.01,-83.675521851
527480.01,2263761.01,-80.526443481
527480.01,2263861.01,-76.768455505
527480.01,2263961.01,-69.75504303
527480.01,2264061.01,-69.507072449
527480.01,2264161.01,-74.551704407
527480.01,2264261.01,-77.971374512
527480.01,2264361.01,-78.697608948
527480.01,2264461.01,-77.72101593
527480.01,2264561.01,-76.933403015
527480.01,2264661.01,-75.156860352
527480.01,2264761.01,-72.750190735
527480.01,2264861.01,-73.341369629
527480.01,2264961.01,-72.363014221
527480.01,2265061.01,-69.622215271
527480.01,2265161.01,-72.032073975
527480.01,2265261.01,-77.583236694
527480.01,2265361.01,-81.550315857
527480.01,2265461.01,-80.602287292
527480.01,2265561.01,-80.669593811
527480.01,2265661.01,-82.699180603
527480.01,2265761.01,-83.779685974
527480.01,2265861.01,-84.347450256
527480.01,2265961.01,-84.360328674
527580.01,2261161.01,-72.550041199
527580.01,2261261.01,-73.745162964
527580.01,2261361.01,-73.599311829
527580.01,2261461.01,-72.898048401
527580.01,2261561.01,-72.577430725
527580.01,2261661.01,-74.284629822
527580.01,2261761.01,-77.486862183
527580.01,2261861.01,-81.67880249
527580.01,2261961.01,-84.579277039
527580.01,2262061.01,-86.725585938
527580.01,2262161.01,-88.549514771
527580.01,2262261.01,-89.273216248
527580.01,2262361.01,-89.480903625
527580.01,2262461.01,-90.183677673
