"X","Y","H60_Charm (TWT)"
527180.01,2263261.01,651.750122
527180.01,2263361.01,653.254883
527180.01,2263461.01,654.181702
527180.01,2263561.01,655.812759
527180.01,2263661.01,659.286896
527180.01,2263761.01,661.112549
527180.01,2263861.01,663.580505
527180.01,2263961.01,670.324463
527180.01,2264061.01,671.41626
527180.01,2264161.01,675.612793
527180.01,2264261.01,683.096832
527180.01,2264361.01,685.492676
527180.01,2264461.01,689.934082
527180.01,2264561.01,698.444946
527180.01,2264661.01,711.014191
527180.01,2264761.01,713.748474
527180.01,2264861.01,713.537628
527180.01,2264961.01,708.28067
527180.01,2265061.01,707.89801
527180.01,2265161.01,713.391907
527180.01,2265261.01,715.829376
527180.01,2265361.01,717.26236
527180.01,2265461.01,718.630524
527180.01,2265561.01,719.162109
527180.01,2265661.01,721.169189
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,665.479599
527280.01,2261461.01,660.004791
527280.01,2261561.01,662.855347
527280.01,2261661.01,656.622986
527280.01,2261761.01,652.423218
527280.01,2261861.01,652.621368
527280.01,2261961.01,650.012405
527280.01,2262061.01,648.625366
527280.01,2262161.01,649.295898
527280.01,2262261.01,649.95871
527280.01,2262361.01,652.910095
527280.01,2262461.01,654.399887
527280.01,2262561.01,655.151337
527280.01,2262661.01,655.801971
527280.01,2262761.01,656.168274
527280.01,2262861.01,653.579285
527280.01,2262961.01,652.223999
527280.01,2263061.01,652.130005
527280.01,2263161.01,652.472168
527280.01,2263261.01,652.754883
527280.01,2263361.01,653.54364
527280.01,2263461.01,655.466919
527280.01,2263561.01,655.437225
527280.01,2263661.01,658.1745
527280.01,2263761.01,660.557388
527280.01,2263861.01,661.233215
527280.01,2263961.01,666.800735
527280.01,2264061.01,670.1521
527280.01,2264161.01,674.85556
527280.01,2264261.01,679.989563
527280.01,2264361.01,682.286819
527280.01,2264461.01,687.742187
527280.01,2264561.01,694.522919
527280.01,2264661.01,702.928467
527280.01,2264761.01,710.981201
527280.01,2264861.01,714.187012
527280.01,2264961.01,711.166382
527280.01,2265061.01,708.037491
527280.01,2265161.01,715.50238
527280.01,2265261.01,718.182602
527280.01,2265361.01,719.245605
527280.01,2265461.01,720.118378
527280.01,2265561.01,721.714539
527280.01,2265661.01,722.202118
527280.01,2265761.01,718.74231
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,679.942291
527380.01,2261461.01,680.590027
527380.01,2261561.01,680.152878
527380.01,2261661.01,681.933289
527380.01,2261761.01,682.966492
527380.01,2261861.01,675.9599
527380.01,2261961.01,661.325165
527380.01,2262061.01,652.310303
527380.01,2262161.01,652.361847
527380.01,2262261.01,651.940765
527380.01,2262361.01,653.824432
527380.01,2262461.01,655.98175
527380.01,2262561.01,661.591125
527380.01,2262661.01,660.635773
527380.01,2262761.01,661.489868
527380.01,2262861.01,658.528061
527380.01,2262961.01,655.176178
527380.01,2263061.01,655.873505
527380.01,2263161.01,656.404785
527380.01,2263261.01,655.552795
527380.01,2263361.01,655.540741
527380.01,2263461.01,655.494461
527380.01,2263561.01,655.943298
527380.01,2263661.01,656.95224
527380.01,2263761.01,658.88092
527380.01,2263861.01,661.015808
527380.01,2263961.01,662.617096
527380.01,2264061.01,664.690826
527380.01,2264161.01,672.304108
527380.01,2264261.01,678.185608
527380.01,2264361.01,680.765106
527380.01,2264461.01,685.885559
527380.01,2264561.01,691.778961
527380.01,2264661.01,694.830109
527380.01,2264761.01,703.719254
527380.01,2264861.01,712.041901
527380.01,2264961.01,712.620911
527380.01,2265061.01,708.607422
527380.01,2265161.01,716.874451
527380.01,2265261.01,720.178711
527380.01,2265361.01,720.78479
527380.01,2265461.01,722.77066
527380.01,2265561.01,720.783295
527380.01,2265661.01,714.54715
527380.01,2265761.01,705.819397
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,679.422516
527480.01,2261361.01,681.163635
527480.01,2261461.01,681.364685
527480.01,2261561.01,681.759399
527480.01,2261661.01,684.270386
527480.01,2261761.01,685.041214
527480.01,2261861.01,683.698608
527480.01,2261961.01,680.496384
527480.01,2262061.01,679.6922
527480.01,2262161.01,678.17569
527480.01,2262261.01,677.337646
527480.01,2262361.01,674.259857
527480.01,2262461.01,677.79541
527480.01,2262561.01,677.932312
527480.01,2262661.01,674.661469
527480.01,2262761.01,675.868896
527480.01,2262861.01,666.243774
527480.01,2262961.01,663.903625
527480.01,2263061.01,664.651978
527480.01,2263161.01,663.238678
527480.01,2263261.01,660.666229
527480.01,2263361.01,659.394287
527480.01,2263461.01,655.596008
527480.01,2263561.01,654.644348
527480.01,2263661.01,654.826645
527480.01,2263761.01,656.578369
527480.01,2263861.01,659.233459
527480.01,2263961.01,659.78656
527480.01,2264061.01,661.813263
527480.01,2264161.01,667.297363
527480.01,2264261.01,674.496521
527480.01,2264361.01,676.622879
527480.01,2264461.01,683.775208
527480.01,2264561.01,689.709732
527480.01,2264661.01,693.287781
527480.01,2264761.01,697.935486
527480.01,2264861.01,706.262634
527480.01,2264961.01,709.861191
527480.01,2265061.01,710.759399
527480.01,2265161.01,715.627686
527480.01,2265261.01,718.575684
527480.01,2265361.01,717.753021
527480.01,2265461.01,715.656555
527480.01,2265561.01,704.818665
527480.01,2265661.01,703.189407
527480.01,2265761.01,695.452362
527480.01,2265861.01,691.658813
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,676.372711
527580.01,2261361.01,677.533569
527580.01,2261461.01,678.227386
527580.01,2261561.01,681.237885
527580.01,2261661.01,683.781799
527580.01,2261761.01,684.304749
527580.01,2261861.01,684.384613
527580.01,2261961.01,682.160156
527580.01,2262061.01,681.303345
527580.01,2262161.01,681.375793
527580.01,2262261.01,681.327484
527580.01,2262361.01,680.902893
527580.01,2262461.01,682.862061
527580.01,2262561.01,687.026764
527580.01,2262661.01,689.45697
527580.01,2262761.01,690.083176
527580.01,2262861.01,690.219482
527580.01,2262961.01,683.568329
527580.01,2263061.01,683.960449
527580.01,2263161.01,673.266937
527580.01,2263261.01,665.158569
527580.01,2263361.01,668.319611
