"X","Y","H50_Aal (TWT)"
527180.01,2263261.01,604.972473
527180.01,2263361.01,605.787994
527180.01,2263461.01,606.604919
527180.01,2263561.01,608.351746
527180.01,2263661.01,610.126221
527180.01,2263761.01,611.333588
527180.01,2263861.01,615.619202
527180.01,2263961.01,620.96109
527180.01,2264061.01,623.662842
527180.01,2264161.01,629.144409
527180.01,2264261.01,636.707275
527180.01,2264361.01,641.477783
527180.01,2264461.01,649.263641
527180.01,2264561.01,656.153076
527180.01,2264661.01,662.705872
527180.01,2264761.01,666.39621
527180.01,2264861.01,669.036835
527180.01,2264961.01,664.499969
527180.01,2265061.01,664.848145
527180.01,2265161.01,668.133057
527180.01,2265261.01,671.985321
527180.01,2265361.01,673.081757
527180.01,2265461.01,674.598221
527180.01,2265561.01,676.445129
527180.01,2265661.01,677.912109
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,618.205688
527280.01,2261461.01,613.706085
527280.01,2261561.01,615.407898
527280.01,2261661.01,611.610535
527280.01,2261761.01,606.168427
527280.01,2261861.01,606.075287
527280.01,2261961.01,602.959793
527280.01,2262061.01,600.487122
527280.01,2262161.01,601.823608
527280.01,2262261.01,601.730347
527280.01,2262361.01,603.937927
527280.01,2262461.01,605.951477
527280.01,2262561.01,607.219513
527280.01,2262661.01,607.267838
527280.01,2262761.01,607.157104
527280.01,2262861.01,605.669434
527280.01,2262961.01,604.434875
527280.01,2263061.01,604.354172
527280.01,2263161.01,604.458923
527280.01,2263261.01,605.246368
527280.01,2263361.01,606.116699
527280.01,2263461.01,607.020142
527280.01,2263561.01,608.22171
527280.01,2263661.01,609.994995
527280.01,2263761.01,611.06662
527280.01,2263861.01,613.669098
527280.01,2263961.01,618.274139
527280.01,2264061.01,621.483582
527280.01,2264161.01,628.142975
527280.01,2264261.01,634.365906
527280.01,2264361.01,637.263474
527280.01,2264461.01,644.697571
527280.01,2264561.01,651.873184
527280.01,2264661.01,655.406372
527280.01,2264761.01,664.145508
527280.01,2264861.01,668.638428
527280.01,2264961.01,665.676636
527280.01,2265061.01,664.251846
527280.01,2265161.01,667.632751
527280.01,2265261.01,672.551971
527280.01,2265361.01,673.723083
527280.01,2265461.01,674.942352
527280.01,2265561.01,677.420105
527280.01,2265661.01,678.821793
527280.01,2265761.01,678.191895
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,626.214844
527380.01,2261461.01,626.48999
527380.01,2261561.01,625.022964
527380.01,2261661.01,623.672943
527380.01,2261761.01,623.631714
527380.01,2261861.01,621.836731
527380.01,2261961.01,615.734222
