"X","Y","(H10-H20) Vint"
527180.01,2264361.01,3093.362548828
527180.01,2264461.01,3068.493408203
527180.01,2264561.01,3030.640869141
527180.01,2264661.01,3029.441894531
527180.01,2264761.01,3029.234130859
527180.01,2264861.01,3027.34375
527180.01,2264961.01,3025.475341797
527180.01,2265061.01,3035.610839844
527180.01,2265161.01,3055.577148438
527180.01,2265261.01,3108.205078125
527180.01,2265361.01,3139.606933594
527180.01,2265461.01,3147.056396484
527180.01,2265561.01,3158.770263672
527180.01,2265661.01,3179.071777344
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,3144.188232422
527280.01,2261461.01,3211.040771484
527280.01,2261561.01,3241.309326172
527280.01,2261661.01,3298.031982422
527280.01,2261761.01,3353.512207031
527280.01,2261861.01,3304.389404297
527280.01,2261961.01,3244.264892578
527280.01,2262061.01,3186.05859375
527280.01,2262161.01,3169.2421875
527280.01,2262261.01,3172.382568359
527280.01,2262361.01,3206.248779297
527280.01,2262461.01,3241.708740234
527280.01,2262561.01,3286.586181641
527280.01,2262661.01,3295.590332031
527280.01,2262761.01,3290.690917969
527280.01,2262861.01,3287.334716797
527280.01,2262961.01,3324.518310547
527280.01,2263061.01,3343.237548828
527280.01,2263161.01,3240.449462891
527280.01,2263261.01,3182.967529297
527280.01,2263361.01,3589.361572266
527280.01,2263461.01,3441.206787109
527280.01,2263561.01,3527.079833984
527280.01,2263661.01,3784.840820313
527280.01,2263761.01,3623.963134766
527280.01,2263861.01,3131.368896484
527280.01,2263961.01,2889.584228516
527280.01,2264061.01,3583.049560547
527280.01,2264161.01,3254.176025391
527280.01,2264261.01,3153.725097656
527280.01,2264361.01,3118.651611328
527280.01,2264461.01,3061.481689453
527280.01,2264561.01,3054.732421875
527280.01,2264661.01,3054.844482422
527280.01,2264761.01,3047.82421875
527280.01,2264861.01,3027.816894531
527280.01,2264961.01,3027.297363281
527280.01,2265061.01,3033.587646484
527280.01,2265161.01,3057.799804688
527280.01,2265261.01,3104.622314453
527280.01,2265361.01,3120.838867188
527280.01,2265461.01,3139.243896484
527280.01,2265561.01,3153.420654297
527280.01,2265661.01,3172.667236328
527280.01,2265761.01,3170.106933594
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,3158.512695313
527380.01,2261461.01,3210.544433594
527380.01,2261561.01,3245.690185547
527380.01,2261661.01,3302.145263672
527380.01,2261761.01,3324.276367188
527380.01,2261861.01,3276.373779297
527380.01,2261961.01,3229.874267578
527380.01,2262061.01,3186.458984375
527380.01,2262161.01,3163.690917969
527380.01,2262261.01,3175.475097656
527380.01,2262361.01,3210.148193359
527380.01,2262461.01,3243.709228516
527380.01,2262561.01,3281.915039063
527380.01,2262661.01,3289.271728516
527380.01,2262761.01,3267.79296875
527380.01,2262861.01,3254.247070313
527380.01,2262961.01,3176.786621094
527380.01,2263061.01,3155.603515625
527380.01,2263161.01,3127.240966797
527380.01,2263261.01,3084.947753906
527380.01,2263361.01,3082.028320313
527380.01,2263461.01,3077.894775391
527380.01,2263561.01,3148.057861328
527380.01,2263661.01,3137.785888672
527380.01,2263761.01,3057.843505859
527380.01,2263861.01,2822.236328125
527380.01,2263961.01,2920.747802734
527380.01,2264061.01,2936.916015625
527380.01,2264161.01,3180.350830078
527380.01,2264261.01,3080.093017578
527380.01,2264361.01,3076.940185547
527380.01,2264461.01,3073.073974609
527380.01,2264561.01,3060.031982422
527380.01,2264661.01,3041.101318359
527380.01,2264761.01,3040.488037109
527380.01,2264861.01,3025.099365234
527380.01,2264961.01,3025.360595703
527380.01,2265061.01,3038.059082031
527380.01,2265161.01,3064.535888672
527380.01,2265261.01,3078.241699219
527380.01,2265361.01,3098.147949219
527380.01,2265461.01,3118.185791016
527380.01,2265561.01,3157.546630859
527380.01,2265661.01,3167.197509766
527380.01,2265761.01,3171.26953125
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,3150.435791016
527480.01,2261361.01,3167.387207031
527480.01,2261461.01,3242.721191406
527480.01,2261561.01,3265.509277344
527480.01,2261661.01,3267.640380859
527480.01,2261761.01,3238.611816406
527480.01,2261861.01,3192.883789063
527480.01,2261961.01,3182.811523438
527480.01,2262061.01,3155.775634766
527480.01,2262161.01,3155.706542969
527480.01,2262261.01,3180.390869141
527480.01,2262361.01,3214.494628906
527480.01,2262461.01,3257.498046875
527480.01,2262561.01,3303.242431641
527480.01,2262661.01,3270.832519531
527480.01,2262761.01,3250.069824219
527480.01,2262861.01,3236.974853516
527480.01,2262961.01,3180.380126953
527480.01,2263061.01,3176.940185547
527480.01,2263161.01,3179.924804688
527480.01,2263261.01,3155.689941406
527480.01,2263361.01,3155.526123047
527480.01,2263461.01,3130.551513672
527480.01,2263561.01,3105.946289063
527480.01,2263661.01,3104.372070313
527480.01,2263761.01,3106.405029297
527480.01,2263861.01,3281.101074219
527480.01,2263961.01,2841.331787109
527480.01,2264061.01,2837.576660156
527480.01,2264161.01,3465.708496094
527480.01,2264261.01,3084.856445313
527480.01,2264361.01,3067.632568359
527480.01,2264461.01,3034.970947266
527480.01,2264561.01,3021.906005859
527480.01,2264661.01,3027.189941406
527480.01,2264761.01,3024.050537109
527480.01,2264861.01,3031.7421875
527480.01,2264961.01,3036.779541016
527480.01,2265061.01,3047.110839844
527480.01,2265161.01,3055.475585938
527480.01,2265261.01,3062.584960938
527480.01,2265361.01,3066.506835938
527480.01,2265461.01,3091.830566406
527480.01,2265561.01,3150.912109375
527480.01,2265661.01,3270.475341797
527480.01,2265761.01,3449.807373047
527480.01,2265861.01,3630.768798828
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,3176.098876953
527580.01,2261361.01,3242.138427734
527580.01,2261461.01,3287.482910156
527580.01,2261561.01,3262.116699219
527580.01,2261661.01,3242.609619141
527580.01,2261761.01,3209.949707031
527580.01,2261861.01,3149.881347656
527580.01,2261961.01,3152.843017578
527580.01,2262061.01,3141.064208984
527580.01,2262161.01,3134.138183594
527580.01,2262261.01,3146.641357422
527580.01,2262361.01,3182.146484375
527580.01,2262461.01,3227.544189453
527580.01,2262561.01,3262.705322266
527580.01,2262661.01,3256.779296875
527580.01,2262761.01,3237.18359375
527580.01,2262861.01,3205.056884766
527580.01,2262961.01,3184.875488281
527580.01,2263061.01,3179.329101563
527580.01,2263161.01,3181.166748047
527580.01,2263261.01,3166.054443359
527580.01,2263361.01,3185.719482422
527580.01,2263461.01,3165.375976563
527580.01,2263561.01,3149.107421875
527580.01,2263661.01,3154.282470703
527580.01,2263761.01,3148.803710938
527580.01,2263861.01,3140.719482422
527580.01,2263961.01,3035.395751953
527580.01,2264061.01,2957.794677734
527580.01,2264161.01,3257.069091797
527580.01,2264261.01,3110.038574219
527580.01,2264361.01,3072.70703125
527580.01,2264461.01,3045.916015625
527580.01,2264561.01,3030.024902344
527580.01,2264661.01,3022.809570313
527580.01,2264761.01,3023.067382813
527580.01,2264861.01,3037.503662109
527580.01,2264961.01,3041.178955078
527580.01,2265061.01,3039.346191406
527580.01,2265161.01,3035.520019531
527580.01,2265261.01,3032.010498047
527580.01,2265361.01,2992.624267578
527580.01,2265461.01,2987.316162109
527580.01,2265561.01,3076.894775391
527580.01,2265661.01,3281.921142578
527580.01,2265761.01,3491.943359375
527580.01,2265861.01,3960.857421875
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,-9999
527680.01,2261261.01,3200.143798828
527680.01,2261361.01,3243.138427734
527680.01,2261461.01,3224.131591797
527680.01,2261561.01,3158.573486328
527680.01,2261661.01,3160.937255859
527680.01,2261761.01,3143.447265625
527680.01,2261861.01,3115.247314453
527680.01,2261961.01,3114.779052734
527680.01,2262061.01,3111.043212891
527680.01,2262161.01,3116.179199219
527680.01,2262261.01,3127.870117188
527680.01,2262361.01,3161.348632813
527680.01,2262461.01,3212.698242188
527680.01,2262561.01,3232.155273438
527680.01,2262661.01,3237.010253906
527680.01,2262761.01,3219.841308594
527680.01,2262861.01,3180.504638672
527680.01,2262961.01,3170.180175781
527680.01,2263061.01,3162.682861328
527680.01,2263161.01,3181.162353516
527680.01,2263261.01,3180.320556641
527680.01,2263361.01,3182.424560547
527680.01,2263461.01,3170.405273438
527680.01,2263561.01,3162.210449219
527680.01,2263661.01,3158.504882813
527680.01,2263761.01,3150.569824219
527680.01,2263861.01,3148.789306641
527680.01,2263961.01,3154.763671875
527680.01,2264061.01,3128.797363281
527680.01,2264161.01,3112.840087891
527680.01,2264261.01,3106.672607422
527680.01,2264361.01,3082.591552734
527680.01,2264461.01,3052.621582031
527680.01,2264561.01,3043.13671875
527680.01,2264661.01,3031.377441406
527680.01,2264761.01,3025.233398438
527680.01,2264861.01,3023.663574219
527680.01,2264961.01,3033.0859375
527680.01,2265061.01,3038.326904297
527680.01,2265161.01,3171.463623047
527680.01,2265261.01,2930.054443359
527680.01,2265361.01,2830.815673828
527680.01,2265461.01,2772.317382813
527680.01,2265561.01,2894.696533203
527680.01,2265661.01,3729.615722656
527680.01,2265761.01,4356.867675781
527680.01,2265861.01,4818.052734375
527680.01,2265961.01,4227.4609375
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,3233.634521484
527780.01,2261261.01,3221.622314453
527780.01,2261361.01,3234.606689453
527780.01,2261461.01,3217.470703125
527780.01,2261561.01,3177.807128906
527780.01,2261661.01,3115.919921875
527780.01,2261761.01,3141.330566406
527780.01,2261861.01,3130.644287109
527780.01,2261961.01,3099.497070313
527780.01,2262061.01,3090.981689453
527780.01,2262161.01,3112.067871094
527780.01,2262261.01,3146.354980469
527780.01,2262361.01,3165.226806641
527780.01,2262461.01,3179.634277344
527780.01,2262561.01,3199.489746094
527780.01,2262661.01,3220.193359375
527780.01,2262761.01,3210.927734375
527780.01,2262861.01,3190.397216797
527780.01,2262961.01,3163.854003906
527780.01,2263061.01,3139.791015625
527780.01,2263161.01,3166.708984375
527780.01,2263261.01,3170.162841797
527780.01,2263361.01,3161.4609375
527780.01,2263461.01,3164.5
527780.01,2263561.01,3172.140380859
527780.01,2263661.01,3172.001953125
527780.01,2263761.01,3161.464111328
527780.01,2263861.01,3154.872314453
527780.01,2263961.01,3157.761230469
527780.01,2264061.01,3136.149169922
527780.01,2264161.01,3117.621337891
527780.01,2264261.01,3102.147460938
527780.01,2264361.01,3083.561767578
527780.01,2264461.01,3062.5390625
527780.01,2264561.01,3046.715087891
527780.01,2264661.01,3030.786376953
527780.01,2264761.01,3091.262207031
527780.01,2264861.01,2851.5
527780.01,2264961.01,2955.690185547
527780.01,2265061.01,3063.127197266
527780.01,2265161.01,3076.440673828
527780.01,2265261.01,2858.987060547
527780.01,2265361.01,2864.16796875
527780.01,2265461.01,2918.180175781
527780.01,2265561.01,3423.320800781
527780.01,2265661.01,3599.990478516
527780.01,2265761.01,4008.119384766
527780.01,2265861.01,3719.873779297
527780.01,2265961.01,3468.416503906
527780.01,2266061.01,3258.028564453
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,3213.804931641
527880.01,2261261.01,3258.354492188
527880.01,2261361.01,3254.873535156
527880.01,2261461.01,3337.270751953
527880.01,2261561.01,3171.390136719
527880.01,2261661.01,3120.643066406
527880.01,2261761.01,3136.963623047
527880.01,2261861.01,3122.53515625
527880.01,2261961.01,3105.709472656
527880.01,2262061.01,3101.646240234
527880.01,2262161.01,3128.388427734
527880.01,2262261.01,3159.308837891
527880.01,2262361.01,3177.422851563
527880.01,2262461.01,3178.113525391
527880.01,2262561.01,3197.30078125
527880.01,2262661.01,3196.410400391
527880.01,2262761.01,3202.252929688
527880.01,2262861.01,3174.138916016
527880.01,2262961.01,3166.480957031
