"X","Y","(H02-H03) Vint"
526980.01,2262061.01,2501.697753906
526980.01,2262161.01,2484.639648438
526980.01,2262261.01,2533.348144531
526980.01,2262361.01,2606.297851563
526980.01,2262461.01,2806.778564453
526980.01,2262561.01,3069.424072266
526980.01,2262661.01,3190.829101563
526980.01,2262761.01,3250.816894531
526980.01,2262861.01,3315.981445313
526980.01,2262961.01,3369.435791016
526980.01,2263061.01,3408.242919922
526980.01,2263161.01,3442.255371094
526980.01,2263261.01,3434.649414063
526980.01,2263361.01,3426.936523438
526980.01,2263461.01,3392.521240234
526980.01,2263561.01,3333.589111328
526980.01,2263661.01,3250.809326172
526980.01,2263761.01,3206.222167969
526980.01,2263861.01,2522.561767578
526980.01,2263961.01,2293.632080078
526980.01,2264061.01,1856.365478516
526980.01,2264161.01,2080.034423828
526980.01,2264261.01,2986.722412109
526980.01,2264361.01,3122.223876953
526980.01,2264461.01,3123.602294922
526980.01,2264561.01,2803.727294922
526980.01,2264661.01,2273.678710938
526980.01,2264761.01,2606.116210938
526980.01,2264861.01,3220.720703125
526980.01,2264961.01,3298.426757813
526980.01,2265061.01,3302.187744141
526980.01,2265161.01,3257.10546875
526980.01,2265261.01,3121.130615234
526980.01,2265361.01,3066.3125
527080.01,2261261.01,1452.266723633
527080.01,2261361.01,1185.144165039
527080.01,2261461.01,1139.429931641
527080.01,2261561.01,1411.52746582
527080.01,2261661.01,1861.732910156
527080.01,2261761.01,2259.133789063
527080.01,2261861.01,2581.150390625
527080.01,2261961.01,2697.055419922
527080.01,2262061.01,2617.273681641
527080.01,2262161.01,2570.830322266
527080.01,2262261.01,2632.650390625
527080.01,2262361.01,2663.164550781
527080.01,2262461.01,2769.030273438
527080.01,2262561.01,2875.026855469
527080.01,2262661.01,2962.126708984
527080.01,2262761.01,3045.134277344
527080.01,2262861.01,3130.69921875
527080.01,2262961.01,3204.219726563
527080.01,2263061.01,3259.833496094
527080.01,2263161.01,3293.837158203
527080.01,2263261.01,3290.497802734
527080.01,2263361.01,3303.266113281
527080.01,2263461.01,3290.2890625
527080.01,2263561.01,3242.376220703
527080.01,2263661.01,3186.200195313
527080.01,2263761.01,3122.476806641
527080.01,2263861.01,2583.490966797
527080.01,2263961.01,2104.779785156
527080.01,2264061.01,1889.597412109
527080.01,2264161.01,2101.695800781
527080.01,2264261.01,2852.152832031
527080.01,2264361.01,2994.881835938
527080.01,2264461.01,3003.979492188
527080.01,2264561.01,2928.869873047
527080.01,2264661.01,2653.978759766
527080.01,2264761.01,2824.491943359
527080.01,2264861.01,2989.075927734
527080.01,2264961.01,3052.358398438
527080.01,2265061.01,3039.973876953
527080.01,2265161.01,2999.292724609
527080.01,2265261.01,2891.621826172
527080.01,2265361.01,2843.508300781
527080.01,2265461.01,2796.229980469
527080.01,2265561.01,2736.835449219
527080.01,2265661.01,2694.753662109
527080.01,2265761.01,2679.938720703
527180.01,2261261.01,998.803894043
527180.01,2261361.01,806.185119629
527180.01,2261461.01,762.779968262
527180.01,2261561.01,965.169189453
527180.01,2261661.01,1569.186523438
527180.01,2261761.01,2152.3671875
527180.01,2261861.01,2581.216796875
527180.01,2261961.01,2785.163574219
527180.01,2262061.01,2736.137939453
527180.01,2262161.01,2562.182373047
527180.01,2262261.01,2474.33203125
527180.01,2262361.01,2452.133056641
527180.01,2262461.01,2540.876953125
527180.01,2262561.01,2670.167480469
527180.01,2262661.01,2774.313964844
527180.01,2262761.01,2860.445800781
527180.01,2262861.01,2965.6015625
527180.01,2262961.01,3046.906738281
527180.01,2263061.01,3107.914306641
527180.01,2263161.01,3152.046386719
527180.01,2263261.01,3156.284667969
527180.01,2263361.01,3158.198730469
527180.01,2263461.01,3154.037841797
527180.01,2263561.01,3124.038574219
527180.01,2263661.01,3079.510742188
527180.01,2263761.01,2960.379638672
527180.01,2263861.01,2573.865478516
527180.01,2263961.01,2260.498046875
527180.01,2264061.01,2049.405517578
527180.01,2264161.01,2385.188476563
527180.01,2264261.01,2657.875
527180.01,2264361.01,2813.370849609
527180.01,2264461.01,2843.842529297
527180.01,2264561.01,2816.962646484
527180.01,2264661.01,2684.253417969
527180.01,2264761.01,2522.854980469
527180.01,2264861.01,2696.663330078
527180.01,2264961.01,2774.361083984
527180.01,2265061.01,2773.805664063
527180.01,2265161.01,2739.749511719
527180.01,2265261.01,2711.497558594
527180.01,2265361.01,2647.538330078
527180.01,2265461.01,2604.811767578
527180.01,2265561.01,2547.555419922
527180.01,2265661.01,2497.685058594
527180.01,2265761.01,2495.55859375
527180.01,2265861.01,2518.189453125
527280.01,2261261.01,328.262268066
527280.01,2261361.01,472.189697266
527280.01,2261461.01,544.403259277
527280.01,2261561.01,666.152587891
527280.01,2261661.01,1479.042114258
527280.01,2261761.01,2156.239746094
527280.01,2261861.01,2658.238525391
527280.01,2261961.01,2769.458496094
527280.01,2262061.01,2523.930419922
527280.01,2262161.01,2397.432861328
527280.01,2262261.01,2357.09765625
527280.01,2262361.01,2318.560791016
527280.01,2262461.01,2365.201904297
527280.01,2262561.01,2504.595947266
527280.01,2262661.01,2641.645996094
527280.01,2262761.01,2710.654785156
527280.01,2262861.01,2801.608398438
527280.01,2262961.01,2894.128173828
527280.01,2263061.01,2958.952880859
527280.01,2263161.01,2996.792480469
527280.01,2263261.01,3013.326904297
527280.01,2263361.01,3002.746826172
527280.01,2263461.01,3000.091552734
527280.01,2263561.01,2974.557128906
527280.01,2263661.01,2907.3203125
527280.01,2263761.01,2773.568603516
527280.01,2263861.01,2570.365234375
527280.01,2263961.01,2226.8203125
527280.01,2264061.01,2014.992553711
527280.01,2264161.01,2405.206542969
527280.01,2264261.01,2518.744873047
527280.01,2264361.01,2605.615234375
527280.01,2264461.01,2641.479248047
527280.01,2264561.01,2632.211425781
527280.01,2264661.01,2571.627685547
527280.01,2264761.01,2345.910400391
527280.01,2264861.01,2367.171630859
527280.01,2264961.01,2446.136230469
527280.01,2265061.01,2483.706787109
527280.01,2265161.01,2489.679443359
527280.01,2265261.01,2439.056640625
527280.01,2265361.01,2360.122070313
527280.01,2265461.01,2352.415771484
527280.01,2265561.01,2334.985595703
527280.01,2265661.01,2357.720458984
527280.01,2265761.01,2374.513183594
527280.01,2265861.01,2387.360839844
527380.01,2261161.01,0
527380.01,2261261.01,0
527380.01,2261361.01,0
527380.01,2261461.01,173.677581787
527380.01,2261561.01,619.895385742
527380.01,2261661.01,1480.950195313
527380.01,2261761.01,2091.163818359
527380.01,2261861.01,2606.431396484
527380.01,2261961.01,2572.493164063
527380.01,2262061.01,2389.810058594
527380.01,2262161.01,2261.525146484
527380.01,2262261.01,2245.823730469
527380.01,2262361.01,2242.318847656
527380.01,2262461.01,2246.244628906
527380.01,2262561.01,2346.485107422
527380.01,2262661.01,2490.789550781
527380.01,2262761.01,2586.916503906
527380.01,2262861.01,2668.8125
527380.01,2262961.01,2757.36328125
527380.01,2263061.01,2816.456298828
527380.01,2263161.01,2840.157958984
527380.01,2263261.01,2883.930175781
527380.01,2263361.01,2877.770996094
527380.01,2263461.01,2855.580322266
527380.01,2263561.01,2835.806152344
527380.01,2263661.01,2727.307373047
527380.01,2263761.01,2581.293212891
527380.01,2263861.01,2467.935791016
527380.01,2263961.01,2135.562255859
527380.01,2264061.01,2063.840087891
527380.01,2264161.01,2300.745605469
527380.01,2264261.01,2421.114257813
527380.01,2264361.01,2445.184082031
527380.01,2264461.01,2459.626953125
527380.01,2264561.01,2479.873291016
527380.01,2264661.01,2403.947021484
527380.01,2264761.01,2266.65625
527380.01,2264861.01,2250.715576172
527380.01,2264961.01,2242.268798828
527380.01,2265061.01,2244.752685547
527380.01,2265161.01,2283.524658203
527380.01,2265261.01,2267.214599609
527380.01,2265361.01,2174.939453125
527380.01,2265461.01,2132.662841797
527380.01,2265561.01,2125.099853516
527380.01,2265661.01,2174.740966797
527380.01,2265761.01,2211.48046875
527380.01,2265861.01,2248.177490234
527380.01,2265961.01,2281.539794922
527480.01,2261161.01,0
527480.01,2261261.01,0
527480.01,2261361.01,0
527480.01,2261461.01,0
527480.01,2261561.01,252.032806396
527480.01,2261661.01,1080.652709961
527480.01,2261761.01,1797.078491211
527480.01,2261861.01,2467.347167969
527480.01,2261961.01,2372.976074219
527480.01,2262061.01,2285.908935547
527480.01,2262161.01,2178.092285156
527480.01,2262261.01,2150.914306641
527480.01,2262361.01,2166.662597656
527480.01,2262461.01,2156.814697266
527480.01,2262561.01,2253.6875
527480.01,2262661.01,2342.170410156
527480.01,2262761.01,2442.060058594
527480.01,2262861.01,2539.275878906
527480.01,2262961.01,2629.665527344
527480.01,2263061.01,2690.367675781
527480.01,2263161.01,2723.245605469
527480.01,2263261.01,2764.060302734
527480.01,2263361.01,2757.577636719
527480.01,2263461.01,2717.978759766
527480.01,2263561.01,2699.954589844
527480.01,2263661.01,2601.689941406
527480.01,2263761.01,2462.667724609
527480.01,2263861.01,2300.890136719
527480.01,2263961.01,1946.123413086
527480.01,2264061.01,2005.236694336
527480.01,2264161.01,2219.970947266
527480.01,2264261.01,2326.829345703
527480.01,2264361.01,2345.808349609
527480.01,2264461.01,2317.306884766
527480.01,2264561.01,2296.814453125
527480.01,2264661.01,2255.247070313
527480.01,2264761.01,2211.853759766
527480.01,2264861.01,2255.311523438
527480.01,2264961.01,2251.152099609
527480.01,2265061.01,2168.788818359
527480.01,2265161.01,2185.834960938
527480.01,2265261.01,2198.721923828
527480.01,2265361.01,2089.399658203
527480.01,2265461.01,2090.602294922
527480.01,2265561.01,2027.792480469
527480.01,2265661.01,2067.432373047
527480.01,2265761.01,2119.790771484
527480.01,2265861.01,2172.0859375
527480.01,2265961.01,2212.10546875
527580.01,2261161.01,0
527580.01,2261261.01,0
527580.01,2261361.01,0
527580.01,2261461.01,0
527580.01,2261561.01,0
527580.01,2261661.01,580.750610352
527580.01,2261761.01,1429.701171875
527580.01,2261861.01,2171.509521484
527580.01,2261961.01,2133.563720703
527580.01,2262061.01,2093.211425781
527580.01,2262161.01,2082.761230469
527580.01,2262261.01,2071.094970703
527580.01,2262361.01,2076.096435547
527580.01,2262461.01,2112.855224609
527580.01,2262561.01,2204.543945313
527580.01,2262661.01,2270.693115234
527580.01,2262761.01,2331.940185547
527580.01,2262861.01,2417.243408203
527580.01,2262961.01,2503.200195313
527580.01,2263061.01,2560.139160156
527580.01,2263161.01,2601.290039063
527580.01,2263261.01,2657.093261719
527580.01,2263361.01,2659.966308594
527580.01,2263461.01,2598.893554688
527580.01,2263561.01,2547.110107422
527580.01,2263661.01,2485.871582031
527580.01,2263761.01,2353.770507813
527580.01,2263861.01,2131.518066406
527580.01,2263961.01,1911.117675781
527580.01,2264061.01,1899.999145508
527580.01,2264161.01,2072.701171875
527580.01,2264261.01,2243.199707031
527580.01,2264361.01,2260.947998047
527580.01,2264461.01,2193.388916016
527580.01,2264561.01,2185.853515625
527580.01,2264661.01,2169.442626953
527580.01,2264761.01,2151.956542969
527580.01,2264861.01,2109.733886719
527580.01,2264961.01,2082.276855469
527580.01,2265061.01,2169.315185547
527580.01,2265161.01,2153.596191406
527580.01,2265261.01,2040.010498047
527580.01,2265361.01,1957.185424805
527580.01,2265461.01,1917.544433594
527580.01,2265561.01,1907.732543945
527580.01,2265661.01,1967.12121582
527580.01,2265761.01,2073.184326172
527580.01,2265861.01,2151.071289063
527580.01,2265961.01,2201.044189453
527580.01,2266061.01,2263.156738281
527680.01,2261061.01,0
527680.01,2261161.01,0
527680.01,2261261.01,0
527680.01,2261361.01,0
527680.01,2261461.01,0
527680.01,2261561.01,0
