"X","Y","(H03-H04) Vint"
527180.01,2264261.01,2323.639160156
527180.01,2264361.01,2238.169921875
527180.01,2264461.01,2086.222167969
527180.01,2264561.01,2093.074707031
527180.01,2264661.01,2098.450683594
527180.01,2264761.01,2099.189697266
527180.01,2264861.01,2101.83203125
527180.01,2264961.01,2104.040283203
527180.01,2265061.01,2105.720458984
527180.01,2265161.01,2107.854492188
527180.01,2265261.01,2109.647705078
527180.01,2265361.01,2111.615478516
527180.01,2265461.01,2112.240722656
527180.01,2265561.01,2114.393554688
527180.01,2265661.01,2110.950683594
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,2284.002441406
527280.01,2261461.01,2276.152832031
527280.01,2261561.01,2264.228759766
527280.01,2261661.01,2219.832519531
527280.01,2261761.01,2181.040771484
527280.01,2261861.01,2142.766845703
527280.01,2261961.01,2123.102050781
527280.01,2262061.01,2123.071289063
527280.01,2262161.01,2121.488525391
527280.01,2262261.01,2122.503173828
527280.01,2262361.01,2123.848632813
527280.01,2262461.01,2116.548095703
527280.01,2262561.01,2104.856689453
527280.01,2262661.01,2097.990478516
527280.01,2262761.01,2089.924804688
527280.01,2262861.01,2088.777832031
527280.01,2262961.01,2086.724609375
527280.01,2263061.01,2054.185791016
527280.01,2263161.01,1995.522827148
527280.01,2263261.01,2129.349365234
527280.01,2263361.01,1816.946533203
527280.01,2263461.01,1892.128173828
527280.01,2263561.01,1873.374511719
527280.01,2263661.01,1860.94909668
527280.01,2263761.01,1894.107421875
527280.01,2263861.01,1926.842651367
527280.01,2263961.01,1943.307739258
527280.01,2264061.01,1957.176513672
527280.01,2264161.01,1885.741088867
527280.01,2264261.01,2393.062988281
527280.01,2264361.01,2320.649658203
527280.01,2264461.01,2149.34375
527280.01,2264561.01,2109.199707031
527280.01,2264661.01,2111.748535156
527280.01,2264761.01,2113.123535156
527280.01,2264861.01,2114.905029297
527280.01,2264961.01,2114.879882813
527280.01,2265061.01,2116.83984375
527280.01,2265161.01,2119.502929688
527280.01,2265261.01,2121.350341797
527280.01,2265361.01,2125.493164063
527280.01,2265461.01,2125.942871094
527280.01,2265561.01,2125.136230469
527280.01,2265661.01,2121.966308594
527280.01,2265761.01,2113.282958984
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,2270.771240234
527380.01,2261361.01,2279.479980469
527380.01,2261461.01,2270.588623047
527380.01,2261561.01,2244.745849609
527380.01,2261661.01,2201.53125
527380.01,2261761.01,2162.365478516
527380.01,2261861.01,2129.809814453
527380.01,2261961.01,2120.096191406
527380.01,2262061.01,2118.764160156
527380.01,2262161.01,2116.457519531
527380.01,2262261.01,2116.776123047
527380.01,2262361.01,2117.072265625
527380.01,2262461.01,2115.359619141
527380.01,2262561.01,2114.508300781
527380.01,2262661.01,2105.038085938
527380.01,2262761.01,2094.567382813
527380.01,2262861.01,2089.4609375
527380.01,2262961.01,2084.177001953
527380.01,2263061.01,2078.04296875
527380.01,2263161.01,2077.961669922
527380.01,2263261.01,2068.224609375
527380.01,2263361.01,2005.079223633
527380.01,2263461.01,2021.141235352
527380.01,2263561.01,1990.005859375
527380.01,2263661.01,1955.0390625
527380.01,2263761.01,1992.847290039
527380.01,2263861.01,2041.223388672
527380.01,2263961.01,2016.988037109
527380.01,2264061.01,1991.638793945
527380.01,2264161.01,1928.408081055
527380.01,2264261.01,1954.177368164
527380.01,2264361.01,2150.179199219
527380.01,2264461.01,2121.433349609
527380.01,2264561.01,2128.496582031
527380.01,2264661.01,2127.850097656
527380.01,2264761.01,2126.224853516
527380.01,2264861.01,2126.903320313
527380.01,2264961.01,2126.040771484
527380.01,2265061.01,2128.602539063
527380.01,2265161.01,2131.667236328
