"X","Y","(H20-H30) Vint"
527180.01,2264361.01,2497.946044922
527180.01,2264461.01,2516.249511719
527180.01,2264561.01,2503.636474609
527180.01,2264661.01,2516.705322266
527180.01,2264761.01,2526.755859375
527180.01,2264861.01,2540.629882813
527180.01,2264961.01,2517.822753906
527180.01,2265061.01,2510.715820313
527180.01,2265161.01,2494.640380859
527180.01,2265261.01,2494.112304688
527180.01,2265361.01,2500.744873047
527180.01,2265461.01,2487.151123047
527180.01,2265561.01,2489.166748047
527180.01,2265661.01,2491.684082031
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,2520.666748047
527280.01,2261461.01,2537.17578125
527280.01,2261561.01,2535.393554688
527280.01,2261661.01,2528.237792969
527280.01,2261761.01,2567.650634766
527280.01,2261861.01,2552.211425781
527280.01,2261961.01,2543.009765625
527280.01,2262061.01,2542.487792969
527280.01,2262161.01,2516.946044922
527280.01,2262261.01,2494.598144531
527280.01,2262361.01,2558.692382813
527280.01,2262461.01,2529.356933594
527280.01,2262561.01,2505.966552734
527280.01,2262661.01,2503.1328125
527280.01,2262761.01,2530.658203125
527280.01,2262861.01,2549.772460938
527280.01,2262961.01,2589.275878906
527280.01,2263061.01,2537.690673828
527280.01,2263161.01,2688.53515625
527280.01,2263261.01,2576.600341797
527280.01,2263361.01,2595.325439453
527280.01,2263461.01,2470.427490234
527280.01,2263561.01,2637.045654297
527280.01,2263661.01,2561.104736328
527280.01,2263761.01,2596.477783203
527280.01,2263861.01,2652.6015625
527280.01,2263961.01,2585.390380859
527280.01,2264061.01,2404.702148438
527280.01,2264161.01,2404.610595703
527280.01,2264261.01,2472.891845703
527280.01,2264361.01,2480.730224609
527280.01,2264461.01,2494.631835938
527280.01,2264561.01,2502.082275391
527280.01,2264661.01,2492.030761719
527280.01,2264761.01,2502.902832031
527280.01,2264861.01,2503.445068359
527280.01,2264961.01,2504.980224609
527280.01,2265061.01,2504.046386719
527280.01,2265161.01,2493.675048828
527280.01,2265261.01,2482.395263672
527280.01,2265361.01,2483.881835938
527280.01,2265461.01,2481.467041016
527280.01,2265561.01,2491.089111328
527280.01,2265661.01,2494.914794922
527280.01,2265761.01,2491.725830078
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,2530.053222656
527380.01,2261461.01,2533.423339844
527380.01,2261561.01,2532.920410156
527380.01,2261661.01,2536.099121094
527380.01,2261761.01,2534.653808594
527380.01,2261861.01,2532.146484375
527380.01,2261961.01,2524.758300781
527380.01,2262061.01,2524.528076172
527380.01,2262161.01,2523.202392578
527380.01,2262261.01,2528.357421875
527380.01,2262361.01,2515.153564453
527380.01,2262461.01,2522.219726563
527380.01,2262561.01,2531.244628906
527380.01,2262661.01,2530.041259766
527380.01,2262761.01,2523.970458984
527380.01,2262861.01,2532.619140625
527380.01,2262961.01,2542.149902344
527380.01,2263061.01,2550.110595703
527380.01,2263161.01,2522.190185547
527380.01,2263261.01,2484.410888672
527380.01,2263361.01,2454.263671875
527380.01,2263461.01,2523.995117188
527380.01,2263561.01,2693.606689453
527380.01,2263661.01,2694.969482422
527380.01,2263761.01,2752.854736328
527380.01,2263861.01,2694.560302734
527380.01,2263961.01,2912.669677734
527380.01,2264061.01,2903.687011719
527380.01,2264161.01,2431.024902344
527380.01,2264261.01,2480.305419922
527380.01,2264361.01,2478.785644531
527380.01,2264461.01,2463.035400391
527380.01,2264561.01,2450.219238281
527380.01,2264661.01,2451.155029297
527380.01,2264761.01,2498.845947266
527380.01,2264861.01,2491.211914063
527380.01,2264961.01,2491.85546875
527380.01,2265061.01,2504.297607422
527380.01,2265161.01,2493.939453125
527380.01,2265261.01,2481.040527344
527380.01,2265361.01,2485.947265625
527380.01,2265461.01,2493.851806641
527380.01,2265561.01,2496.262939453
527380.01,2265661.01,2488.768310547
527380.01,2265761.01,2544.552001953
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,2523.924072266
527480.01,2261361.01,2529.515136719
527480.01,2261461.01,2534.999755859
527480.01,2261561.01,2536.257324219
527480.01,2261661.01,2541.5234375
527480.01,2261761.01,2540.764404297
527480.01,2261861.01,2531.256103516
527480.01,2261961.01,2531.544189453
527480.01,2262061.01,2533.280273438
527480.01,2262161.01,2537.870849609
527480.01,2262261.01,2527.442626953
527480.01,2262361.01,2517.210205078
527480.01,2262461.01,2530.140869141
527480.01,2262561.01,2533.135253906
527480.01,2262661.01,2529.5859375
527480.01,2262761.01,2528.379882813
527480.01,2262861.01,2523.146728516
527480.01,2262961.01,2511.291748047
527480.01,2263061.01,2514.590332031
527480.01,2263161.01,2504.733398438
527480.01,2263261.01,2472.614501953
527480.01,2263361.01,2492.794433594
527480.01,2263461.01,2487.536621094
527480.01,2263561.01,2510.813720703
527480.01,2263661.01,2532.495361328
527480.01,2263761.01,2579.884765625
527480.01,2263861.01,2524.621826172
527480.01,2263961.01,2688.883056641
527480.01,2264061.01,2824.050048828
527480.01,2264161.01,2507.703857422
527480.01,2264261.01,2480.839355469
527480.01,2264361.01,2457.009277344
527480.01,2264461.01,2461.375488281
527480.01,2264561.01,2463.489013672
527480.01,2264661.01,2488.103515625
527480.01,2264761.01,2488.421630859
527480.01,2264861.01,2480.688232422
527480.01,2264961.01,2492.517822266
527480.01,2265061.01,2513.604980469
527480.01,2265161.01,2497.397949219
527480.01,2265261.01,2486.401855469
527480.01,2265361.01,2478.011474609
