"X","Y","H50_Aal (Depth)"
527180.01,2265061.01,922.322875977
527180.01,2265161.01,925.721679688
527180.01,2265261.01,932.908508301
527180.01,2265361.01,936.299255371
527180.01,2265461.01,935.862060547
527180.01,2265561.01,935.894470215
527180.01,2265661.01,935.847473145
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,898.160217285
527280.01,2261461.01,898.426574707
527280.01,2261561.01,898.426574707
527280.01,2261661.01,892.748718262
527280.01,2261761.01,843.508239746
527280.01,2261861.01,844.358154297
527280.01,2261961.01,846.253295898
527280.01,2262061.01,846.518920898
527280.01,2262161.01,846.253295898
527280.01,2262261.01,846.253295898
527280.01,2262361.01,846.242248535
527280.01,2262461.01,846.309326172
527280.01,2262561.01,846.895874023
527280.01,2262661.01,847.506774902
527280.01,2262761.01,847.449523926
527280.01,2262861.01,847.869445801
527280.01,2262961.01,847.748291016
527280.01,2263061.01,847.398925781
527280.01,2263161.01,847.308532715
527280.01,2263261.01,850.652160645
527280.01,2263361.01,853.936035156
527280.01,2263461.01,855.115783691
527280.01,2263561.01,858.557006836
527280.01,2263661.01,861.906555176
527280.01,2263761.01,863.237365723
527280.01,2263861.01,866.356506348
527280.01,2263961.01,872.06427002
527280.01,2264061.01,875.86932373
527280.01,2264161.01,884.29486084
527280.01,2264261.01,892.90423584
527280.01,2264361.01,896.23223877
527280.01,2264461.01,904.877929688
527280.01,2264561.01,911.19708252
527280.01,2264661.01,913.979064941
527280.01,2264761.01,924.169616699
527280.01,2264861.01,929.796936035
527280.01,2264961.01,926.448486328
527280.01,2265061.01,922.632141113
527280.01,2265161.01,925.105041504
527280.01,2265261.01,932.660522461
527280.01,2265361.01,935.681213379
527280.01,2265461.01,936.057067871
527280.01,2265561.01,936.417419434
527280.01,2265661.01,936.180236816
527280.01,2265761.01,936.016479492
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,896.286499023
527380.01,2261461.01,897.320983887
527380.01,2261561.01,898.402832031
527380.01,2261661.01,898.402832031
527380.01,2261761.01,898.426574707
527380.01,2261861.01,898.426574707
527380.01,2261961.01,891.34942627
527380.01,2262061.01,846.253295898
527380.01,2262161.01,846.253295898
527380.01,2262261.01,846.253295898
527380.01,2262361.01,846.253295898
527380.01,2262461.01,846.253295898
527380.01,2262561.01,876.449890137
527380.01,2262661.01,847.345825195
527380.01,2262761.01,847.345825195
527380.01,2262861.01,847.308532715
527380.01,2262961.01,847.308532715
527380.01,2263061.01,847.375305176
527380.01,2263161.01,848.031066895
527380.01,2263261.01,849.010925293
527380.01,2263361.01,850.153198242
527380.01,2263461.01,853.173095703
527380.01,2263561.01,855.493713379
527380.01,2263661.01,859.235656738
527380.01,2263761.01,860.741088867
527380.01,2263861.01,862.164245605
527380.01,2263961.01,866.181274414
527380.01,2264061.01,869.010375977
527380.01,2264161.01,878.071655273
527380.01,2264261.01,887.337524414
527380.01,2264361.01,890.924377441
527380.01,2264461.01,898.587036133
527380.01,2264561.01,905.051757813
527380.01,2264661.01,907.704345703
527380.01,2264761.01,918.245117188
527380.01,2264861.01,926.871826172
527380.01,2264961.01,926.536621094
527380.01,2265061.01,923.802978516
527380.01,2265161.01,924.835876465
527380.01,2265261.01,933.065979004
527380.01,2265361.01,935.499389648
527380.01,2265461.01,936.356018066
527380.01,2265561.01,936.374023438
527380.01,2265661.01,936.374023438
527380.01,2265761.01,929.598632813
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,893.08026123
527480.01,2261361.01,895.574707031
527480.01,2261461.01,896.548400879
527480.01,2261561.01,897.218322754
