"X","Y","H20_Kimm (Depth)"
527180.01,2265061.01,298.454162598
527180.01,2265161.01,297.6043396
527180.01,2265261.01,293.33303833
527180.01,2265361.01,290.847595215
527180.01,2265461.01,292.341796875
527180.01,2265561.01,292.757110596
527180.01,2265661.01,293.856201172
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,234.95475769
527280.01,2261461.01,231.105178833
527280.01,2261561.01,231.196914673
527280.01,2261661.01,232.882110596
527280.01,2261761.01,235.580856323
527280.01,2261861.01,239.018417358
527280.01,2261961.01,243.300674438
527280.01,2262061.01,246.864303589
527280.01,2262161.01,248.720565796
527280.01,2262261.01,249.372695923
527280.01,2262361.01,247.552963257
527280.01,2262461.01,246.039810181
527280.01,2262561.01,247.120483398
527280.01,2262661.01,249.524032593
527280.01,2262761.01,250.531341553
527280.01,2262861.01,251.762420654
527280.01,2262961.01,252.663864136
527280.01,2263061.01,253.357528687
527280.01,2263161.01,254.047683716
527280.01,2263261.01,253.772247314
527280.01,2263361.01,253.772247314
527280.01,2263461.01,253.772247314
527280.01,2263561.01,253.772247314
527280.01,2263661.01,252.103790283
527280.01,2263761.01,252.242095947
527280.01,2263861.01,235.318115234
527280.01,2263961.01,238.089569092
527280.01,2264061.01,264.817108154
527280.01,2264161.01,263.208831787
527280.01,2264261.01,264.243499756
527280.01,2264361.01,267.343658447
527280.01,2264461.01,272.988677979
527280.01,2264561.01,280.803375244
527280.01,2264661.01,285.466430664
527280.01,2264761.01,293.139251709
527280.01,2264861.01,297.439483643
527280.01,2264961.01,298.550079346
527280.01,2265061.01,299.845184326
527280.01,2265161.01,299.214782715
527280.01,2265261.01,295.921875
527280.01,2265361.01,294.547576904
527280.01,2265461.01,293.700469971
527280.01,2265561.01,294.409515381
527280.01,2265661.01,294.575439453
527280.01,2265761.01,295.037445068
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,231.756729126
527380.01,2261461.01,228.731628418
527380.01,2261561.01,230.238693237
527380.01,2261661.01,232.298278809
527380.01,2261761.01,234.474334717
527380.01,2261861.01,238.593460083
527380.01,2261961.01,243.379211426
527380.01,2262061.01,246.238861084
527380.01,2262161.01,247.296951294
527380.01,2262261.01,246.784973145
527380.01,2262361.01,244.834503174
527380.01,2262461.01,243.009597778
527380.01,2262561.01,244.619232178
527380.01,2262661.01,248.045257568
527380.01,2262761.01,249.502655029
527380.01,2262861.01,251.256240845
527380.01,2262961.01,252.417221069
527380.01,2263061.01,253.11000061
527380.01,2263161.01,253.507232666
527380.01,2263261.01,253.714630127
527380.01,2263361.01,253.842391968
527380.01,2263461.01,253.824645996
527380.01,2263561.01,253.772247314
527380.01,2263661.01,253.229568481
527380.01,2263761.01,252.886520386
527380.01,2263861.01,240.134262085
527380.01,2263961.01,241.99055481
527380.01,2264061.01,243.999099731
527380.01,2264161.01,266.465759277
527380.01,2264261.01,265.973266602
527380.01,2264361.01,269.482879639
527380.01,2264461.01,276.293243408
527380.01,2264561.01,284.452880859
527380.01,2264661.01,288.970123291
527380.01,2264761.01,293.308410645
527380.01,2264861.01,297.673339844
527380.01,2264961.01,298.561096191
527380.01,2265061.01,299.367614746
527380.01,2265161.01,299.983886719
527380.01,2265261.01,300.019683838
527380.01,2265361.01,298.161773682
527380.01,2265461.01,296.877990723
527380.01,2265561.01,295.745574951
527380.01,2265661.01,295.660705566
527380.01,2265761.01,295.732879639
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,232.094696045
527480.01,2261361.01,229.732376099
527480.01,2261461.01,226.809661865
527480.01,2261561.01,227.645797729
527480.01,2261661.01,231.366714478
527480.01,2261761.01,233.843093872
527480.01,2261861.01,239.116424561
527480.01,2261961.01,242.123580933
527480.01,2262061.01,243.384811401
527480.01,2262161.01,244.900863647
527480.01,2262261.01,243.10067749
527480.01,2262361.01,240.867340088
527480.01,2262461.01,239.476776123
527480.01,2262561.01,241.583328247
527480.01,2262661.01,245.699707031
527480.01,2262761.01,247.110687256
527480.01,2262861.01,249.61227417
527480.01,2262961.01,251.336029053
527480.01,2263061.01,251.302566528
527480.01,2263161.01,252.610366821
527480.01,2263261.01,254.688415527
527480.01,2263361.01,254.084762573
527480.01,2263461.01,252.860366821
527480.01,2263561.01,252.11366272
527480.01,2263661.01,251.943222046
527480.01,2263761.01,253.253265381
527480.01,2263861.01,257.622406006
527480.01,2263961.01,245.891769409
527480.01,2264061.01,246.523757935
527480.01,2264161.01,266.465759277
527480.01,2264261.01,267.609954834
527480.01,2264361.01,271.215759277
527480.01,2264461.01,279.658813477
527480.01,2264561.01,287.560119629
527480.01,2264661.01,289.999359131
527480.01,2264761.01,293.840270996
527480.01,2264861.01,295.631713867
527480.01,2264961.01,295.976776123
527480.01,2265061.01,297.840911865
527480.01,2265161.01,300.21484375
527480.01,2265261.01,301.276123047
527480.01,2265361.01,301.91229248
527480.01,2265461.01,300.397399902
527480.01,2265561.01,300.531707764
527480.01,2265661.01,298.861724854
527480.01,2265761.01,298.413757324
527480.01,2265861.01,297.913513184
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,231.925415039
527580.01,2261361.01,227.117218018
527580.01,2261461.01,225.858856201
527580.01,2261561.01,227.254211426
527580.01,2261661.01,231.472091675
527580.01,2261761.01,233.854095459
527580.01,2261861.01,238.988922119
527580.01,2261961.01,241.048217773
527580.01,2262061.01,242.268081665
527580.01,2262161.01,243.112823486
527580.01,2262261.01,241.474899292
527580.01,2262361.01,238.313781738
527580.01,2262461.01,238.001968384
527580.01,2262561.01,238.972869873
527580.01,2262661.01,241.986404419
527580.01,2262761.01,242.916931152
527580.01,2262861.01,247.072265625
527580.01,2262961.01,249.039978027
527580.01,2263061.01,249.303543091
527580.01,2263161.01,250.288284302
527580.01,2263261.01,251.646484375
527580.01,2263361.01,248.78288269
527580.01,2263461.01,248.480575562
527580.01,2263561.01,249.169906616
527580.01,2263661.01,248.768173218
527580.01,2263761.01,249.922332764
527580.01,2263861.01,252.069992065
527580.01,2263961.01,250.322891235
527580.01,2264061.01,251.399139404
527580.01,2264161.01,262.043884277
527580.01,2264261.01,261.916503906
527580.01,2264361.01,268.336578369
527580.01,2264461.01,275.835784912
527580.01,2264561.01,284.363342285
527580.01,2264661.01,287.875366211
527580.01,2264761.01,291.434783936
527580.01,2264861.01,292.838409424
527580.01,2264961.01,294.278259277
527580.01,2265061.01,297.609771729
527580.01,2265161.01,300.799438477
527580.01,2265261.01,302.989013672
527580.01,2265361.01,304.509521484
527580.01,2265461.01,304.184265137
527580.01,2265561.01,302.86907959
527580.01,2265661.01,302.019073486
527580.01,2265761.01,300.556060791
527580.01,2265861.01,299.800292969
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,232.755691528
527680.01,2261261.01,230.096710205
527680.01,2261361.01,227.980224609
527680.01,2261461.01,228.254165649
527680.01,2261561.01,231.252670288
527680.01,2261661.01,233.56401062
527680.01,2261761.01,235.606582642
527680.01,2261861.01,238.640228271
527680.01,2261961.01,241.028991699
527680.01,2262061.01,241.922561646
527680.01,2262161.01,242.428543091
527680.01,2262261.01,240.521575928
527680.01,2262361.01,237.518783569
527680.01,2262461.01,235.870834351
527680.01,2262561.01,235.619888306
527680.01,2262661.01,236.077789307
527680.01,2262761.01,239.514801025
527680.01,2262861.01,243.463729858
527680.01,2262961.01,244.04095459
527680.01,2263061.01,245.764175415
527680.01,2263161.01,246.55909729
527680.01,2263261.01,247.348190308
527680.01,2263361.01,246.394744873
527680.01,2263461.01,246.326400757
527680.01,2263561.01,246.226394653
527680.01,2263661.01,246.36088562
527680.01,2263761.01,247.682144165
527680.01,2263861.01,250.567840576
527680.01,2263961.01,251.978820801
527680.01,2264061.01,255.399154663
527680.01,2264161.01,258.49029541
527680.01,2264261.01,260.729553223
527680.01,2264361.01,265.845550537
527680.01,2264461.01,273.025390625
527680.01,2264561.01,276.888092041
527680.01,2264661.01,284.205505371
527680.01,2264761.01,289.205993652
527680.01,2264861.01,290.691192627
527680.01,2264961.01,293.584960938
527680.01,2265061.01,296.616516113
527680.01,2265161.01,301.770843506
527680.01,2265261.01,302.802947998
527680.01,2265361.01,303.47253418
527680.01,2265461.01,303.47253418
527680.01,2265561.01,303.47253418
527680.01,2265661.01,302.855743408
527680.01,2265761.01,259.221801758
527680.01,2265861.01,259.344329834
527680.01,2265961.01,261.251678467
527680.01,2266061.01,-9999
527680.01,2266161.01,-9999
527780.01,2261061.01,-9999
527780.01,2261161.01,231.213012695
527780.01,2261261.01,229.292205811
527780.01,2261361.01,228.685256958
527780.01,2261461.01,230.364471436
527780.01,2261561.01,232.422393799
527780.01,2261661.01,236.452301025
527780.01,2261761.01,236.848129272
527780.01,2261861.01,238.444702148
527780.01,2261961.01,240.819107056
527780.01,2262061.01,241.525558472
527780.01,2262161.01,241.089370728
527780.01,2262261.01,237.079803467
527780.01,2262361.01,234.22416687
527780.01,2262461.01,233.720809937
527780.01,2262561.01,234.60597229
527780.01,2262661.01,234.205825806
527780.01,2262761.01,236.93812561
527780.01,2262861.01,240.01991272
527780.01,2262961.01,240.540725708
527780.01,2263061.01,243.227493286
527780.01,2263161.01,243.233581543
527780.01,2263261.01,242.552246094
527780.01,2263361.01,243.291015625
527780.01,2263461.01,243.379043579
527780.01,2263561.01,243.441619873
527780.01,2263661.01,243.939849854
527780.01,2263761.01,246.204666138
527780.01,2263861.01,249.388366699
527780.01,2263961.01,251.111724854
527780.01,2264061.01,254.565750122
527780.01,2264161.01,257.970672607
527780.01,2264261.01,261.967559814
527780.01,2264361.01,266.231872559
527780.01,2264461.01,271.525360107
527780.01,2264561.01,274.912841797
527780.01,2264661.01,280.951385498
527780.01,2264761.01,289.239715576
527780.01,2264861.01,285.937225342
527780.01,2264961.01,286.826812744
527780.01,2265061.01,290.800506592
527780.01,2265161.01,303.47253418
527780.01,2265261.01,303.47253418
527780.01,2265361.01,303.47253418
527780.01,2265461.01,303.47253418
527780.01,2265561.01,283.405639648
527780.01,2265661.01,258.085449219
527780.01,2265761.01,259.073272705
527780.01,2265861.01,259.480682373
527780.01,2265961.01,262.278015137
527780.01,2266061.01,263.511016846
527780.01,2266161.01,-9999
527880.01,2261061.01,-9999
527880.01,2261161.01,235.936325073
527880.01,2261261.01,230.649856567
527880.01,2261361.01,231.534378052
527880.01,2261461.01,231.842636108
527880.01,2261561.01,235.313369751
527880.01,2261661.01,236.980926514
527880.01,2261761.01,238.161987305
527880.01,2261861.01,239.111755371
527880.01,2261961.01,240.021820068
527880.01,2262061.01,240.343109131
527880.01,2262161.01,238.099304199
527880.01,2262261.01,233.760055542
527880.01,2262361.01,231.441131592
527880.01,2262461.01,231.60357666
527880.01,2262561.01,231.867904663
527880.01,2262661.01,232.502670288
527880.01,2262761.01,233.675216675
527880.01,2262861.01,236.907318115
527880.01,2262961.01,237.175491333
527880.01,2263061.01,239.795425415
527880.01,2263161.01,240.749160767
527880.01,2263261.01,240.684524536
527880.01,2263361.01,240.701095581
527880.01,2263461.01,241.272277832
527880.01,2263561.01,240.742034912
527880.01,2263661.01,242.47416687
527880.01,2263761.01,245.464767456
527880.01,2263861.01,246.769760132
527880.01,2263961.01,249.89755249
527880.01,2264061.01,254.189163208
527880.01,2264161.01,258.420715332
527880.01,2264261.01,261.246002197
527880.01,2264361.01,266.193725586
527880.01,2264461.01,270.355560303
527880.01,2264561.01,273.727508545
527880.01,2264661.01,268.394073486
527880.01,2264761.01,295.840820313
527880.01,2264861.01,276.51348877
527880.01,2264961.01,302.22644043
527880.01,2265061.01,303.225341797
527880.01,2265161.01,279.006256104
