"X","Y","H30_Lusit (Depth)"
527180.01,2265061.01,440.759979248
527180.01,2265161.01,435.87789917
527180.01,2265261.01,431.47253418
527180.01,2265361.01,430.629486084
527180.01,2265461.01,428.790863037
527180.01,2265561.01,429.689941406
527180.01,2265661.01,431.402130127
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,379.834655762
527280.01,2261461.01,380.44140625
527280.01,2261561.01,380.041748047
527280.01,2261661.01,379.77935791
527280.01,2261761.01,384.179412842
527280.01,2261861.01,385.942993164
527280.01,2261961.01,388.945343018
527280.01,2262061.01,392.318634033
527280.01,2262161.01,392.624816895
527280.01,2262261.01,393.832794189
527280.01,2262361.01,392.459960938
527280.01,2262461.01,390.245849609
527280.01,2262561.01,393.931274414
527280.01,2262661.01,395.627685547
527280.01,2262761.01,396.022674561
527280.01,2262861.01,395.701324463
527280.01,2262961.01,396.417266846
527280.01,2263061.01,396.417266846
527280.01,2263161.01,396.417266846
527280.01,2263261.01,373.372802734
527280.01,2263361.01,373.372802734
527280.01,2263461.01,374.114440918
527280.01,2263561.01,374.584320068
527280.01,2263661.01,375.313415527
527280.01,2263761.01,376.211090088
527280.01,2263861.01,377.271362305
527280.01,2263961.01,379.767913818
527280.01,2264061.01,394.449615479
527280.01,2264161.01,399.991882324
527280.01,2264261.01,404.665924072
527280.01,2264361.01,406.650177002
527280.01,2264461.01,414.685302734
527280.01,2264561.01,420.913452148
527280.01,2264661.01,423.111053467
527280.01,2264761.01,433.530273438
527280.01,2264861.01,437.980499268
527280.01,2264961.01,439.515258789
527280.01,2265061.01,440.574890137
527280.01,2265161.01,437.359802246
527280.01,2265261.01,431.329986572
527280.01,2265361.01,430.324035645
527280.01,2265461.01,428.871337891
527280.01,2265561.01,431.853729248
527280.01,2265661.01,432.953399658
527280.01,2265761.01,432.63369751
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,379.144287109
527380.01,2261461.01,377.036224365
527380.01,2261561.01,378.405883789
527380.01,2261661.01,381.337371826
527380.01,2261761.01,383.115997314
527380.01,2261861.01,386.549621582
527380.01,2261961.01,389.343963623
527380.01,2262061.01,392.142150879
527380.01,2262161.01,392.847686768
527380.01,2262261.01,393.714416504
527380.01,2262361.01,388.272369385
527380.01,2262461.01,388.299743652
527380.01,2262561.01,392.329956055
527380.01,2262661.01,395.42956543
527380.01,2262761.01,395.257507324
527380.01,2262861.01,395.222991943
527380.01,2262961.01,394.99319458
527380.01,2263061.01,396.113586426
527380.01,2263161.01,396.522186279
527380.01,2263261.01,396.688690186
527380.01,2263361.01,396.688690186
527380.01,2263461.01,396.688690186
527380.01,2263561.01,396.404876709
527380.01,2263661.01,380.512359619
527380.01,2263761.01,382.054534912
527380.01,2263861.01,377.995178223
527380.01,2263961.01,394.753875732
527380.01,2264061.01,394.753875732
