"X","Y","H40_Batho (Depth)"
527180.01,2265061.01,816.669006348
527180.01,2265161.01,819.702575684
527180.01,2265261.01,827.323913574
527180.01,2265361.01,831.26385498
527180.01,2265461.01,830.154907227
527180.01,2265561.01,829.108215332
527180.01,2265661.01,829.555725098
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,783.373840332
527280.01,2261461.01,783.938476563
527280.01,2261561.01,784.037414551
527280.01,2261661.01,784.037414551
527280.01,2261761.01,773.328857422
527280.01,2261861.01,738.696838379
527280.01,2261961.01,733.906188965
527280.01,2262061.01,733.906188965
527280.01,2262161.01,733.906188965
527280.01,2262261.01,733.906188965
527280.01,2262361.01,733.906188965
527280.01,2262461.01,733.906188965
527280.01,2262561.01,734.716186523
527280.01,2262661.01,735.475891113
527280.01,2262761.01,736.535827637
527280.01,2262861.01,737.068664551
527280.01,2262961.01,737.212585449
527280.01,2263061.01,737.433044434
527280.01,2263161.01,739.309265137
527280.01,2263261.01,741.901550293
527280.01,2263361.01,745.28125
527280.01,2263461.01,746.342285156
527280.01,2263561.01,748.235412598
527280.01,2263661.01,751.501953125
527280.01,2263761.01,753.745361328
527280.01,2263861.01,756.700195313
527280.01,2263961.01,761.180053711
527280.01,2264061.01,764.208984375
527280.01,2264161.01,773.744812012
527280.01,2264261.01,784.88067627
527280.01,2264361.01,790.177612305
527280.01,2264461.01,798.904663086
527280.01,2264561.01,804.994628906
527280.01,2264661.01,807.863098145
527280.01,2264761.01,818.458312988
527280.01,2264861.01,824.495788574
527280.01,2264961.01,821.897644043
527280.01,2265061.01,817.751220703
527280.01,2265161.01,819.390869141
527280.01,2265261.01,827.090332031
527280.01,2265361.01,830.587646484
527280.01,2265461.01,830.145263672
527280.01,2265561.01,830.47277832
527280.01,2265661.01,830.053283691
527280.01,2265761.01,829.609802246
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,781.437255859
527380.01,2261461.01,782.534973145
527380.01,2261561.01,783.594726563
527380.01,2261661.01,783.954528809
527380.01,2261761.01,783.954528809
527380.01,2261861.01,784.037414551
527380.01,2261961.01,784.037414551
527380.01,2262061.01,784.037414551
527380.01,2262161.01,783.54473877
527380.01,2262261.01,769.894042969
527380.01,2262361.01,736.811157227
527380.01,2262461.01,770.996398926
527380.01,2262561.01,792.907409668
527380.01,2262661.01,793.588012695
527380.01,2262761.01,793.588012695
527380.01,2262861.01,737.027526855
527380.01,2262961.01,737.066467285
527380.01,2263061.01,739.068786621
527380.01,2263161.01,739.068786621
527380.01,2263261.01,741.917663574
527380.01,2263361.01,743.196289063
527380.01,2263461.01,745.047790527
527380.01,2263561.01,746.403869629
527380.01,2263661.01,749.632995605
527380.01,2263761.01,751.881774902
527380.01,2263861.01,754.531799316
527380.01,2263961.01,758.333129883
527380.01,2264061.01,760.566345215
527380.01,2264161.01,768.179199219
527380.01,2264261.01,779.134887695
527380.01,2264361.01,784.161804199
527380.01,2264461.01,793.234436035
527380.01,2264561.01,799.587280273
527380.01,2264661.01,801.91418457
527380.01,2264761.01,812.773681641
527380.01,2264861.01,821.165222168
527380.01,2264961.01,821.232299805
527380.01,2265061.01,819.090332031
527380.01,2265161.01,822.616333008
527380.01,2265261.01,825.702514648
527380.01,2265361.01,829.621643066
527380.01,2265461.01,831.089477539
527380.01,2265561.01,830.459716797
527380.01,2265661.01,830.47277832
527380.01,2265761.01,829.833862305
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
