"X","Y","H80_r3a (Depth)"
527180.01,2264061.01,1067.663085938
527180.01,2264161.01,1072.772094727
527180.01,2264261.01,1080.451538086
527180.01,2264361.01,1080.929931641
527180.01,2264461.01,1086.850463867
527180.01,2264561.01,1092.607788086
527180.01,2264661.01,1106.333007813
527180.01,2264761.01,1111.365844727
527180.01,2264861.01,1111.126342773
527180.01,2264961.01,1104.517822266
527180.01,2265061.01,1101.112670898
527180.01,2265161.01,1107.592407227
527180.01,2265261.01,1112.67956543
527180.01,2265361.01,1116.574584961
527180.01,2265461.01,1116.060180664
527180.01,2265561.01,1114.808227539
527180.01,2265661.01,1115.172241211
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,1093.057006836
527280.01,2261461.01,1029.348876953
527280.01,2261561.01,1065.811401367
527280.01,2261661.01,1029.348876953
527280.01,2261761.01,1033.045410156
527280.01,2261861.01,1035.084594727
527280.01,2261961.01,1040.012573242
527280.01,2262061.01,1040.604248047
527280.01,2262161.01,1039.715576172
527280.01,2262261.01,1040.208862305
527280.01,2262361.01,1040.856323242
527280.01,2262461.01,1041.461425781
527280.01,2262561.01,1043.530273438
527280.01,2262661.01,1043.661499023
527280.01,2262761.01,1043.780761719
527280.01,2262861.01,1042.171020508
527280.01,2262961.01,1040.705566406
527280.01,2263061.01,1041.650512695
527280.01,2263161.01,1042.257568359
527280.01,2263261.01,1043.828491211
527280.01,2263361.01,1047.340454102
527280.01,2263461.01,1045.932006836
527280.01,2263561.01,1045.889282227
527280.01,2263661.01,1048.887695313
527280.01,2263761.01,1049.778686523
527280.01,2263861.01,1053.892700195
527280.01,2263961.01,1059.454833984
527280.01,2264061.01,1062.27722168
527280.01,2264161.01,1068.797729492
527280.01,2264261.01,1075.198730469
527280.01,2264361.01,1077.294189453
527280.01,2264461.01,1082.207519531
527280.01,2264561.01,1089.138916016
527280.01,2264661.01,1098.210693359
527280.01,2264761.01,1107.263549805
527280.01,2264861.01,1109.646118164
527280.01,2264961.01,1106.633911133
527280.01,2265061.01,1101.615234375
527280.01,2265161.01,1109.573730469
527280.01,2265261.01,1114.493408203
527280.01,2265361.01,1116.144042969
527280.01,2265461.01,1117.038818359
527280.01,2265561.01,1115.994018555
527280.01,2265661.01,1115.906494141
527280.01,2265761.01,1115.870361328
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,1099.526489258
527380.01,2261461.01,1099.450073242
527380.01,2261561.01,1099.582763672
527380.01,2261661.01,1099.582763672
527380.01,2261761.01,1090.118530273
527380.01,2261861.01,1038.575927734
527380.01,2261961.01,1039.138671875
527380.01,2262061.01,1039.84362793
527380.01,2262161.01,1039.705566406
527380.01,2262261.01,1039.684448242
527380.01,2262361.01,1040.334716797
527380.01,2262461.01,1040.436889648
527380.01,2262561.01,1040.826660156
527380.01,2262661.01,1040.661743164
527380.01,2262761.01,1040.433227539
527380.01,2262861.01,1040.459960938
527380.01,2262961.01,1040.745239258
527380.01,2263061.01,1040.650024414
527380.01,2263161.01,1042.846801758
527380.01,2263261.01,1043.563720703
527380.01,2263361.01,1044.1171875
527380.01,2263461.01,1043.862426758
527380.01,2263561.01,1043.722290039
527380.01,2263661.01,1046.896240234
527380.01,2263761.01,1048.356689453
527380.01,2263861.01,1050.220336914
527380.01,2263961.01,1052.526855469
527380.01,2264061.01,1055.11730957
527380.01,2264161.01,1063.396362305
527380.01,2264261.01,1071.045532227
527380.01,2264361.01,1073.161987305
527380.01,2264461.01,1078.757446289
527380.01,2264561.01,1082.927246094
527380.01,2264661.01,1085.216918945
527380.01,2264761.01,1098.009887695
527380.01,2264861.01,1106.28918457
527380.01,2264961.01,1107.669677734
527380.01,2265061.01,1105.85144043
527380.01,2265161.01,1113.630737305
527380.01,2265261.01,1117.079589844
527380.01,2265361.01,1117.079589844
527380.01,2265461.01,1117.079589844
527380.01,2265561.01,1116.739746094
527380.01,2265661.01,1077.640869141
527380.01,2265761.01,1078.738037109
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,1098.599365234
527480.01,2261361.01,1098.014282227
527480.01,2261461.01,1098.819091797
527480.01,2261561.01,1099.232177734
527480.01,2261661.01,1099.582763672
527480.01,2261761.01,1099.545166016
527480.01,2261861.01,1099.193359375
527480.01,2261961.01,1096.175537109
527480.01,2262061.01,1095.208496094
527480.01,2262161.01,1084.727661133
527480.01,2262261.01,1053.214477539
527480.01,2262361.01,1039.705566406
527480.01,2262461.01,1053.690673828
527480.01,2262561.01,1040.707641602
527480.01,2262661.01,1040.174560547
527480.01,2262761.01,1040.174560547
527480.01,2262861.01,1040.174560547
527480.01,2262961.01,1040.223510742
527480.01,2263061.01,1040.223510742
527480.01,2263161.01,1040.920898438
527480.01,2263261.01,1044.201782227
527480.01,2263361.01,1043.887329102
527480.01,2263461.01,1043.718017578
527480.01,2263561.01,1044.235961914
527480.01,2263661.01,1045.262207031
527480.01,2263761.01,1046.212768555
527480.01,2263861.01,1048.05871582
527480.01,2263961.01,1048.733276367
527480.01,2264061.01,1050.868652344
527480.01,2264161.01,1056.857666016
527480.01,2264261.01,1063.712768555
527480.01,2264361.01,1066.846435547
527480.01,2264461.01,1074.853759766
527480.01,2264561.01,1078.740722656
527480.01,2264661.01,1081.178833008
527480.01,2264761.01,1085.151977539
527480.01,2264861.01,1106.950683594
527480.01,2264961.01,1109.901855469
527480.01,2265061.01,1112.795654297
527480.01,2265161.01,1117.079589844
527480.01,2265261.01,1117.079589844
527480.01,2265361.01,1117.079589844
527480.01,2265461.01,1091.98449707
527480.01,2265561.01,1080.674438477
527480.01,2265661.01,1080.674438477
527480.01,2265761.01,1075.271850586
527480.01,2265861.01,1077.817749023
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,1091.895019531
527580.01,2261361.01,1096.076293945
527580.01,2261461.01,1096.760375977
527580.01,2261561.01,1100.675048828
527580.01,2261661.01,1099.507568359
527580.01,2261761.01,1098.755249023
527580.01,2261861.01,1098.237670898
527580.01,2261961.01,1097.538208008
527580.01,2262061.01,1096.67590332
527580.01,2262161.01,1092.834350586
527580.01,2262261.01,1094.40246582
527580.01,2262361.01,1094.955688477
527580.01,2262461.01,1096.486206055
527580.01,2262561.01,1098.131225586
527580.01,2262661.01,1098.131225586
527580.01,2262761.01,1100.185180664
527580.01,2262861.01,1090.48059082
527580.01,2262961.01,1040.174560547
527580.01,2263061.01,1040.174560547
527580.01,2263161.01,1040.174560547
527580.01,2263261.01,1041.440307617
527580.01,2263361.01,1042.827270508
527580.01,2263461.01,1043.903564453
527580.01,2263561.01,1043.864746094
527580.01,2263661.01,1043.877563477
527580.01,2263761.01,1043.795410156
527580.01,2263861.01,1045.744140625
527580.01,2263961.01,1045.06237793
527580.01,2264061.01,1045.333740234
527580.01,2264161.01,1048.798950195
527580.01,2264261.01,1050.452636719
527580.01,2264361.01,1057.872436523
527580.01,2264461.01,1069.834594727
527580.01,2264561.01,1076.806030273
527580.01,2264661.01,1077.599365234
527580.01,2264761.01,1072.045043945
527580.01,2264861.01,1108.153564453
527580.01,2264961.01,1109.094482422
527580.01,2265061.01,1082.482177734
527580.01,2265161.01,1072.045043945
527580.01,2265261.01,1072.045043945
527580.01,2265361.01,1072.045043945
527580.01,2265461.01,1080.394287109
527580.01,2265561.01,1080.674438477
527580.01,2265661.01,1081.012939453
527580.01,2265761.01,1077.738891602
527580.01,2265861.01,1077.611206055
527580.01,2265961.01,-9999
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,1085.817138672
527680.01,2261261.01,1086.416015625
527680.01,2261361.01,1089.072021484
527680.01,2261461.01,1090.658325195
527680.01,2261561.01,1094.856201172
527680.01,2261661.01,1097.017333984
527680.01,2261761.01,1095.942016602
527680.01,2261861.01,1095.291870117
527680.01,2261961.01,1093.600708008
527680.01,2262061.01,1091.619628906
527680.01,2262161.01,1091.250610352
527680.01,2262261.01,1092.643310547
527680.01,2262361.01,1093.845092773
527680.01,2262461.01,1094.862792969
