"X","Y","H70_Arg_lev (Depth)"
527180.01,2262061.01,974.091796875
527180.01,2262161.01,970.902709961
527180.01,2262261.01,972.835266113
527180.01,2262361.01,972.468322754
527180.01,2262461.01,972.120422363
527180.01,2262561.01,972.664306641
527180.01,2262661.01,971.827087402
527180.01,2262761.01,971.147399902
527180.01,2262861.01,971.875854492
527180.01,2262961.01,973.579650879
527180.01,2263061.01,973.125854492
527180.01,2263161.01,974.175170898
527180.01,2263261.01,977.389038086
527180.01,2263361.01,981.354431152
527180.01,2263461.01,981.245605469
527180.01,2263561.01,983.593811035
527180.01,2263661.01,987.097351074
527180.01,2263761.01,987.907775879
527180.01,2263861.01,992.643249512
527180.01,2263961.01,997.963256836
527180.01,2264061.01,1000.49395752
527180.01,2264161.01,1006.335998535
527180.01,2264261.01,1013.912475586
527180.01,2264361.01,1015.617736816
527180.01,2264461.01,1022.027038574
527180.01,2264561.01,1027.854003906
527180.01,2264661.01,1041.819458008
527180.01,2264761.01,1047.381835938
527180.01,2264861.01,1047.446899414
527180.01,2264961.01,1040.180175781
527180.01,2265061.01,1036.244750977
527180.01,2265161.01,1042.310913086
527180.01,2265261.01,1047.467041016
527180.01,2265361.01,1051.829589844
527180.01,2265461.01,1050.596923828
527180.01,2265561.01,1050.125244141
527180.01,2265661.01,1050.629760742
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,1028.946899414
527280.01,2261461.01,965.668212891
527280.01,2261561.01,1028.946899414
527280.01,2261661.01,961.755371094
527280.01,2261761.01,962.418762207
527280.01,2261861.01,964.245361328
527280.01,2261961.01,970.111022949
527280.01,2262061.01,972.375427246
527280.01,2262161.01,971.024291992
527280.01,2262261.01,971.030334473
527280.01,2262361.01,972.174682617
527280.01,2262461.01,971.852416992
527280.01,2262561.01,972.957885742
527280.01,2262661.01,973.529968262
527280.01,2262761.01,973.313659668
527280.01,2262861.01,973.239379883
527280.01,2262961.01,971.98248291
527280.01,2263061.01,971.95489502
527280.01,2263161.01,973.926757813
527280.01,2263261.01,976.770690918
527280.01,2263361.01,979.807617188
527280.01,2263461.01,979.450012207
527280.01,2263561.01,982.327819824
527280.01,2263661.01,983.880126953
527280.01,2263761.01,985.362060547
527280.01,2263861.01,987.901000977
527280.01,2263961.01,993.774047852
527280.01,2264061.01,997.270690918
527280.01,2264161.01,1003.359375
527280.01,2264261.01,1010.021911621
527280.01,2264361.01,1012.636291504
527280.01,2264461.01,1018.543212891
527280.01,2264561.01,1024.380371094
527280.01,2264661.01,1033.28515625
527280.01,2264761.01,1043.026977539
527280.01,2264861.01,1045.771118164
527280.01,2264961.01,1042.84753418
527280.01,2265061.01,1037.126220703
527280.01,2265161.01,1044.857543945
527280.01,2265261.01,1049.134521484
527280.01,2265361.01,1051.349609375
527280.01,2265461.01,1051.154785156
527280.01,2265561.01,1051.078491211
527280.01,2265661.01,1050.815795898
527280.01,2265761.01,1051.051757813
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,1028.421875
527380.01,2261461.01,1028.940063477
527380.01,2261561.01,1028.940063477
527380.01,2261661.01,1028.946899414
527380.01,2261761.01,1028.946899414
527380.01,2261861.01,1001.133239746
527380.01,2261961.01,970.933837891
527380.01,2262061.01,970.933837891
527380.01,2262161.01,970.933837891
527380.01,2262261.01,970.933837891
527380.01,2262361.01,971.180175781
527380.01,2262461.01,971.531921387
527380.01,2262561.01,971.988586426
527380.01,2262661.01,970.999084473
527380.01,2262761.01,970.548339844
527380.01,2262861.01,970.826599121
527380.01,2262961.01,971.209960938
527380.01,2263061.01,971.704162598
527380.01,2263161.01,973.654663086
527380.01,2263261.01,975.7578125
527380.01,2263361.01,976.117248535
527380.01,2263461.01,977.707214355
527380.01,2263561.01,979.57824707
527380.01,2263661.01,982.184814453
527380.01,2263761.01,982.996582031
527380.01,2263861.01,984.405456543
527380.01,2263961.01,987.110778809
527380.01,2264061.01,989.817504883
527380.01,2264161.01,999.428527832
527380.01,2264261.01,1005.73046875
527380.01,2264361.01,1007.950866699
527380.01,2264461.01,1014.518615723
527380.01,2264561.01,1019.040161133
527380.01,2264661.01,1021.187438965
527380.01,2264761.01,1033.878662109
527380.01,2264861.01,1042.379272461
527380.01,2264961.01,1043.528686523
527380.01,2265061.01,1041.237426758
527380.01,2265161.01,1048.08190918
527380.01,2265261.01,1049.521484375
527380.01,2265361.01,1051.114868164
527380.01,2265461.01,1051.114868164
527380.01,2265561.01,1051.114868164
527380.01,2265661.01,1051.114868164
527380.01,2265761.01,1040.876708984
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,1026.50378418
527480.01,2261361.01,1025.942016602
527480.01,2261461.01,1027.015136719
527480.01,2261561.01,1028.883789063
527480.01,2261661.01,1028.91809082
527480.01,2261761.01,1028.982666016
527480.01,2261861.01,1028.863647461
527480.01,2261961.01,1028.358154297
527480.01,2262061.01,1027.583129883
527480.01,2262161.01,1026.690429688
527480.01,2262261.01,1027.232543945
527480.01,2262361.01,1022.013977051
527480.01,2262461.01,1031.49609375
527480.01,2262561.01,1023.69354248
527480.01,2262661.01,970.548339844
527480.01,2262761.01,970.548339844
527480.01,2262861.01,970.548339844
527480.01,2262961.01,970.774536133
527480.01,2263061.01,970.774536133
527480.01,2263161.01,970.87512207
527480.01,2263261.01,973.450805664
527480.01,2263361.01,974.300415039
527480.01,2263461.01,976.578979492
527480.01,2263561.01,977.627197266
527480.01,2263661.01,978.407043457
527480.01,2263761.01,979.561340332
527480.01,2263861.01,982.06817627
527480.01,2263961.01,983.815185547
527480.01,2264061.01,985.809692383
527480.01,2264161.01,991.702941895
527480.01,2264261.01,999.065063477
527480.01,2264361.01,1002.522460938
527480.01,2264461.01,1010.637145996
527480.01,2264561.01,1015.020446777
527480.01,2264661.01,1018.491149902
527480.01,2264761.01,1030.60925293
527480.01,2264861.01,1042.24230957
527480.01,2264961.01,1044.235839844
527480.01,2265061.01,1049.705200195
527480.01,2265161.01,1050.701660156
527480.01,2265261.01,1051.114868164
527480.01,2265361.01,1051.114868164
527480.01,2265461.01,1051.114868164
527480.01,2265561.01,1019.830078125
527480.01,2265661.01,1019.830078125
527480.01,2265761.01,1019.830078125
527480.01,2265861.01,1016.317443848
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,1020.20513916
527580.01,2261361.01,1024.071899414
527580.01,2261461.01,1024.351928711
527580.01,2261561.01,1028.833862305
527580.01,2261661.01,1029.36340332
527580.01,2261761.01,1028.68737793
527580.01,2261861.01,1028.19152832
527580.01,2261961.01,1027.945556641
527580.01,2262061.01,1027.78503418
527580.01,2262161.01,1024.720947266
527580.01,2262261.01,1027.854125977
527580.01,2262361.01,1028.550537109
527580.01,2262461.01,1030.639038086
527580.01,2262561.01,1032.343994141
527580.01,2262661.01,1032.343994141
527580.01,2262761.01,1033.899536133
527580.01,2262861.01,1033.899536133
527580.01,2262961.01,1009.68548584
527580.01,2263061.01,998.978637695
527580.01,2263161.01,970.774536133
527580.01,2263261.01,971.604919434
527580.01,2263361.01,973.882446289
527580.01,2263461.01,975.932250977
527580.01,2263561.01,977.519348145
527580.01,2263661.01,977.917724609
527580.01,2263761.01,978.711547852
527580.01,2263861.01,979.806945801
527580.01,2263961.01,980.559509277
527580.01,2264061.01,982.102905273
527580.01,2264161.01,984.122802734
527580.01,2264261.01,985.635925293
527580.01,2264361.01,992.112792969
527580.01,2264461.01,1007.085571289
527580.01,2264561.01,1015.92401123
527580.01,2264661.01,1027.665893555
527580.01,2264761.01,1005.059265137
527580.01,2264861.01,1042.13684082
527580.01,2264961.01,1044.017333984
527580.01,2265061.01,1049.439086914
527580.01,2265161.01,1015.823059082
527580.01,2265261.01,1008.326782227
527580.01,2265361.01,1008.326782227
527580.01,2265461.01,1019.435180664
527580.01,2265561.01,1018.93536377
527580.01,2265661.01,1019.622253418
527580.01,2265761.01,1019.133789063
527580.01,2265861.01,1017.695373535
527580.01,2265961.01,1019.622680664
527580.01,2266061.01,-9999
527680.01,2261061.01,-9999
527680.01,2261161.01,1011.320678711
527680.01,2261261.01,1015.419433594
527680.01,2261361.01,1018.018554688
527680.01,2261461.01,1019.179504395
527680.01,2261561.01,1023.767333984
527680.01,2261661.01,1026.485961914
527680.01,2261761.01,1025.637573242
527680.01,2261861.01,1027.876342773
527680.01,2261961.01,1026.751464844
527680.01,2262061.01,1024.495483398
527680.01,2262161.01,1022.138366699
527680.01,2262261.01,1023.79888916
527680.01,2262361.01,1024.525512695
527680.01,2262461.01,1027.548828125
527680.01,2262561.01,1031.520019531
527680.01,2262661.01,1031.640991211
527680.01,2262761.01,1033.388549805
527680.01,2262861.01,1033.80871582
527680.01,2262961.01,1033.864501953
527680.01,2263061.01,1033.899536133
527680.01,2263161.01,1033.899536133
527680.01,2263261.01,1033.899536133
527680.01,2263361.01,1033.168945313
527680.01,2263461.01,976.666992188
527680.01,2263561.01,977.354370117
527680.01,2263661.01,977.729492188
527680.01,2263761.01,978.278015137
527680.01,2263861.01,979.171325684
527680.01,2263961.01,979.698120117
527680.01,2264061.01,980.664794922
527680.01,2264161.01,981.694274902
