"X","Y","H01_T20m (Depth)"
526980.01,2263561.01,-88.563308716
526980.01,2263661.01,-88.214515686
526980.01,2263761.01,-88.108917236
526980.01,2263861.01,-82.932121277
526980.01,2263961.01,-81.112686157
526980.01,2264061.01,-75.850090027
526980.01,2264161.01,-78.4347229
526980.01,2264261.01,-85.737930298
526980.01,2264361.01,-88.925941467
526980.01,2264461.01,-87.209228516
526980.01,2264561.01,-81.279953003
526980.01,2264661.01,-75.494674683
526980.01,2264761.01,-77.513877869
526980.01,2264861.01,-82.942527771
526980.01,2264961.01,-87.250083923
526980.01,2265061.01,-89.208518982
526980.01,2265161.01,-90.285110474
526980.01,2265261.01,-91.431411743
526980.01,2265361.01,-91.720367432
527080.01,2261261.01,-90.227546692
527080.01,2261361.01,-88.710754395
527080.01,2261461.01,-87.759010315
527080.01,2261561.01,-88.078483582
527080.01,2261661.01,-89.588165283
527080.01,2261761.01,-90.877738953
527080.01,2261861.01,-92.397407532
527080.01,2261961.01,-92.630279541
527080.01,2262061.01,-91.700157166
527080.01,2262161.01,-90.908065796
527080.01,2262261.01,-90.028747559
527080.01,2262361.01,-88.88633728
527080.01,2262461.01,-89.119033813
527080.01,2262561.01,-90.375083923
527080.01,2262661.01,-91.021034241
527080.01,2262761.01,-91.582122803
527080.01,2262861.01,-92.541275024
527080.01,2262961.01,-93.399002075
527080.01,2263061.01,-93.87587738
527080.01,2263161.01,-93.868804932
527080.01,2263261.01,-91.837936401
527080.01,2263361.01,-92.12739563
527080.01,2263461.01,-91.721000671
527080.01,2263561.01,-90.121070862
527080.01,2263661.01,-88.984146118
527080.01,2263761.01,-88.086341858
527080.01,2263861.01,-83.443771362
527080.01,2263961.01,-79.7161026
527080.01,2264061.01,-76.029602051
527080.01,2264161.01,-78.474708557
527080.01,2264261.01,-85.081642151
527080.01,2264361.01,-90.30493927
527080.01,2264461.01,-89.892936707
527080.01,2264561.01,-85.518508911
527080.01,2264661.01,-78.847480774
527080.01,2264761.01,-79.472442627
527080.01,2264861.01,-84.498130798
527080.01,2264961.01,-87.726745605
527080.01,2265061.01,-88.685569763
527080.01,2265161.01,-89.239807129
527080.01,2265261.01,-90.805351257
527080.01,2265361.01,-90.938438416
527080.01,2265461.01,-91.299568176
527080.01,2265561.01,-92.216575623
527080.01,2265661.01,-93.240737915
527080.01,2265761.01,-93.893066406
527180.01,2261261.01,-88.988861084
527180.01,2261361.01,-87.555664063
527180.01,2261461.01,-86.406654358
527180.01,2261561.01,-86.201332092
527180.01,2261661.01,-87.718925476
527180.01,2261761.01,-90.089698792
527180.01,2261861.01,-92.064567566
527180.01,2261961.01,-92.853157043
527180.01,2262061.01,-92.154060364
527180.01,2262161.01,-90.8698349
527180.01,2262261.01,-90.669937134
527180.01,2262361.01,-89.67124176
527180.01,2262461.01,-89.960151672
527180.01,2262561.01,-91.383415222
527180.01,2262661.01,-92.115959167
527180.01,2262761.01,-92.273422241
527180.01,2262861.01,-93.474761963
527180.01,2262961.01,-94.174728394
527180.01,2263061.01,-94.339347839
527180.01,2263161.01,-94.042015076
527180.01,2263261.01,-92.480979919
527180.01,2263361.01,-91.722000122
527180.01,2263461.01,-91.561920166
527180.01,2263561.01,-90.91494751
527180.01,2263661.01,-90.312477112
527180.01,2263761.01,-87.529708862
527180.01,2263861.01,-83.377944946
527180.01,2263961.01,-80.988121033
527180.01,2264061.01,-78.550804138
527180.01,2264161.01,-81.520240784
527180.01,2264261.01,-84.740768433
527180.01,2264361.01,-90.085960388
527180.01,2264461.01,-91.061012268
527180.01,2264561.01,-89.249053955
527180.01,2264661.01,-83.685554504
527180.01,2264761.01,-78.409934998
527180.01,2264861.01,-82.700325012
527180.01,2264961.01,-85.697242737
527180.01,2265061.01,-86.907867432
527180.01,2265161.01,-87.616714478
527180.01,2265261.01,-89.146430969
527180.01,2265361.01,-89.424377441
527180.01,2265461.01,-90.418228149
527180.01,2265561.01,-91.272567749
527180.01,2265661.01,-92.68145752
527180.01,2265761.01,-93.535820007
527180.01,2265861.01,-94.116157532
527280.01,2261261.01,-87.383926392
527280.01,2261361.01,-86.799598694
527280.01,2261461.01,-85.89894104
527280.01,2261561.01,-85.140182495
527280.01,2261661.01,-87.325454712
527280.01,2261761.01,-89.958480835
527280.01,2261861.01,-92.272315979
527280.01,2261961.01,-93.086090088
527280.01,2262061.01,-91.284614563
527280.01,2262161.01,-90.671798706
527280.01,2262261.01,-90.973777771
527280.01,2262361.01,-90.551071167
527280.01,2262461.01,-91.278869629
527280.01,2262561.01,-92.705238342
527280.01,2262661.01,-94.277900696
527280.01,2262761.01,-93.52318573
527280.01,2262861.01,-93.833847046
527280.01,2262961.01,-94.550170898
527280.01,2263061.01,-94.351646423
527280.01,2263161.01,-93.632530212
527280.01,2263261.01,-92.625221252
527280.01,2263361.01,-91.198265076
527280.01,2263461.01,-91.014465332
527280.01,2263561.01,-90.862632751
527280.01,2263661.01,-89.488182068
527280.01,2263761.01,-86.570167542
527280.01,2263861.01,-83.734985352
527280.01,2263961.01,-81.159500122
527280.01,2264061.01,-78.586212158
527280.01,2264161.01,-82.760215759
527280.01,2264261.01,-86.344657898
527280.01,2264361.01,-89.473953247
527280.01,2264461.01,-90.763046265
527280.01,2264561.01,-89.98223114
527280.01,2264661.01,-87.107009888
527280.01,2264761.01,-79.816673279
527280.01,2264861.01,-79.823455811
527280.01,2264961.01,-81.94317627
527280.01,2265061.01,-83.783691406
527280.01,2265161.01,-85.56502533
527280.01,2265261.01,-86.003387451
527280.01,2265361.01,-85.982795715
527280.01,2265461.01,-87.947052002
527280.01,2265561.01,-89.108207703
527280.01,2265661.01,-91.141609192
527280.01,2265761.01,-92.151275635
527280.01,2265861.01,-93.040214539
527380.01,2261161.01,-85.073127747
527380.01,2261261.01,-85.423492432
527380.01,2261361.01,-85.490936279
527380.01,2261461.01,-84.980751038
527380.01,2261561.01,-84.884353638
527380.01,2261661.01,-87.451499939
527380.01,2261761.01,-89.578575134
527380.01,2261861.01,-91.723052979
527380.01,2261961.01,-93.051300049
527380.01,2262061.01,-92.09161377
527380.01,2262161.01,-90.976463318
527380.01,2262261.01,-91.334465027
527380.01,2262361.01,-91.379707336
527380.01,2262461.01,-91.182762146
527380.01,2262561.01,-93.391998291
527380.01,2262661.01,-95.00125885
