"X","Y","H10_Portl (Depth)"
527180.01,2265061.01,190.632614136
527180.01,2265161.01,192.186859131
527180.01,2265261.01,193.522491455
527180.01,2265361.01,193.894683838
527180.01,2265461.01,196.236343384
527180.01,2265561.01,197.867828369
527180.01,2265661.01,200.402038574
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,144.414505005
527280.01,2261461.01,145.509307861
527280.01,2261561.01,147.557373047
527280.01,2261661.01,152.622894287
527280.01,2261761.01,158.256561279
527280.01,2261861.01,158.863754272
527280.01,2261961.01,159.248291016
527280.01,2262061.01,160.076660156
527280.01,2262161.01,158.866317749
527280.01,2262261.01,159.586914063
527280.01,2262361.01,160.153625488
527280.01,2262461.01,160.998138428
527280.01,2262561.01,164.796005249
527280.01,2262661.01,167.588256836
527280.01,2262761.01,168.182250977
527280.01,2262861.01,170.449691772
527280.01,2262961.01,169.494064331
527280.01,2263061.01,168.594345093
527280.01,2263161.01,168.48487854
527280.01,2263261.01,167.58039856
527280.01,2263361.01,165.305297852
527280.01,2263461.01,163.767196655
527280.01,2263561.01,162.684249878
527280.01,2263661.01,160.098449707
527280.01,2263761.01,159.22177124
527280.01,2263861.01,156.928024292
527280.01,2263961.01,152.110061646
527280.01,2264061.01,152.429763794
527280.01,2264161.01,166.909744263
527280.01,2264261.01,166.806503296
527280.01,2264361.01,166.485610962
527280.01,2264461.01,168.824325562
527280.01,2264561.01,174.981613159
527280.01,2264661.01,179.399291992
527280.01,2264761.01,185.791625977
527280.01,2264861.01,187.741424561
527280.01,2264961.01,188.597763062
527280.01,2265061.01,190.75604248
527280.01,2265161.01,193.073303223
527280.01,2265261.01,194.869812012
527280.01,2265361.01,194.988098145
527280.01,2265461.01,196.06842041
527280.01,2265561.01,198.281600952
527280.01,2265661.01,200.068557739
527280.01,2265761.01,200.321670532
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,142.298141479
527380.01,2261461.01,143.072967529
527380.01,2261561.01,146.811065674
527380.01,2261661.01,152.203567505
527380.01,2261761.01,155.533294678
527380.01,2261861.01,156.675338745
527380.01,2261961.01,158.26612854
527380.01,2262061.01,157.820846558
527380.01,2262161.01,156.975662231
527380.01,2262261.01,157.213302612
527380.01,2262361.01,157.687011719
527380.01,2262461.01,158.07131958
527380.01,2262561.01,161.89805603
527380.01,2262661.01,165.612503052
527380.01,2262761.01,165.603668213
527380.01,2262861.01,166.312072754
527380.01,2262961.01,166.182739258
527380.01,2263061.01,165.318496704
527380.01,2263161.01,165.53578186
527380.01,2263261.01,165.197174072
527380.01,2263361.01,164.468109131
527380.01,2263461.01,163.636383057
527380.01,2263561.01,161.280105591
527380.01,2263661.01,160.549163818
527380.01,2263761.01,159.015029907
527380.01,2263861.01,152.614852905
527380.01,2263961.01,153.72706604
527380.01,2264061.01,154.28553772
527380.01,2264161.01,167.061828613
527380.01,2264261.01,167.061828613
527380.01,2264361.01,167.734008789
527380.01,2264461.01,171.539245605
527380.01,2264561.01,178.138458252
527380.01,2264661.01,180.194030762
527380.01,2264761.01,184.412368774
527380.01,2264861.01,186.93119812
527380.01,2264961.01,187.640563965
527380.01,2265061.01,190.092056274
527380.01,2265161.01,193.458953857
527380.01,2265261.01,194.869247437
527380.01,2265361.01,195.324203491
527380.01,2265461.01,196.289810181
527380.01,2265561.01,199.043869019
527380.01,2265661.01,199.777755737
527380.01,2265761.01,200.531768799
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,142.154434204
527480.01,2261361.01,140.96786499
527480.01,2261461.01,143.345108032
527480.01,2261561.01,145.483901978
527480.01,2261661.01,149.111907959
527480.01,2261761.01,149.588668823
527480.01,2261861.01,151.454528809
527480.01,2261961.01,153.519241333
527480.01,2262061.01,152.516204834
527480.01,2262161.01,153.83644104
527480.01,2262261.01,153.809997559
527480.01,2262361.01,153.927902222
527480.01,2262461.01,155.344268799
527480.01,2262561.01,160.121185303
527480.01,2262661.01,162.078842163
527480.01,2262761.01,162.010864258
527480.01,2262861.01,163.455627441
527480.01,2262961.01,160.741394043
527480.01,2263061.01,160.240036011
527480.01,2263161.01,161.503707886
527480.01,2263261.01,161.295150757
527480.01,2263361.01,160.366149902
527480.01,2263461.01,158.629974365
527480.01,2263561.01,157.741943359
527480.01,2263661.01,156.082901001
527480.01,2263761.01,156.636077881
527480.01,2263861.01,154.70123291
527480.01,2263961.01,154.784393311
527480.01,2264061.01,155.057983398
527480.01,2264161.01,155.266677856
527480.01,2264261.01,164.406524658
527480.01,2264361.01,164.868255615
527480.01,2264461.01,169.33706665
527480.01,2264561.01,175.478271484
527480.01,2264661.01,178.242462158
527480.01,2264761.01,181.646316528
527480.01,2264861.01,184.411376953
527480.01,2264961.01,185.135940552
527480.01,2265061.01,188.350021362
527480.01,2265161.01,191.868087769
527480.01,2265261.01,193.600646973
527480.01,2265361.01,194.93572998
527480.01,2265461.01,196.434432983
527480.01,2265561.01,198.135864258
527480.01,2265661.01,199.739440918
527480.01,2265761.01,199.972702026
527480.01,2265861.01,200.094360352
527480.01,2265961.01,-9999
527580.01,2261161.01,-9999
527580.01,2261261.01,143.950042725
527580.01,2261361.01,143.667007446
527580.01,2261461.01,145.15145874
527580.01,2261561.01,144.8150177
527580.01,2261661.01,147.595977783
527580.01,2261761.01,147.610351563
527580.01,2261861.01,147.94708252
527580.01,2261961.01,150.058563232
527580.01,2262061.01,150.163070679
527580.01,2262161.01,150.137054443
527580.01,2262261.01,149.360153198
527580.01,2262361.01,148.912002563
527580.01,2262461.01,151.735488892
527580.01,2262561.01,154.881454468
527580.01,2262661.01,157.328826904
527580.01,2262761.01,156.808349609
527580.01,2262861.01,158.488433838
527580.01,2262961.01,158.692764282
527580.01,2263061.01,158.288894653
527580.01,2263161.01,159.095123291
527580.01,2263261.01,158.879898071
527580.01,2263361.01,156.918334961
527580.01,2263461.01,154.535049438
527580.01,2263561.01,153.399169922
527580.01,2263661.01,153.006408691
527580.01,2263761.01,153.241073608
527580.01,2263861.01,154.245269775
527580.01,2263961.01,154.761978149
527580.01,2264061.01,155.742553711
527580.01,2264161.01,156.100845337
527580.01,2264261.01,159.561691284
527580.01,2264361.01,161.817504883
