"X","Y","H03_TCraie (Depth)"
527680.01,2264361.01,-64.766899109
527680.01,2264461.01,-63.671913147
527680.01,2264561.01,-62.301685333
527680.01,2264661.01,-60.744861603
527680.01,2264761.01,-59.059879303
527680.01,2264861.01,-57.59198761
527680.01,2264961.01,-56.248840332
527680.01,2265061.01,-55.265758514
527680.01,2265161.01,-54.550811768
527680.01,2265261.01,-54.086250305
527680.01,2265361.01,-53.753917694
527680.01,2265461.01,-53.534378052
527680.01,2265561.01,-53.37317276
527680.01,2265661.01,-53.238937378
527680.01,2265761.01,-53.146556854
527680.01,2265861.01,-53.115692139
527680.01,2265961.01,-53.163318634
527680.01,2266061.01,-53.303127289
527680.01,2266161.01,-53.545097351
527780.01,2261061.01,-81.112709045
527780.01,2261161.01,-80.854919434
527780.01,2261261.01,-80.976921082
527780.01,2261361.01,-81.191452026
527780.01,2261461.01,-81.703872681
527780.01,2261561.01,-82.965637207
527780.01,2261661.01,-82.549415588
527780.01,2261761.01,-80.49848175
527780.01,2261861.01,-78.273765564
527780.01,2261961.01,-75.941413879
527780.01,2262061.01,-73.470603943
527780.01,2262161.01,-71.092384338
527780.01,2262261.01,-68.801574707
527780.01,2262361.01,-66.736106873
527780.01,2262461.01,-65.025108337
527780.01,2262561.01,-63.679073334
527780.01,2262661.01,-62.747600555
527780.01,2262761.01,-62.18120575
527780.01,2262861.01,-61.939754486
527780.01,2262961.01,-61.965938568
527780.01,2263061.01,-62.231784821
527780.01,2263161.01,-62.689090729
527780.01,2263261.01,-63.290344238
527780.01,2263361.01,-63.987407684
527780.01,2263461.01,-64.731918335
527780.01,2263561.01,-65.475723267
527780.01,2263661.01,-66.171348572
527780.01,2263761.01,-66.725372314
527780.01,2263861.01,-67.192192078
527780.01,2263961.01,-67.478256226
527780.01,2264061.01,-67.543807983
527780.01,2264161.01,-67.352561951
527780.01,2264261.01,-66.890579224
527780.01,2264361.01,-66.093536377
527780.01,2264461.01,-64.962791443
527780.01,2264561.01,-63.497341156
527780.01,2264661.01,-61.796550751
527780.01,2264761.01,-59.831188202
527780.01,2264861.01,-58.068237305
527780.01,2264961.01,-56.605365753
527780.01,2265061.01,-55.459892273
527780.01,2265161.01,-54.627605438
527780.01,2265261.01,-53.975959778
527780.01,2265361.01,-53.489524841
527780.01,2265461.01,-53.11681366
527780.01,2265561.01,-52.820087433
527780.01,2265661.01,-52.564868927
527780.01,2265761.01,-52.362945557
527780.01,2265861.01,-52.233295441
527780.01,2265961.01,-52.194198608
527780.01,2266061.01,-52.260692596
527780.01,2266161.01,-52.443702698
527880.01,2261061.01,-80.118400574
527880.01,2261161.01,-79.730194092
527880.01,2261261.01,-80.010536194
527880.01,2261361.01,-80.829589844
527880.01,2261461.01,-81.249351501
527880.01,2261561.01,-83.064727783
527880.01,2261661.01,-82.92665863
527880.01,2261761.01,-80.8070755
527880.01,2261861.01,-78.543395996
527880.01,2261961.01,-76.16947937
527880.01,2262061.01,-73.671569824
527880.01,2262161.01,-71.22492218
527880.01,2262261.01,-68.846931458
527880.01,2262361.01,-66.713890076
527880.01,2262461.01,-64.95929718
527880.01,2262561.01,-63.663349152
527880.01,2262661.01,-62.785701752
527880.01,2262761.01,-62.26763916
527880.01,2262861.01,-62.096420288
527880.01,2262961.01,-62.19461441
527880.01,2263061.01,-62.556110382
527880.01,2263161.01,-63.114677429
527880.01,2263261.01,-63.821311951
527880.01,2263361.01,-64.626274109
527880.01,2263461.01,-65.479476929
527880.01,2263561.01,-66.358505249
527880.01,2263661.01,-67.158279419
527880.01,2263761.01,-67.857696533
527880.01,2263861.01,-68.358955383
527880.01,2263961.01,-68.742164612
527880.01,2264061.01,-68.876800537
527880.01,2264161.01,-68.740722656
527880.01,2264261.01,-68.299491882
527880.01,2264361.01,-67.523376465
527880.01,2264461.01,-66.388084412
527880.01,2264561.01,-64.916351318
527880.01,2264661.01,-63.006774902
527880.01,2264761.01,-60.901191711
527880.01,2264861.01,-58.915145874
527880.01,2264961.01,-57.264183044
527880.01,2265061.01,-55.962932587
527880.01,2265161.01,-54.901805878
527880.01,2265261.01,-54.058422089
527880.01,2265361.01,-53.376102448
527880.01,2265461.01,-52.814403534
527880.01,2265561.01,-52.337860107
527880.01,2265661.01,-51.929256439
527880.01,2265761.01,-51.592494965
527880.01,2265861.01,-51.375289917
527880.01,2265961.01,-51.239196777
527880.01,2266061.01,-51.224567413
527880.01,2266161.01,-51.523468018
527880.01,2266261.01,-51.809318542
527980.01,2260961.01,-79.821754456
527980.01,2261061.01,-79.238510132
527980.01,2261161.01,-78.977333069
527980.01,2261261.01,-80.089233398
527980.01,2261361.01,-80.814002991
527980.01,2261461.01,-81.917259216
527980.01,2261561.01,-83.834266663
527980.01,2261661.01,-83.181114197
527980.01,2261761.01,-81.036026001
527980.01,2261861.01,-78.743904114
527980.01,2261961.01,-76.28049469
527980.01,2262061.01,-73.833885193
527980.01,2262161.01,-71.362297058
527980.01,2262261.01,-68.96471405
527980.01,2262361.01,-66.798156738
527980.01,2262461.01,-65.073448181
527980.01,2262561.01,-63.814880371
527980.01,2262661.01,-62.934448242
527980.01,2262761.01,-62.48866272
527980.01,2262861.01,-62.388145447
527980.01,2262961.01,-62.5872612
527980.01,2263061.01,-63.01512146
527980.01,2263161.01,-63.666507721
527980.01,2263261.01,-64.470489502
527980.01,2263361.01,-65.375717163
527980.01,2263461.01,-66.382827759
527980.01,2263561.01,-67.334381104
527980.01,2263661.01,-68.238258362
527980.01,2263761.01,-69.029579163
527980.01,2263861.01,-69.667045593
527980.01,2263961.01,-70.104125977
527980.01,2264061.01,-70.254005432
527980.01,2264161.01,-70.171127319
527980.01,2264261.01,-69.768196106
527980.01,2264361.01,-69.013832092
527980.01,2264461.01,-67.920562744
527980.01,2264561.01,-66.376060486
527980.01,2264661.01,-64.429862976
527980.01,2264761.01,-62.240562439
527980.01,2264861.01,-60.109798431
527980.01,2264961.01,-58.267723083
527980.01,2265061.01,-56.718318939
527980.01,2265161.01,-55.424240112
527980.01,2265261.01,-54.347858429
527980.01,2265361.01,-53.432613373
527980.01,2265461.01,-52.649589539
527980.01,2265561.01,-51.972171783
527980.01,2265661.01,-51.388019562
527980.01,2265761.01,-50.899864197
527980.01,2265861.01,-50.520572662
527980.01,2265961.01,-50.309894562
527980.01,2266061.01,-50.352798462
527980.01,2266161.01,-50.423206329
527980.01,2266261.01,-50.653175354
528080.01,2260961.01,-79.332244873
528080.01,2261061.01,-79.011116028
528080.01,2261161.01,-79.148200989
528080.01,2261261.01,-80.347938538
528080.01,2261361.01,-80.95464325
528080.01,2261461.01,-82.22429657
528080.01,2261561.01,-84.14629364
528080.01,2261661.01,-83.319282532
528080.01,2261761.01,-81.158706665
528080.01,2261861.01,-78.850631714
528080.01,2261961.01,-76.397102356
528080.01,2262061.01,-73.946060181
528080.01,2262161.01,-71.494270325
528080.01,2262261.01,-69.151626587
528080.01,2262361.01,-67.035400391
528080.01,2262461.01,-65.354660034
528080.01,2262561.01,-64.128196716
528080.01,2262661.01,-63.254398346
528080.01,2262761.01,-62.859325409
528080.01,2262861.01,-62.818893433
528080.01,2262961.01,-63.086841583
528080.01,2263061.01,-63.614589691
528080.01,2263161.01,-64.327758789
528080.01,2263261.01,-65.292175293
528080.01,2263361.01,-66.289131165
528080.01,2263461.01,-67.341217041
528080.01,2263561.01,-68.384132385
528080.01,2263661.01,-69.369918823
528080.01,2263761.01,-70.246139526
528080.01,2263861.01,-70.961891174
528080.01,2263961.01,-71.468421936
528080.01,2264061.01,-71.719818115
528080.01,2264161.01,-71.628387451
528080.01,2264261.01,-71.255447388
528080.01,2264361.01,-70.577514648
528080.01,2264461.01,-69.420730591
528080.01,2264561.01,-67.854438782
528080.01,2264661.01,-65.915847778
528080.01,2264761.01,-63.722637177
528080.01,2264861.01,-61.596691132
528080.01,2264961.01,-59.592475891
528080.01,2265061.01,-57.827331543
528080.01,2265161.01,-56.294330597
528080.01,2265261.01,-54.964927673
528080.01,2265361.01,-53.814178467
528080.01,2265461.01,-52.802463531
528080.01,2265561.01,-51.917900085
528080.01,2265661.01,-51.153083801
528080.01,2265761.01,-50.511760712
528080.01,2265861.01,-50.005802155
528080.01,2265961.01,-49.770446777
528080.01,2266061.01,-49.600532532
528080.01,2266161.01,-49.664527893
528080.01,2266261.01,-49.863677979
528080.01,2266361.01,-50.24728775
528180.01,2260961.01,-79.040527344
528180.01,2261061.01,-79.089179993
528180.01,2261161.01,-79.259292603
528180.01,2261261.01,-80.302528381
528180.01,2261361.01,-81.012275696
528180.01,2261461.01,-81.794258118
528180.01,2261561.01,-83.568031311
528180.01,2261661.01,-83.313224792
528180.01,2261761.01,-81.150100708
528180.01,2261861.01,-78.842544556
528180.01,2261961.01,-76.431129456
528180.01,2262061.01,-74.008926392
528180.01,2262161.01,-71.620895386
528180.01,2262261.01,-69.324234009
528180.01,2262361.01,-67.338645935
528180.01,2262461.01,-65.730163574
528180.01,2262561.01,-64.444023132
528180.01,2262661.01,-63.69486618
528180.01,2262761.01,-63.346878052
528180.01,2262861.01,-63.36026001
528180.01,2262961.01,-63.689571381
528180.01,2263061.01,-64.285881042
528180.01,2263161.01,-65.162315369
528180.01,2263261.01,-66.138999939
528180.01,2263361.01,-67.218139648
528180.01,2263461.01,-68.348846436
528180.01,2263561.01,-69.475502014
528180.01,2263661.01,-70.542770386
528180.01,2263761.01,-71.496154785
528180.01,2263861.01,-72.282569885
528180.01,2263961.01,-72.851005554
528180.01,2264061.01,-73.153259277
528180.01,2264161.01,-73.144844055
528180.01,2264261.01,-72.832084656
528180.01,2264361.01,-72.07610321
528180.01,2264461.01,-70.992271423
528180.01,2264561.01,-69.423477173
528180.01,2264661.01,-67.519470215
528180.01,2264761.01,-65.3306427
528180.01,2264861.01,-63.113601685
528180.01,2264961.01,-60.977550507
528180.01,2265061.01,-59.006141663
528180.01,2265161.01,-57.224163055
528180.01,2265261.01,-55.626552582
528180.01,2265361.01,-54.205513
528180.01,2265461.01,-52.930892944
528180.01,2265561.01,-51.801002502
528180.01,2265661.01,-50.81413269
528180.01,2265761.01,-49.976634979
528180.01,2265861.01,-49.40316391
528180.01,2265961.01,-48.919502258
528180.01,2266061.01,-48.629497528
528180.01,2266161.01,-48.544242859
528180.01,2266261.01,-48.669239044
528180.01,2266361.01,-49.069328308
528280.01,2260861.01,-78.277328491
528280.01,2260961.01,-78.864822388
528280.01,2261061.01,-79.698570251
528280.01,2261161.01,-79.76914978
528280.01,2261261.01,-80.631904602
528280.01,2261361.01,-81.941467285
528280.01,2261461.01,-82.664207458
528280.01,2261561.01,-83.828613281
528280.01,2261661.01,-83.138977051
528280.01,2261761.01,-80.989204407
528280.01,2261861.01,-78.712036133
528280.01,2261961.01,-76.360687256
528280.01,2262061.01,-73.99974823
528280.01,2262161.01,-71.653282166
528280.01,2262261.01,-69.517456055
528280.01,2262361.01,-67.650230408
528280.01,2262461.01,-66.012199402
528280.01,2262561.01,-64.907302856
528280.01,2262661.01,-64.200874329
528280.01,2262761.01,-63.905738831
528280.01,2262861.01,-63.973667145
528280.01,2262961.01,-64.361946106
528280.01,2263061.01,-65.114372253
528280.01,2263161.01,-66.000045776
528280.01,2263261.01,-67.028541565
528280.01,2263361.01,-68.183448792
528280.01,2263461.01,-69.391166687
528280.01,2263561.01,-70.59438324
528280.01,2263661.01,-71.735954285
528280.01,2263761.01,-72.759498596
528280.01,2263861.01,-73.609947205
528280.01,2263961.01,-74.234260559
528280.01,2264061.01,-74.71786499
528280.01,2264161.01,-74.818939209
528280.01,2264261.01,-74.459388733
528280.01,2264361.01,-73.704040527
528280.01,2264461.01,-72.512451172
528280.01,2264561.01,-70.953330994
528280.01,2264661.01,-69.028717041
528280.01,2264761.01,-66.902198792
528280.01,2264861.01,-64.654953003
528280.01,2264961.01,-62.412952423
528280.01,2265061.01,-60.263511658
528280.01,2265161.01,-58.252166748
528280.01,2265261.01,-56.395992279
528280.01,2265361.01,-54.70602417
528280.01,2265461.01,-53.1641922
528280.01,2265561.01,-51.779949188
528280.01,2265661.01,-50.558589935
528280.01,2265761.01,-49.600784302
528280.01,2265861.01,-48.629314423
528280.01,2265961.01,-47.97089386
528280.01,2266061.01,-47.532012939
528280.01,2266161.01,-47.324150085
528280.01,2266261.01,-47.352664948
528280.01,2266361.01,-47.587459564
