"X","Y","H00_Ground Level (Depth)"
527080.01,2265661.01,-113.240737915
527080.01,2265761.01,-113.893066406
527180.01,2261261.01,-108.988861084
527180.01,2261361.01,-107.555664063
527180.01,2261461.01,-106.406654358
527180.01,2261561.01,-106.201332092
527180.01,2261661.01,-107.718925476
527180.01,2261761.01,-110.089698792
527180.01,2261861.01,-112.064567566
527180.01,2261961.01,-112.853157043
527180.01,2262061.01,-112.154060364
527180.01,2262161.01,-110.8698349
527180.01,2262261.01,-110.669937134
527180.01,2262361.01,-109.67124176
527180.01,2262461.01,-109.960151672
527180.01,2262561.01,-111.383415222
527180.01,2262661.01,-112.115959167
527180.01,2262761.01,-112.273422241
527180.01,2262861.01,-113.474761963
527180.01,2262961.01,-114.174728394
527180.01,2263061.01,-114.339347839
527180.01,2263161.01,-114.042015076
527180.01,2263261.01,-112.480979919
527180.01,2263361.01,-111.722000122
527180.01,2263461.01,-111.561920166
527180.01,2263561.01,-110.91494751
527180.01,2263661.01,-110.312477112
527180.01,2263761.01,-107.529701233
527180.01,2263861.01,-103.377944946
527180.01,2263961.01,-100.988121033
527180.01,2264061.01,-98.550804138
527180.01,2264161.01,-101.520240784
527180.01,2264261.01,-104.740768433
527180.01,2264361.01,-110.085960388
527180.01,2264461.01,-111.061012268
527180.01,2264561.01,-109.249053955
527180.01,2264661.01,-103.685554504
527180.01,2264761.01,-98.409934998
527180.01,2264861.01,-102.700325012
527180.01,2264961.01,-105.697242737
527180.01,2265061.01,-106.907867432
527180.01,2265161.01,-107.616714478
527180.01,2265261.01,-109.146430969
527180.01,2265361.01,-109.424377441
527180.01,2265461.01,-110.418228149
527180.01,2265561.01,-111.272567749
527180.01,2265661.01,-112.68145752
527180.01,2265761.01,-113.535820007
527180.01,2265861.01,-114.116157532
527280.01,2261261.01,-107.383926392
527280.01,2261361.01,-106.799598694
527280.01,2261461.01,-105.89894104
527280.01,2261561.01,-105.140182495
527280.01,2261661.01,-107.325454712
527280.01,2261761.01,-109.958480835
527280.01,2261861.01,-112.272315979
527280.01,2261961.01,-113.086090088
527280.01,2262061.01,-111.284614563
527280.01,2262161.01,-110.671798706
527280.01,2262261.01,-110.973777771
527280.01,2262361.01,-110.551071167
527280.01,2262461.01,-111.278869629
527280.01,2262561.01,-112.705238342
527280.01,2262661.01,-114.277900696
527280.01,2262761.01,-113.52318573
527280.01,2262861.01,-113.833847046
527280.01,2262961.01,-114.550170898
527280.01,2263061.01,-114.351646423
527280.01,2263161.01,-113.632530212
527280.01,2263261.01,-112.625221252
527280.01,2263361.01,-111.198265076
527280.01,2263461.01,-111.014465332
527280.01,2263561.01,-110.862632751
527280.01,2263661.01,-109.488182068
527280.01,2263761.01,-106.570167542
527280.01,2263861.01,-103.734985352
527280.01,2263961.01,-101.159500122
527280.01,2264061.01,-98.586212158
