"X","Y","H04_Cenom (Depth)"
527180.01,2262261.01,48.87677002
527180.01,2262361.01,50.387897491
527180.01,2262461.01,49.590751648
527180.01,2262561.01,51.066287994
527180.01,2262661.01,50.782455444
527180.01,2262761.01,56.356861115
527180.01,2262861.01,57.902805328
527180.01,2262961.01,56.873893738
527180.01,2263061.01,60.299442291
527180.01,2263161.01,51.191513062
527180.01,2263261.01,50.943141937
527180.01,2263361.01,42.855209351
527180.01,2263461.01,42.44701767
527180.01,2263561.01,41.779602051
527180.01,2263661.01,49.458408356
527180.01,2263761.01,65.868919373
527180.01,2263861.01,73.734817505
527180.01,2263961.01,73.734817505
527180.01,2264061.01,73.734817505
527180.01,2264161.01,73.734817505
527180.01,2264261.01,72.867172241
527180.01,2264361.01,69.315361023
527180.01,2264461.01,64.276191711
527180.01,2264561.01,68.948875427
527180.01,2264661.01,73.130409241
527180.01,2264761.01,75.339195251
527180.01,2264861.01,77.603485107
527180.01,2264961.01,79.061897278
527180.01,2265061.01,79.556083679
527180.01,2265161.01,79.660568237
527180.01,2265261.01,79.060943604
527180.01,2265361.01,78.374382019
527180.01,2265461.01,77.213600159
527180.01,2265561.01,76.14642334
527180.01,2265661.01,74.606803894
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,26.374898911
527280.01,2261461.01,27.604227066
527280.01,2261561.01,28.64874649
527280.01,2261661.01,33.573394775
527280.01,2261761.01,40.091281891
527280.01,2261861.01,42.992935181
527280.01,2261961.01,43.81993866
527280.01,2262061.01,44.432613373
527280.01,2262161.01,44.23091507
527280.01,2262261.01,45.348083496
527280.01,2262361.01,46.555404663
527280.01,2262461.01,45.090869904
527280.01,2262561.01,46.380329132
527280.01,2262661.01,49.427383423
527280.01,2262761.01,50.947795868
527280.01,2262861.01,54.550140381
527280.01,2262961.01,57.103107452
527280.01,2263061.01,55.588844299
527280.01,2263161.01,53.349117279
527280.01,2263261.01,61.324005127
527280.01,2263361.01,42.983642578
527280.01,2263461.01,43.955352783
527280.01,2263561.01,42.212444305
527280.01,2263661.01,41.299091339
527280.01,2263761.01,41.4155159
527280.01,2263861.01,41.299091339
527280.01,2263961.01,41.299091339
527280.01,2264061.01,41.299091339
527280.01,2264161.01,41.299091339
