"X","Y","H60_Charm (Depth)"
527180.01,2265061.01,979.374755859
527180.01,2265161.01,985.981018066
527180.01,2265261.01,991.113586426
527180.01,2265361.01,994.992980957
527180.01,2265461.01,994.340454102
527180.01,2265561.01,992.463012695
527180.01,2265661.01,992.731994629
527180.01,2265761.01,-9999
527180.01,2265861.01,-9999
527280.01,2261261.01,-9999
527280.01,2261361.01,965.998474121
527280.01,2261461.01,965.668212891
527280.01,2261561.01,966.280639648
527280.01,2261661.01,901.032531738
527280.01,2261761.01,902.021118164
527280.01,2261861.01,904.51751709
527280.01,2261961.01,909.054321289
527280.01,2262061.01,911.592651367
527280.01,2262161.01,910.723937988
527280.01,2262261.01,910.711303711
527280.01,2262361.01,911.764160156
527280.01,2262461.01,911.893615723
527280.01,2262561.01,913.151855469
527280.01,2262661.01,913.880554199
527280.01,2262761.01,913.935974121
527280.01,2262861.01,914.442016602
527280.01,2262961.01,913.528930664
527280.01,2263061.01,912.702575684
527280.01,2263161.01,914.204711914
527280.01,2263261.01,916.133483887
527280.01,2263361.01,919.285400391
527280.01,2263461.01,922.055786133
527280.01,2263561.01,923.065551758
527280.01,2263661.01,926.943725586
527280.01,2263761.01,929.892700195
527280.01,2263861.01,930.133239746
527280.01,2263961.01,937.221557617
527280.01,2264061.01,941.126831055
527280.01,2264161.01,947.076843262
527280.01,2264261.01,953.536193848
527280.01,2264361.01,955.905883789
527280.01,2264461.01,961.829162598
527280.01,2264561.01,967.668029785
527280.01,2264661.01,977.524597168
527280.01,2264761.01,986.718505859
527280.01,2264861.01,990.476989746
527280.01,2264961.01,987.04309082
527280.01,2265061.01,980.752380371
527280.01,2265161.01,989.155212402
527280.01,2265261.01,993.459716797
527280.01,2265361.01,996.323425293
527280.01,2265461.01,995.438903809
527280.01,2265561.01,994.120788574
527280.01,2265661.01,994.038696289
527280.01,2265761.01,992.928222656
527280.01,2265861.01,-9999
527380.01,2261161.01,-9999
527380.01,2261261.01,-9999
527380.01,2261361.01,964.73626709
527380.01,2261461.01,965.369384766
527380.01,2261561.01,966.15423584
527380.01,2261661.01,966.280639648
527380.01,2261761.01,966.280639648
527380.01,2261861.01,966.280639648
527380.01,2261961.01,910.723937988
527380.01,2262061.01,910.723937988
527380.01,2262161.01,910.723937988
527380.01,2262261.01,910.723937988
527380.01,2262361.01,910.723937988
527380.01,2262461.01,911.119018555
527380.01,2262561.01,912.748046875
527380.01,2262661.01,912.89630127
527380.01,2262761.01,912.702575684
527380.01,2262861.01,912.702575684
527380.01,2262961.01,912.842285156
527380.01,2263061.01,913.469055176
527380.01,2263161.01,914.142822266
527380.01,2263261.01,917.072631836
527380.01,2263361.01,918.241149902
527380.01,2263461.01,920.773010254
527380.01,2263561.01,922.787902832
527380.01,2263661.01,924.71887207
527380.01,2263761.01,927.186401367
527380.01,2263861.01,928.981811523
527380.01,2263961.01,930.902282715
527380.01,2264061.01,933.421447754
527380.01,2264161.01,942.898193359
527380.01,2264261.01,949.975524902
527380.01,2264361.01,952.588012695
527380.01,2264461.01,958.398376465
527380.01,2264561.01,962.627197266
527380.01,2264661.01,964.682800293
527380.01,2264761.01,976.976745605
527380.01,2264861.01,986.536743164
527380.01,2264961.01,987.717041016
527380.01,2265061.01,982.368713379
527380.01,2265161.01,990.876647949
527380.01,2265261.01,994.680053711
527380.01,2265361.01,995.309753418
527380.01,2265461.01,995.941772461
527380.01,2265561.01,995.484985352
527380.01,2265661.01,995.046936035
527380.01,2265761.01,984.327819824
527380.01,2265861.01,-9999
527380.01,2265961.01,-9999
527480.01,2261161.01,-9999
527480.01,2261261.01,962.553527832
527480.01,2261361.01,964.040588379
527480.01,2261461.01,964.555297852
527480.01,2261561.01,965.242431641
527480.01,2261661.01,966.216674805
527480.01,2261761.01,966.577453613
527480.01,2261861.01,966.264831543
527480.01,2261961.01,965.899475098
527480.01,2262061.01,965.736206055
527480.01,2262161.01,965.226806641
527480.01,2262261.01,965.874389648
527480.01,2262361.01,968.326843262
527480.01,2262461.01,970.442749023
527480.01,2262561.01,972.482421875
527480.01,2262661.01,957.805908203
527480.01,2262761.01,965.185180664
527480.01,2262861.01,912.702575684
527480.01,2262961.01,912.89630127
527480.01,2263061.01,912.89630127
527480.01,2263161.01,912.89630127
527480.01,2263261.01,913.747009277
527480.01,2263361.01,914.67388916
527480.01,2263461.01,917.918273926
527480.01,2263561.01,921.126342773
527480.01,2263661.01,921.590270996
527480.01,2263761.01,923.734924316
527480.01,2263861.01,926.268249512
527480.01,2263961.01,926.520446777
527480.01,2264061.01,929.480407715
527480.01,2264161.01,936.504455566
527480.01,2264261.01,944.719360352
527480.01,2264361.01,946.374145508
527480.01,2264461.01,954.506713867
527480.01,2264561.01,958.786193848
527480.01,2264661.01,960.798583984
527480.01,2264761.01,963.409606934
527480.01,2264861.01,984.611328125
527480.01,2264961.01,990.225097656
527480.01,2265061.01,991.236694336
527480.01,2265161.01,995.228759766
527480.01,2265261.01,995.941772461
527480.01,2265361.01,995.941772461
527480.01,2265461.01,995.941772461
527480.01,2265561.01,967.647827148
527480.01,2265661.01,967.647827148
